,专用设备制造业外商及港澳台商投资工业企业管理费用,交通运输设备制造业外商及港澳台商投资工业企业管理费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业管理费用,其他采矿业外商及港澳台商投资工业企业管理费用,农副食品加工业外商及港澳台商投资工业企业管理费用,化学原料及化学制品制造业外商及港澳台商投资工业企业管理费用,化学纤维制造业外商及港澳台商投资工业企业管理费用,医药制造业外商及港澳台商投资工业企业管理费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业管理费用,塑料制品业外商及港澳台商投资工业企业管理费用,外商及港澳台商投资工业企业管理费用,家具制造业外商及港澳台商投资工业企业管理费用,工艺品及其他制造业外商及港澳台商投资工业企业管理费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业管理费用,文教体育用品制造业外商及港澳台商投资工业企业管理费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,有色金属矿采选业外商及港澳台商投资工业企业管理费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业管理费用,橡胶制品业外商及港澳台商投资工业企业管理费用,水的生产和供应业外商及港澳台商投资工业企业管理费用,烟草制品业外商及港澳台商投资工业企业管理费用,煤炭开采和洗选业外商及港澳台商投资工业企业管理费用,燃气生产和供应业外商及港澳台商投资工业企业管理费用,电力、热力的生产和供应业外商及港澳台商投资工业企业管理费用,电气机械及器材制造业外商及港澳台商投资工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业管理费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业管理费用,石油和天然气开采业外商及港澳台商投资工业企业管理费用,纺织业外商及港澳台商投资工业企业管理费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业管理费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业管理费用,通用设备制造业外商及港澳台商投资工业企业管理费用,造纸及纸制品业外商及港澳台商投资工业企业管理费用,金属制品业外商及港澳台商投资工业企业管理费用,非金属矿物制品业外商及港澳台商投资工业企业管理费用,非金属矿采选业外商及港澳台商投资工业企业管理费用,食品制造业外商及港澳台商投资工业企业管理费用,饮料制造业外商及港澳台商投资工业企业管理费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,黑色金属矿采选业外商及港澳台商投资工业企业管理费用
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,54.68175,225.12892,50.57978,0.0,42.3844,117.5238,9.74904,51.71462,20.63102,61.47709,1873.35999,16.10111,25.34166,0.18621,32.19342,13.37828,0.36175,10.79365,25.33455,2.69855,1.16339,0.45597,2.88611,55.19869,135.80759,46.2625,17.8523,3.34927,69.2803,78.74368,345.9533,92.82252,35.51575,56.26287,57.22422,1.3022,48.86202,44.65414,19.31309,0.19048
2004年,92.74868,273.87343,73.24898,0.02419,59.21554,166.50854,16.31826,68.40375,24.93948,123.51326,2722.59745,31.67946,35.97339,1.27324,42.73845,27.46768,1.70618,15.5326,38.19555,4.91531,1.38688,3.13756,5.51524,62.01901,200.12534,64.00793,21.24638,3.63227,112.07151,101.95942,520.57907,154.80128,50.7131,78.57158,81.9665,2.87367,61.49511,56.56607,41.15614,0.49742
2005年,103.01993,340.83902,80.83527,0.18844,66.96774,197.75683,15.90936,85.04449,26.94669,99.40662,3084.56113,35.21874,40.04566,1.63102,50.84782,28.80562,4.60344,16.32427,38.67263,5.8412,1.41604,3.59867,7.34746,55.49389,235.3098,74.14789,21.49534,4.44329,122.11256,119.98973,606.72803,168.6486,60.29387,96.06819,84.72478,3.57254,70.23347,60.16274,49.39685,0.4726
2006年,134.04,481.01,97.39,0.02,77.67,233.04,18.01,98.11,31.82,115.16,3733.34,42.24,48.1,3.05,59.04,37.07,2.11,18.31,43.77,13.65,1.74,9.22,11.57,62.23,294.77,86.36,27.63,6.71,142.86,143.22,682.44,208.37,65.66,119.24,101.11,4.48,80.96,78.39,51.82,0.94
2007年,178.5369,571.46038,118.59142,0.01834,102.99078,299.88875,26.34758,119.40602,38.21325,138.89974,4655.19642,52.23549,60.32579,3.67687,67.10152,46.7156,7.22015,24.45293,54.47253,16.69246,1.7068,12.46057,20.09753,61.41961,371.58052,108.50673,54.75919,5.65639,173.37026,179.40261,846.98662,272.42161,74.67905,145.74439,137.30708,7.38763,90.68282,94.44846,66.93613,2.39592
2008年,244.67866,707.71632,134.70378,0.01573,148.44523,383.30052,24.07874,155.45225,47.20043,176.66419,5830.76588,62.83228,71.99106,5.61202,80.20407,69.77597,15.55199,30.51358,74.87357,20.52189,1.42296,14.78269,26.60533,67.7592,473.83233,121.97159,60.01597,8.95883,196.35708,208.6047,1027.58115,368.06998,93.51733,184.73987,165.67726,9.09471,122.10356,110.41763,111.25502,3.86641
2009年,254.68815,849.18774,127.60203,0.0,139.49209,390.54923,24.10787,191.4784,49.69794,175.56747,5991.91135,62.6895,70.47669,5.42484,79.23331,69.84115,13.85768,29.55138,76.96608,22.51633,0.99264,15.31477,30.52827,66.09835,478.24432,123.59957,61.64844,7.8932,210.287,208.10346,975.48388,383.02386,93.46255,182.27203,170.23598,8.30866,142.18692,111.04484,87.10718,3.14755
2010年,325.59993,1111.90348,155.10805,0.0,210.43317,494.86254,37.46602,232.47562,52.81487,218.31573,7544.2502,76.48901,80.60158,6.7515,88.45438,84.45722,17.20407,37.86846,80.76959,25.26408,1.07677,27.6099,38.62289,77.19492,599.20505,163.86265,71.54307,10.79974,246.24587,231.30784,1249.42966,482.73792,123.31998,221.85378,203.36141,8.82418,167.24386,140.42666,137.51466,5.23009
2011年,374.90803,1165.13269,185.36922,0.0,213.85575,574.64438,58.23723,258.063,55.57442,219.79674,8280.98717,75.66326,77.70384,7.50297,91.60914,105.13413,15.25408,35.71854,90.64878,26.16617,1.25235,42.14627,49.67229,79.13665,638.45865,167.33761,77.28836,29.86573,254.86774,221.39016,1460.16909,532.59281,120.86951,230.92103,229.98186,9.8544,193.67902,159.27542,144.36995,6.8759
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
