,中外合作经营大中型工业企业研究与试验发展经费支出,中外合资经营大中型工业企业研究与试验发展经费支出,其他大中型工业企业研究与试验发展经费支出,内资大中型工业企业研究与试验发展经费支出,合作经营大中型工业企业研究与试验发展经费支出,合资经营大中型工业企业研究与试验发展经费支出,国有及国有控股大中型工业企业研究与试验发展经费支出,国有大中型工业企业研究与试验发展经费支出,国有独资公司大中型工业企业研究与试验发展经费支出,国有联营大中型工业企业研究与试验发展经费支出,外商投资大中型工业企业研究与试验发展经费支出,外商投资股份有限公司大中型工业企业研究与试验发展经费支出,外资大中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出,投资股份有限公司大中型工业企业研究与试验发展经费支出,有限责任公司大中型工业企业研究与试验发展经费支出,港、澳、台商投资大中型工业企业研究与试验发展经费支出,独资经营大中型工业企业研究与试验发展经费支出,私营大中型工业企业研究与试验发展经费支出,联营大中型工业企业研究与试验发展经费支出,股份合作大中型工业企业研究与试验发展经费支出,股份有限公司大中型工业企业研究与试验发展经费支出,集体大中型工业企业研究与试验发展经费支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
