,贷方经常项目,贷方经常项目中专有权利使用费和特许费,贷方经常项目中保险服务,贷方经常项目中其它商业服务,贷方经常项目中其它部门经常转移,贷方经常项目中别处未提及的政府服务,贷方经常项目中各级政府经常转移,贷方经常项目中咨询服务,贷方经常项目中广告、宣传服务,贷方经常项目中建筑服务,贷方经常项目中投资收益,贷方经常项目中收益,贷方经常项目中旅游服务,贷方经常项目中服务,贷方经常项目中电影、音像服务,贷方经常项目中经常转移,贷方经常项目中职工报酬收益,贷方经常项目中计算机和信息服务,贷方经常项目中货物,贷方经常项目中货物和服务,贷方经常项目中运输服务,贷方经常项目中通讯服务,贷方经常项目中金融服务
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,2540100.0,0.0,20200.0,23100.0,54300.0,3600.0,12900.0,0.0,0.0,7500.0,101700.0,101700.0,84300.0,258700.0,0.0,67200.0,0.0,0.0,2112500.0,2371200.0,117300.0,2700.0,0.0
1983年,2535500.0,0.0,20300.0,13300.0,44600.0,1300.0,17400.0,0.0,0.0,9600.0,145300.0,145300.0,94100.0,257500.0,0.0,62000.0,0.0,0.0,2070700.0,2328200.0,116700.0,2200.0,0.0
1984年,2932000.0,0.0,22400.0,35200.0,31700.0,2800.0,27900.0,0.0,0.0,8600.0,192200.0,192200.0,113100.0,289700.0,0.0,59600.0,0.0,0.0,2390500.0,2680200.0,104400.0,3200.0,0.0
1985年,3007800.0,0.0,19600.0,43500.0,18000.0,13000.0,25800.0,0.0,0.0,9100.0,138700.0,138700.0,125000.0,314500.0,0.0,43800.0,0.0,0.0,2510800.0,2825300.0,103100.0,1200.0,0.0
1986年,3119900.0,0.0,22900.0,82600.0,26600.0,21500.0,25000.0,0.0,0.0,19900.0,90100.0,90100.0,153100.0,402600.0,0.0,51600.0,0.0,0.0,2575600.0,2978200.0,101100.0,1500.0,0.0
1987年,4053600.0,0.0,25200.0,88000.0,26000.0,20400.0,12900.0,0.0,0.0,5100.0,97600.0,97600.0,184500.0,443700.0,0.0,38900.0,0.0,0.0,3473400.0,3917100.0,119300.0,1200.0,0.0
1988年,4794900.0,0.0,34500.0,45800.0,42800.0,13700.0,14000.0,0.0,0.0,3500.0,146900.0,146900.0,224700.0,485800.0,0.0,56800.0,0.0,0.0,4105400.0,4591200.0,161200.0,2400.0,0.0
1989年,5019300.0,0.0,33200.0,72700.0,24700.0,15100.0,23000.0,0.0,0.0,5300.0,189400.0,189400.0,186000.0,460200.0,0.0,47700.0,0.0,0.0,4322000.0,4782200.0,136100.0,11800.0,0.0
1990年,6076700.0,0.0,22700.0,86600.0,23300.0,10700.0,14300.0,0.0,0.0,5200.0,301700.0,301700.0,221800.0,585500.0,0.0,37600.0,0.0,0.0,5151900.0,5737400.0,222600.0,15900.0,0.0
1991年,7050700.0,0.0,34200.0,187000.0,48400.0,11500.0,40600.0,0.0,0.0,7400.0,371900.0,371900.0,284000.0,697900.0,0.0,89000.0,0.0,0.0,5891900.0,6589800.0,151700.0,22100.0,0.0
