,贷方储备资产,贷方其它债权储备资产,贷方在基金组织的储备头寸储备资产,贷方外汇储备资产,贷方特别提款权储备资产,贷方货币黄金储备资产
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,6100.0,0.0,0.0,0.0,6100.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,68100.0,0.0,0.0,68100.0,0.0,0.0
1985年,557600.0,0.0,0.0,557600.0,0.0,0.0
1986年,185100.0,67900.0,0.0,117200.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,7600.0,0.0,2200.0,0.0,5400.0,0.0
1989年,5500.0,0.0,900.0,0.0,4600.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,242700.0,0.0,0.0,226900.0,15800.0,0.0
1993年,5400.0,0.0,5400.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,1200.0,0.0,0.0,0.0,1200.0,0.0
1998年,6200.0,0.0,0.0,10700.0,4800.0,0.0
1999年,125200.0,0.0,125200.0,0.0,1300.0,0.0
2000年,58000.0,0.0,58000.0,0.0,0.0,0.0
2001年,0.0,0.0,3500.0,0.0,187.552126572,0.0
2002年,18425.9243995,0.0,18425.9243995,0.0,0.0,0.0
2003年,26600.0,0.0,18500.0,0.0,8100.0,0.0
2004年,48700.0,0.0,48700.0,0.0,0.0,0.0
2005年,194400.0,0.0,192900.0,0.0,1500.0,0.0
2006年,64597.0,0.0,31009.0,0.0,33588.0,0.0
2007年,47898.31668,0.0,44872.71668,0.0,3025.6,0.0
2008年,10498.61727,0.0,4568.4144,0.0,5930.20287,0.0
2009年,14132.59291,0.0,11597.12217,0.0,2535.47074,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0
2011年,101643.88545,0.0,55125.6711173,0.0,46518.2143327,0.0
2012年,1355102.84223,0.0,161593.241884,1124046.0,69463.600343,0.0
2013年,132025.990088,0.0,111370.00259,0.0,20655.987498,0.0
2014年,3122789.94852,,133450.275378,2975457.0,13882.6731434,
