,贷方资本和金融项目,贷方资本项目,贷方金融项目,贷方金融项目中其它投资,贷方金融项目中其它投资的中长期其它资产,贷方金融项目中其它投资的其它负债,贷方金融项目中其它投资的其它资产,贷方金融项目中其它投资的短期其它负债,贷方金融项目中其它投资的短期其它资产,贷方金融项目中其它投资的短期贷款资产,贷方金融项目中其它投资的短期贸易信贷资产,贷方金融项目中其它投资的负债,贷方金融项目中其它投资的货币和存款资产,贷方金融项目中其它投资的贷款资产,贷方金融项目中其它投资的贸易信贷负债,贷方金融项目中其它投资的贸易信贷资产,贷方金融项目中其它投资的长期其它负债,贷方金融项目中其它投资的长期贸易信贷资产,贷方金融项目中其它投资的长期资产贷款,贷方金融项目中其它投资短期贷款负债,贷方金融项目中其它投资短期贸易信贷负债,贷方金融项目中其它投资货币和存款负债,贷方金融项目中其它投资贷款负债,贷方金融项目中其它投资资产,贷方金融项目中其它投资长期贷款负债,贷方金融项目中其它投资长期贸易信贷负债,贷方金融项目中外国在华直接投资,贷方金融项目中我国在外直接投资,贷方金融项目中直接投资,贷方金融项目中证券投资,贷方金融项目中证券投资的(中)长期债券证券负债,贷方金融项目中证券投资的(中)长期债务证券资产,贷方金融项目中证券投资的债务证券负债,贷方金融项目中证券投资的债务证券资产,贷方金融项目中证券投资的股本证券负债,贷方金融项目中证券投资的股本证券资产,贷方金融项目中证券投资的货币市场工具债券证券负债,贷方金融项目中证券投资的货币市场工具债务证券资产,贷方金融项目中证券投资负债,贷方金融项目中证券投资资产
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,355600.0,0.0,355600.0,308500.0,0.0,13300.0,0.0,0.0,0.0,0.0,0.0,300500.0,0.0,1800.0,161100.0,6200.0,13300.0,6200.0,1800.0,6700.0,17700.0,0.0,126100.0,8000.0,119400.0,143400.0,43000.0,0.0,43000.0,4100.0,4100.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0
1983年,304100.0,0.0,304100.0,197200.0,0.0,22300.0,0.0,0.0,0.0,0.0,0.0,185400.0,0.0,1500.0,48500.0,10300.0,22300.0,10300.0,1500.0,5500.0,400.0,0.0,114600.0,11800.0,109100.0,48100.0,91600.0,0.0,91600.0,15300.0,2000.0,0.0,2000.0,13300.0,0.0,0.0,0.0,13300.0,2000.0,13300.0
1984年,451200.0,0.0,451200.0,215100.0,0.0,40100.0,0.0,0.0,0.0,0.0,0.0,209200.0,0.0,400.0,43500.0,5500.0,40100.0,5500.0,400.0,8400.0,13900.0,0.0,125600.0,5900.0,117200.0,29600.0,141900.0,0.0,141900.0,94200.0,8300.0,0.0,8300.0,85900.0,0.0,0.0,0.0,85900.0,8300.0,85900.0
1985年,2117400.0,0.0,2117400.0,1616900.0,0.0,39500.0,0.0,0.0,0.0,0.0,816200.0,792800.0,0.0,2300.0,91500.0,821800.0,39500.0,5600.0,2300.0,266800.0,51600.0,0.0,661800.0,824100.0,395000.0,39900.0,195600.0,0.0,195600.0,304900.0,76400.0,0.0,76400.0,228500.0,0.0,0.0,0.0,228500.0,76400.0,228500.0
1986年,2133300.0,0.0,2133300.0,1748100.0,0.0,63900.0,65500.0,0.0,65500.0,0.0,789400.0,866300.0,0.0,12500.0,94400.0,803800.0,63900.0,14400.0,12500.0,69500.0,32600.0,0.0,708000.0,881800.0,638500.0,61800.0,224400.0,0.0,224400.0,160800.0,160800.0,0.0,160800.0,0.0,0.0,0.0,0.0,0.0,160800.0,0.0
1987年,1916600.0,0.0,1916600.0,1566100.0,0.0,72500.0,17700.0,0.0,17700.0,0.0,803900.0,739200.0,0.0,2000.0,95500.0,807200.0,72500.0,3300.0,2000.0,67800.0,53200.0,0.0,571200.0,826900.0,503400.0,42300.0,231400.0,0.0,231400.0,119100.0,119100.0,0.0,119100.0,0.0,0.0,0.0,0.0,0.0,119100.0,0.0
1988年,2026200.0,0.0,2026200.0,1585200.0,0.0,55100.0,0.0,0.0,0.0,0.0,727300.0,846100.0,0.0,2800.0,122800.0,736300.0,55100.0,9000.0,2800.0,76200.0,111300.0,0.0,668200.0,739100.0,592000.0,11500.0,319400.0,0.0,319400.0,121600.0,121600.0,0.0,121600.0,0.0,0.0,0.0,0.0,0.0,121600.0,0.0
1989年,2118500.0,0.0,2118500.0,1765200.0,0.0,97100.0,270400.0,0.0,270400.0,0.0,525100.0,957200.0,0.0,3700.0,128700.0,533900.0,97100.0,8800.0,3700.0,8700.0,100900.0,0.0,731400.0,808000.0,722700.0,27800.0,339300.0,0.0,339300.0,14000.0,14000.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0
1990年,2037700.0,0.0,2037700.0,1689000.0,0.0,90300.0,0.0,0.0,0.0,0.0,538800.0,1113400.0,0.0,4800.0,131900.0,570800.0,90300.0,32000.0,4800.0,267800.0,70000.0,0.0,891200.0,575600.0,623400.0,61900.0,348700.0,0.0,348700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
