,城镇居民人均可支配收入,城镇居民人均工资性收入,城镇居民人均总收入,城镇居民人均经营净收入,城镇居民人均财产性收入,城镇居民人均转移性收入,城镇居民家庭人均交通和通信消费支出,城镇居民家庭人均其他消费支出,城镇居民家庭人均医疗保健消费支出,城镇居民家庭人均家庭设备及用品消费支出,城镇居民家庭人均居住消费支出,城镇居民家庭人均文教娱乐服务消费支出,城镇居民家庭人均现金消费支出,城镇居民家庭人均衣着消费支出,城镇居民家庭人均食品消费支出,城镇居民家庭平均每一就业者负担人数,城镇居民家庭平均每户家庭人口,城镇居民家庭平均每户就业人口,城镇居民家庭调查户数
1978年,343.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.2,0.0,0.0,0.0,0.0,0.0,0.0
1979年,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,477.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.4,0.0,0.0,0.0,0.0,0.0,0.0
1981年,500.4,0.0,500.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.84,0.0,420.36,1.77,4.24,2.39,8715.0
1982年,535.3,0.0,535.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,432.12,1.73,4.14,2.39,9020.0
1983年,564.6,0.0,572.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.92,0.0,464.04,1.71,4.06,2.38,9060.0
1984年,652.1,0.0,660.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.44,0.0,514.32,1.71,4.04,2.36,12500.0
1985年,739.1,0.0,748.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.2,0.0,351.72,1.81,3.89,2.15,24338.0
1986年,900.9,0.0,909.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.96,0.0,418.92,1.8,3.82,2.12,31126.0
1987年,1002.1,0.0,1012.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.4,0.0,472.93,1.79,3.74,2.09,32855.0
1988年,1180.2,0.0,1192.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.98,0.0,567.01,1.79,3.63,2.03,34945.0
1989年,1373.9319,0.0,1387.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.95,0.0,659.96,1.78,3.55,2.0,35235.0
1990年,1510.2,0.0,1516.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.89,0.0,693.77,1.77,3.5,1.98,35660.0
