,农村居民家庭平均每人家庭经营纯收入,农村居民家庭平均每人工资性纯收入,农村居民家庭平均每人纯收入,农村居民家庭平均每人财产性纯收入,农村居民家庭平均每人转移性纯收入,农村居民平均每个劳动力负担人口(含本人),农村居民平均每户常住人口,农村居民平均每户整半劳动力,农村居民调查户数
1978年,35.79,88.26,133.57,,9.5,2.53,5.74,2.27,6095.0
1979年,44.0,100.7,160.17,,15.5,2.38,5.66,2.38,10282.0
1980年,62.55,106.38,191.33,,22.4,2.26,5.54,2.45,15914.0
1981年,84.52,113.8,223.44,,25.12,2.17,5.5,2.53,18529.0
1982年,102.8,142.85,270.11,,24.46,2.12,5.46,2.58,22775.0
1983年,227.66,57.53,309.77,,24.58,1.91,5.43,2.84,30427.0
1984年,261.69,66.46,355.33,,27.18,1.87,5.37,2.87,31375.0
1985年,295.98,72.15,397.6,,29.47,1.74,5.12,2.95,66642.0
1986年,313.28,81.58,423.76,,28.9,1.72,5.07,2.95,66836.0
1987年,345.5,95.47,462.55,,21.58,1.7,5.01,2.95,66912.0
1988年,403.17,117.77,544.94,,24.0,1.67,4.94,2.95,67186.0
1989年,434.56,136.46,601.51,,30.49,1.65,4.86,2.94,66906.0
1990年,518.55,138.8,686.31,,28.96,1.64,4.8,2.92,66960.0
1991年,523.59,151.92,708.55,,33.04,1.7,4.7,2.8,67410.0
1992年,561.57,184.38,783.99,,38.04,1.6,4.7,2.8,67490.0
1993年,678.48,194.51,921.62,7.02,41.61,1.6,4.6,2.9,67570.0
1994年,881.86,262.98,1220.98,28.55,47.59,1.6,4.5,2.9,67420.0
1995年,1125.79,353.7,1577.74,40.98,57.27,1.56,4.48,2.88,67340.0
1996年,1362.45,450.84,1926.07,42.59,70.19,1.6,4.4,2.8,67610.0
1997年,1472.72,514.56,2090.13,23.6,79.25,1.56,4.35,2.79,67680.0
1998年,1466.0,573.58,2161.98,30.37,92.03,1.55,4.3,2.78,68300.0
1999年,1448.36,630.256231858,2210.34,31.5518425133,100.17456731,1.54,4.25,2.77,67430.0
2000年,1427.27,702.3,2253.42,45.04,78.81,1.52,4.2,2.76,68116.0
2001年,1459.63,771.9,2366.4,46.97,87.9,1.52,4.15,2.73,68190.0
2002年,1486.54,840.22,2475.63,50.68,98.19,1.5,4.13,2.76,68190.0
2003年,1541.28,918.38,2622.24,65.75,96.83,1.47,4.1,2.8,68190.0
2004年,1745.79,998.46,2936.4,76.61,115.54,1.45,4.08,2.82,68190.0
2005年,1844.53,1174.53,3254.9,88.45,147.42,1.44,4.07,2.82,68190.0
2006年,1930.96209649,1374.8,3587.04,100.503647324,180.776314083,1.43,4.05,2.83,68190.0
2007年,2193.67,1596.22,4140.36,128.22,222.25,1.419,4.03,2.84,68190.0
2008年,2435.56,1853.73,4760.62,148.08,323.24,1.41,4.0137,2.846,68190.0
2009年,2526.78,2061.25,5153.17,167.2,397.95,1.4,3.98,2.85,68190.0
2010年,2832.8,2431.05,5919.01,202.25,452.92,1.38737209266,3.95477,2.8505,68190.0
2011年,3221.98,2963.43,6977.29,228.57,563.32,1.40191,3.8987,2.781,73630.0
2012年,3533.36627852,3447.46365626,7916.58,249.054319044,686.69623667,1.40438,3.8811,2.7636,73750.0
2013年,,,,,,,,,
2014年,,,,,,,,,
