,不使用“中国标准书号”部分图书出版印数,交通运输图书出版印数,使用“中国标准书号”部分图书出版印数,军事图书出版印数,农业科学图书出版印数,医学、卫生图书出版印数,历史、地理图书出版印数,哲学图书出版印数,国标(GB)、部标(BB)等标准类文件印品出版印数,图书出版印数,图片出版印数,天文学、地球科学图书出版印数,工业技术图书出版印数,政治、法律图书出版印数,数理科学、化学图书出版印数,文化、科学、教育、体育图书出版印数,文学图书出版印数,活页文选、活页歌篇、小件印品等出版印数,环境科学图书出版印数,生物科学图书出版印数,社会科学总论图书出版印数,经济图书出版印数,综合性图书出版图书出版印数,自然科学总论图书出版印数,航空、航天图书出版印数,艺术图书出版印数,语言、文字图书出版印数,马列主义、毛泽东思想图书出版印数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,2.3017,0.0981,54.0609,0.0239,0.1571,0.2783,0.3657,0.1507,0.0,56.36,0.0,0.0555,0.8119,0.8326,0.1917,46.8076,1.2233,0.0,0.0107,0.0211,0.1571,0.5626,0.4345,0.0869,0.0039,1.2538,0.508,0.0259
1991年,2.0495,0.1052,59.3445,0.0367,0.2784,0.3357,0.4877,0.122,0.0,61.394,0.0,0.0626,0.8309,1.0569,0.1964,50.8532,1.4246,0.0,0.0071,0.0178,0.0948,0.5856,0.4511,0.0594,0.0046,1.3163,0.608,0.4095
