,不使用“中国标准书号”部分图书出版印张数,交通运输图书出版印张数,使用“中国标准书号”部分图书出版印张数,军事图书出版印张数,农业科学图书出版印张数,医学、卫生图书出版印张数,历史、地理图书出版印张数,哲学图书出版印张数,国标(GB)、部标(BB)等标准类文件印品出版印张数,图书出版印张数,图片出版印张数,天文学、地球科学图书出版印张数,工业技术图书出版印张数,政治、法律图书出版印张数,数理科学、化学图书出版印张数,文化、科学、教育、体育图书出版印张数,文学图书出版印张数,活页文选、活页歌篇、小件印品等出版印张数,环境科学图书出版印张数,生物科学图书出版印张数,社会科学总论图书出版印张数,经济图书出版印张数,综合性图书出版图书出版印张数,自然科学总论图书出版印张数,航空、航天图书出版印张数,艺术图书出版印张数,语言、文字图书出版印张数,马列主义、毛泽东思想图书出版印张数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,5.4,0.9,223.6,0.2,1.2,3.8,3.0,1.7,0.0,232.0549,0.0,0.3,10.5,6.3,2.1,158.1,11.1,0.0,0.1,0.3,1.1,6.9,4.5,0.7,0.0,4.0,6.4,0.3
1991年,5.9,1.0,257.1,0.3,1.8,4.7,4.7,1.2,0.0,266.10696,0.0,0.3,11.6,8.3,2.2,175.9,13.6,0.0,0.1,0.2,1.0,7.0,4.8,0.5,0.1,4.8,8.0,0.5
