,其他制造业提供给批发零售贸易、住宿和餐饮业的中间使用,其他服务业提供给批发零售贸易、住宿和餐饮业的中间使用,农、林、牧、渔业提供给批发零售贸易、住宿和餐饮业的中间使用,化学工业提供给批发零售贸易、住宿和餐饮业的中间使用,建筑业提供给批发零售贸易、住宿和餐饮业的中间使用,房地产业、租赁和商务服务业提供给批发零售贸易、住宿和餐饮业的中间使用,批发零售贸易、住宿和餐饮业中间使用,批发零售贸易、住宿和餐饮业劳动者报酬,批发零售贸易、住宿和餐饮业固定资产折旧,批发零售贸易、住宿和餐饮业增加值,批发零售贸易、住宿和餐饮业总投入,批发零售贸易、住宿和餐饮业提供给批发零售贸易、住宿和餐饮业的中间使用,批发零售贸易、住宿和餐饮业生产税净额,批发零售贸易、住宿和餐饮业营业盈余,机械设备制造业提供给批发零售贸易、住宿和餐饮业的中间使用,炼焦、燃气及石油加工业提供给批发零售贸易、住宿和餐饮业的中间使用,电力、热力及水的生产和供应业提供给批发零售贸易、住宿和餐饮业的中间使用,纺织、服装及皮革产品制造业提供给批发零售贸易、住宿和餐饮业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给批发零售贸易、住宿和餐饮业的中间使用,采矿业提供给批发零售贸易、住宿和餐饮业的中间使用,金属产品制造业提供给批发零售贸易、住宿和餐饮业的中间使用,金融业提供给批发零售贸易、住宿和餐饮业的中间使用,非金属矿物制品业提供给批发零售贸易、住宿和餐饮业的中间使用,食品、饮料制造及烟草制品业提供给批发零售贸易、住宿和餐饮业的中间使用
2000年,5843086.7,808819.62031,9102805.0,3358018.0,733633.5,11503534.0,95807995.4273,40165853.1435,5441584.14106,73534754.6684,169342750.096,14618017.0,18537801.4614,9389515.92245,13503216.33,3664432.6,2063585.0,2225673.3,5328325.54,189162.137,650552.8,6974741.0,871392.9,14369000.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,7801290.3511,5026126.71908,12693379.5405,3987849.28109,2304846.24965,14608221.475,121152598.993,49227169.4124,10020800.8369,121757419.091,242910018.085,12949236.1665,40432339.5543,22077109.2875,14273143.1437,2911038.17015,4859462.19879,2058539.08342,6678044.74948,497301.238952,772648.459218,11228353.8617,398615.153448,18104503.1517
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,9473663.67441,7791721.94299,18755112.9212,5814484.57416,3939444.92116,19209709.2809,173032966.271,44558721.1867,13929973.4524,167865983.481,340898949.752,16441781.1259,34376129.853,75001158.9887,18265534.1776,5551993.33656,9505844.80201,2883661.97744,15955929.8953,957765.187039,1073568.55222,8254225.1194,665619.821658,28492904.9612
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,7609477.59381,11204157.8879,17846691.233,4575554.84197,1276015.23659,28594040.8548,207488189.365,57264921.09,17640732.715,228991578.447,436479767.811,14074297.6107,48203024.408,105882900.234,12485288.5429,2674324.93052,8886033.70063,4841810.13882,31920890.2303,552523.047952,574376.612302,14076559.9468,349526.541864,45946620.414
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,5901402.35177,10863143.7498,25006235.8031,5322716.20574,1543379.38588,33738121.3406,260710157.583,132774136.327,30458423.6029,386233884.722,646944042.305,15900130.5612,92523028.084,130478296.708,11536557.8257,2418364.39697,10769412.2945,5945095.72992,35787666.9141,267431.407089,623433.524896,17458923.1893,552713.3072,77075429.5948
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,8847282.9206,11528640.3196,26006482.9022,3532969.17972,2775646.2489,102216945.793,361218975.292,211793058.577,38607529.0887,593679321.911,954898297.203,38752735.9804,171664854.442,171613879.803,12855928.0656,3573268.74684,10106857.45,3203238.23167,32417396.3174,39254.6526759,392416.56562,31590409.9674,148284.284278,73231217.6657
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
