,其他制造业提供给炼焦、燃气及石油加工业的中间使用,其他服务业提供给炼焦、燃气及石油加工业的中间使用,农、林、牧、渔业提供给炼焦、燃气及石油加工业的中间使用,化学工业提供给炼焦、燃气及石油加工业的中间使用,建筑业提供给炼焦、燃气及石油加工业的中间使用,房地产业、租赁和商务服务业提供给炼焦、燃气及石油加工业的中间使用,批发零售贸易、住宿和餐饮业提供给炼焦、燃气及石油加工业的中间使用,机械设备制造业提供给炼焦、燃气及石油加工业的中间使用,炼焦、燃气及石油加工业中间使用,炼焦、燃气及石油加工业劳动者报酬,炼焦、燃气及石油加工业固定资产折旧,炼焦、燃气及石油加工业增加值,炼焦、燃气及石油加工业总投入,炼焦、燃气及石油加工业提供给炼焦、燃气及石油加工业的中间使用,炼焦、燃气及石油加工业生产税净额,炼焦、燃气及石油加工业营业盈余,电力、热力及水的生产和供应业提供给炼焦、燃气及石油加工业的中间使用,纺织、服装及皮革产品制造业提供给炼焦、燃气及石油加工业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给炼焦、燃气及石油加工业的中间使用,采矿业提供给炼焦、燃气及石油加工业的中间使用,金属产品制造业提供给炼焦、燃气及石油加工业的中间使用,金融业提供给炼焦、燃气及石油加工业的中间使用,非金属矿物制品业提供给炼焦、燃气及石油加工业的中间使用,食品、饮料制造及烟草制品业提供给炼焦、燃气及石油加工业的中间使用
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,239985.269455,71356.263609,271.779744296,689329.954317,38901.5450297,243815.505075,1231608.30059,1270427.64553,25174545.0596,1737067.88284,1133549.78412,7202343.83604,32376888.8956,1605821.37115,2900161.86663,1431564.30245,707988.355576,91778.1466925,930573.199824,17238883.7102,204511.571808,324307.311154,284985.12986,0.0
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,247167.62,120621.466,342.039,1248344.1,61823.5,434935.54,2024022.37,2035873.63,62494043.158,5991478.56123,3800948.66042,20717374.0803,83211417.2383,6404799.8,6274442.5565,4650504.30217,2064048.0,115304.56,1635607.784,44976991.789,293546.59,587042.1,243572.27,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,196089.477848,714243.139588,46879.1464688,1113519.13107,22243.3764459,679107.097168,2215739.4408,1760947.66138,53278847.8737,3422127.76162,2295399.09872,11205104.3164,64483952.1901,3156408.84115,3711261.80286,1776315.65321,1604966.76067,89675.1024163,2963537.60573,37394821.3022,611560.82494,558036.959779,151072.006084,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,299235.946669,1114329.66981,76115.5259348,1684830.5939,38657.9657993,588721.394856,2950197.57808,2425469.2049,107614231.771,5278379.07514,5791297.36411,26030754.9985,133644986.769,5834530.16594,8837160.69839,6123917.86086,3111583.58296,132475.167794,5104752.70401,82336655.4752,898155.009281,660011.22084,358510.565061,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,437846.843137,1061279.83516,6249.63031796,3997051.4744,124342.025105,1201634.04799,3671193.99256,5228123.07696,182086948.112,11886364.3544,7920344.94742,39741589.4982,221828537.61,13239342.2909,10729269.374,9205610.82236,5147428.82156,235297.849909,6300694.12824,136375665.586,1139935.49889,1770994.40087,882891.38852,1266977.22096
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,446515.164779,1053037.84833,6680.89626524,5620623.98589,144703.625468,1432175.3168,4051298.13131,5339855.41412,241663717.26,9740359.66243,7218477.24619,59822379.9731,301486097.233,18214900.8543,32157664.5663,10705878.4982,5483142.86809,139950.862917,6652821.31258,187746026.858,1157540.81807,1759381.56818,1017394.56156,1397667.17349
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,611362.133574,1733547.58838,19198.976991,10088573.569,570451.119949,2492540.21305,5392879.25591,5492826.61264,350178850.996,16776248.3854,10372692.1992,81181341.335,431360192.331,32443995.5923,41520976.5947,12511424.1556,7201425.64207,330135.125349,8183955.74007,263731669.003,379469.784873,6185790.7476,2900895.11449,2420134.77705
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
