,体育系统人员数,体育系统体育场馆人员数,体育系统体育行政机关人员数,体育系统体育运动学校人员数,体育系统其他事业单位人员数,体育系统其他体育系统人员数,体育系统单项运动学校人员数,体育系统县级人员数,体育系统县级体育场馆人员数,体育系统县级体育行政机关人员数,体育系统县级体育运动学校人员数,体育系统县级其他事业单位人员数,体育系统县级其他人员数,体育系统县级单项运动学校人员数,体育系统县级少儿体育运动学校(业余体校)人员数,体育系统县级本科院校人员数,体育系统县级科研所人员数,体育系统县级竞技体校人员数,体育系统县级职业、运动技术学院人员数,体育系统县级训练基地人员数,体育系统县级运动项目管理部门人员数,体育系统国家级人员数,体育系统国家级体育场馆人员数,体育系统国家级体育行政机关人员数,体育系统国家级体育运动学校人员数,体育系统国家级其他事业单位人员数,体育系统国家级其他人员数,体育系统国家级单项运动学校人员数,体育系统国家级少儿体育运动学校(业余体校)人员数,体育系统国家级本科院校人员数,体育系统国家级科研所人员数,体育系统国家级竞技体校人员数,体育系统国家级职业、运动技术学院人员数,体育系统国家级训练基地人员数,体育系统国家级运动项目管理部门人员数,体育系统地级人员数,体育系统地级体育场馆人员数,体育系统地级体育行政机关人员数,体育系统地级体育运动学校人员数,体育系统地级其他事业单位人员数,体育系统地级其他人员数,体育系统地级单项运动学校人员数,体育系统地级少儿体育运动学校(业余体校)人员数,体育系统地级本科院校人员数,体育系统地级科研所人员数,体育系统地级竞技体校人员数,体育系统地级职业、运动技术学院人员数,体育系统地级训练基地人员数,体育系统地级运动项目管理部门人员数,体育系统少儿体育运动学校(业余体校)人员数,体育系统本科院校人员数,体育系统省级人员数,体育系统省级体育场馆人员数,体育系统省级体育行政机关人员数,体育系统省级体育运动学校人员数,体育系统省级其他事业单位人员数,体育系统省级其他人员数,体育系统省级单项运动学校人员数,体育系统省级少儿体育运动学校(业余体校)人员数,体育系统省级本科院校人员数,体育系统省级科研所人员数,体育系统省级竞技体校人员数,体育系统省级职业、运动技术学院人员数,体育系统省级训练基地人员数,体育系统省级运动项目管理部门人员数,体育系统科研所人员数,体育系统竞技体校人员数,体育系统职业、运动技术学院人员数,体育系统训练基地人员数,体育系统运动项目管理部门人员数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
