,一般旅馆主营业务利润,中外合作经营住宿业企业主营业务利润,中外合资经营住宿业企业主营业务利润,住宿业企业主营业务利润,其他住宿业企业主营业务利润,其他住宿服务主营业务利润,其他外商投资住宿业企业主营业务利润,其他有限责任公司住宿业企业主营业务利润,其他港澳台商投资住宿业企业主营业务利润,其他联营住宿业企业主营业务利润,内资住宿业企业主营业务利润,国有与集体联营住宿业企业主营业务利润,国有住宿业企业主营业务利润,国有独资公司住宿业企业主营业务利润,国有联营住宿业企业主营业务利润,外商投资住宿业企业主营业务利润,外商投资股份有限公司住宿业企业主营业务利润,外资住宿业企业主营业务利润,旅游饭店主营业务利润,有限责任公司住宿业企业主营业务利润,港、澳、台商合作经营住宿业企业主营业务利润,港、澳、台商合资经营住宿业企业主营业务利润,港、澳、台商投资住宿业企业主营业务利润,港、澳、台商投资股份有限公司住宿业企业主营业务利润,港、澳、台商独资经营住宿业企业主营业务利润,私营住宿业企业主营业务利润,私营合伙住宿业企业主营业务利润,私营有限责任公司住宿业企业主营业务利润,私营独资住宿业企业主营业务利润,私营股份有限公司住宿业企业主营业务利润,联营住宿业企业主营业务利润,股份合作住宿业企业主营业务利润,股份有限公司住宿业企业主营业务利润,集体住宿业企业主营业务利润,集体联营住宿业企业主营业务利润
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,24.91279,20.86694,47.27354,650.1333,2.11899,3.3862,0.0,108.20391,0.0,0.69369,450.72805,3.44776,173.21359,13.96384,6.79497,84.09765,0.79934,15.15783,621.83431,122.16775,29.76469,76.75402,115.3076,0.74049,8.0484,80.44087,2.52769,59.30614,12.93358,5.67346,11.49003,7.3637,28.92384,25.00928,0.55361
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,142.9947,23.0899,81.2331,1355.9104,11.0944,18.3032,0.0,301.1986,0.0,1.5106,1034.2106,1.6976,302.7843,19.7427,4.1404,142.6695,3.3121,35.0344,1194.6124,320.9413,28.4084,109.7601,179.0303,3.0451,37.8167,293.8662,13.3985,214.0681,50.8102,15.5894,7.7218,13.1799,47.9446,36.6781,0.3732
2009年,151.75374,16.43886,66.81145,1313.89347,15.66595,20.11855,0.0,313.47918,0.0,0.64497,1027.82433,1.95816,287.96292,17.25301,3.68761,122.73645,3.54372,35.94242,1142.02118,330.73219,25.95883,91.9118,163.33269,3.75635,41.70571,300.76095,12.7564,222.40242,49.14153,16.4606,6.87954,9.38997,43.26734,33.16547,0.5888
2010年,205.1,19.3,74.1,1603.1,19.1,26.2,0.0,409.4,0.0,1.1,1268.0,2.0,319.1,19.8,3.5,142.8,2.8,46.7,1371.9,429.2,28.1,105.1,192.3,3.6,55.6,393.1,13.8,293.2,64.9,21.2,7.6,10.2,51.7,37.9,1.0
2011年,235.9922,23.2749,78.9544,1911.525,51.0571,31.3262,0.6592,547.872,0.4858,1.4622,1535.0063,1.5189,351.0647,23.9958,3.5285,156.6656,4.4022,49.3749,1644.2065,571.8678,29.5534,119.93,219.8531,5.2989,64.585,439.3293,14.9967,332.4829,64.1201,27.7297,7.6301,12.644,63.3863,38.0269,1.1205
2012年,269.56754,19.99067,81.36294,2040.32566,60.33076,35.25281,0.73578,612.52921,0.22536,1.45324,1674.40685,1.21237,364.67074,26.3832,3.52018,149.23111,2.53457,44.60715,1735.50531,638.91241,28.24232,112.4785,216.6877,6.26597,69.47555,483.0361,16.31111,372.02282,69.59112,25.11105,7.30688,12.75371,66.21859,41.17766,1.12109
2013年,283.10956,15.00272,75.29359,1927.15243,15.5891,38.95445,0.65907,658.29328,0.90154,0.271,1574.86496,0.86591,250.18988,56.53346,1.87807,141.16072,2.5904,47.61494,1605.08842,714.82674,25.66165,104.15969,211.12675,5.56025,74.84362,489.72888,10.39601,410.99232,42.21326,26.12729,3.85655,6.22397,64.25527,30.19457,0.84157
2014年,302.45787,13.85946,68.19929,1952.2,13.60084,36.4,2.39218,695.2,0.26918,0.28199,1611.8,0.71442,232.54282,63.09196,1.99541,130.0579,3.84693,41.76004,1613.27045,758.3,30.33753,98.66689,210.4334,5.88567,75.27413,508.47448,9.60083,432.40817,40.56684,25.89864,3.39823,5.53201,61.30001,28.58527,0.40641
