,社会消费品零售总额
1978年,1558.6
1979年,1800.0
1980年,2140.0
1981年,2350.0
1982年,2570.0
1983年,2849.4
1984年,3376.4
1985年,4305.0
1986年,4950.0
1987年,5820.0
1988年,7440.0
1989年,8101.4
1990年,8300.1
1991年,9415.6
1992年,10993.7
1993年,14270.4
1994年,18622.9
1995年,23613.8
1996年,28360.2
1997年,31252.9
1998年,33378.1
1999年,35647.9
2000年,39105.7
2001年,43055.4
2002年,48135.9
2003年,52516.3
2004年,59501.0
2005年,68352.6
2006年,79145.2
2007年,93571.6
2008年,114830.1
2009年,132678.4
2010年,156998.426616
2011年,183918.60371
2012年,210306.97625
2013年,242842.828124
2014年,271896.14333
