,丹麦实用新型专利申请授权数,以色列实用新型专利申请授权数,俄罗斯联邦实用新型专利申请授权数,列支敦士登实用新型专利申请授权数,加拿大实用新型专利申请授权数,匈牙利实用新型专利申请授权数,南非实用新型专利申请授权数,卢森堡实用新型专利申请授权数,印度实用新型专利申请授权数,塞普路斯实用新型专利申请授权数,奥地利实用新型专利申请授权数,巴西实用新型专利申请授权数,德国实用新型专利申请授权数,意大利实用新型专利申请授权数,挪威实用新型专利申请授权数,捷克实用新型专利申请授权数,摩纳哥实用新型专利申请授权数,新加坡实用新型专利申请授权数,新西兰实用新型专利申请授权数,日本实用新型专利申请授权数,比利时实用新型专利申请授权数,法国实用新型专利申请授权数,波兰实用新型专利申请授权数,泰国实用新型专利申请授权数,澳大利亚实用新型专利申请授权数,爱尔兰实用新型专利申请授权数,瑞典实用新型专利申请授权数,瑞士实用新型专利申请授权数,美国实用新型专利申请授权数,芬兰实用新型专利申请授权数,英国实用新型专利申请授权数,荷兰实用新型专利申请授权数,西班牙实用新型专利申请授权数,韩国实用新型专利申请授权数,马来西亚实用新型专利申请授权数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,0.0,73.0,0.0,7.0,0.0,13.0,1.0,0.0,0.0,1.0,29.0,0.0,5.0,1.0,3.0,45.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,0.0,1.0,1.0,66.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,25.0,0.0,5.0,1.0,3.0,29.0,2.0
1997年,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,3.0,0.0,1.0,0.0,45.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,1.0,6.0,1.0,2.0,39.0,0.0
1998年,2.0,,,,5.0,1.0,,,,,,,1.0,6.0,,1.0,,1.0,,52.0,,2.0,,1.0,4.0,,,2.0,31.0,,7.0,3.0,3.0,58.0,1.0
1999年,,1.0,,,5.0,,,,,1.0,,,19.0,10.0,,,,2.0,1.0,76.0,,,,1.0,2.0,,2.0,6.0,50.0,1.0,7.0,2.0,3.0,57.0,1.0
2000年,1.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,,3.0,0.0,78.0,0.0,2.0,,0.0,5.0,1.0,0.0,11.0,134.0,0.0,16.0,1.0,3.0,48.0,2.0
2001年,1.0,1.0,1.0,,11.0,,,9.0,,,,1.0,10.0,2.0,,,,4.0,,64.0,,1.0,,3.0,4.0,,,1.0,131.0,4.0,9.0,,3.0,57.0,1.0
