,丹麦发明专利申请授权数,以色列发明专利申请授权数,俄罗斯联邦发明专利申请授权数,列支敦士登发明专利申请授权数,加拿大发明专利申请授权数,匈牙利发明专利申请授权数,南非发明专利申请授权数,卢森堡发明专利申请授权数,印度发明专利申请授权数,塞普路斯发明专利申请授权数,奥地利发明专利申请授权数,巴西发明专利申请授权数,德国发明专利申请授权数,意大利发明专利申请授权数,挪威发明专利申请授权数,捷克发明专利申请授权数,摩纳哥发明专利申请授权数,新加坡发明专利申请授权数,新西兰发明专利申请授权数,日本发明专利申请授权数,比利时发明专利申请授权数,法国发明专利申请授权数,波兰发明专利申请授权数,泰国发明专利申请授权数,澳大利亚发明专利申请授权数,爱尔兰发明专利申请授权数,瑞典发明专利申请授权数,瑞士发明专利申请授权数,美国发明专利申请授权数,芬兰发明专利申请授权数,英国发明专利申请授权数,荷兰发明专利申请授权数,西班牙发明专利申请授权数,韩国发明专利申请授权数,马来西亚发明专利申请授权数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,10,0,1,5,13,6,0,11,0,0,25,0,145,35,7,2,1,1,2,490,16,89,0,1,28,0,20,96,643,7,52,72,8,55,0
1996年,5,5,4,1,20,12,1,4,0,1,14,1,148,46,2,1,0,1,1,445,19,115,1,0,20,0,19,60,449,9,66,59,1,49,0
1997年,7,4,2,3,22,3,2,4,0,0,12,3,177,45,8,1,0,1,3,594,13,125,1,0,24,2,37,91,535,20,74,81,2,61,1
1998年,22,10,0,10,25,3,6,12,3,0,33,2,319,76,13,2,1,2,1,926,20,142,2,0,36,3,56,141,783,27,132,98,10,149,1
1999年,30,14,8,11,40,4,6,10,0,2,32,7,492,95,14,0,0,1,4,1465,24,209,0,2,58,1,118,164,1127,41,173,120,13,237,4
2000年,32,12,11,15,68,8,9,7,2,0,53,2,707,114,26,0,0,5,6,2206,33,385,0,0,65,5,125,275,1475,53,193,183,13,390,1
2001年,60,18,18,25,72,6,14,10,1,3,92,10,1319,191,31,3,3,12,8,3852,63,551,4,1,96,11,220,444,2285,152,281,274,21,708,4
2002年,98,24,21,19,98,11,8,8,3,1,79,24,1494,239,57,2,2,6,13,5871,75,611,1,1,114,7,429,583,3414,245,345,420,18,1200,6
2003年,177,75,27,26,163,17,32,15,16,2,118,20,2615,374,77,14,5,17,19,9369,116,1038,5,5,153,14,791,762,5733,433,572,756,48,2017,6
2004年,198,95,33,45,227,14,21,20,24,5,116,18,2948,326,82,2,4,35,24,12490,108,1285,3,3,195,20,777,892,6538,380,590,1157,56,2248,3
