,丹麦实用新型专利申请受理数,以色列实用新型专利申请受理数,俄罗斯联邦实用新型专利申请受理数,列支敦士登实用新型专利申请受理数,加拿大实用新型专利申请受理数,匈牙利实用新型专利申请受理数,南非实用新型专利申请受理数,卢森堡实用新型专利申请受理数,印度实用新型专利申请受理数,塞普路斯实用新型专利申请受理数,奥地利实用新型专利申请受理数,巴西实用新型专利申请受理数,德国实用新型专利申请受理数,意大利实用新型专利申请受理数,挪威实用新型专利申请受理数,捷克实用新型专利申请受理数,摩纳哥实用新型专利申请受理数,新加坡实用新型专利申请受理数,新西兰实用新型专利申请受理数,日本实用新型专利申请受理数,比利时实用新型专利申请受理数,法国实用新型专利申请受理数,波兰实用新型专利申请受理数,泰国实用新型专利申请受理数,澳大利亚实用新型专利申请受理数,爱尔兰实用新型专利申请受理数,瑞典实用新型专利申请受理数,瑞士实用新型专利申请受理数,美国实用新型专利申请受理数,芬兰实用新型专利申请受理数,英国实用新型专利申请受理数,荷兰实用新型专利申请受理数,西班牙实用新型专利申请受理数,韩国实用新型专利申请受理数,马来西亚实用新型专利申请受理数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,94.0,3.0,9.0,0.0,5.0,6.0,0.0,0.0,0.0,48.0,0.0,10.0,0.0,4.0,33.0,0.0
1996年,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,4.0,1.0,2.0,0.0,53.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,27.0,1.0,9.0,2.0,4.0,86.0,0.0
1997年,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,1.0,0.0,64.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,4.0,42.0,0.0,4.0,2.0,2.0,56.0,3.0
1998年,,,,,4.0,,,,,,,,9.0,6.0,,,,1.0,1.0,51.0,,1.0,,1.0,3.0,,,3.0,27.0,1.0,7.0,2.0,2.0,35.0,
1999年,,1.0,1.0,,11.0,,,,1.0,,,,4.0,5.0,,,,4.0,,50.0,,,,,4.0,,,14.0,120.0,3.0,,,2.0,40.0,
2000年,1.0,1.0,1.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,,4.0,0.0,87.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,128.0,1.0,14.0,0.0,5.0,63.0,2.0
2001年,,1.0,,,15.0,,,,1.0,2.0,1.0,,15.0,14.0,,,,2.0,1.0,69.0,,,,8.0,7.0,,9.0,9.0,139.0,1.0,9.0,,5.0,111.0,2.0
