,丹麦外观设计专利申请受理数,以色列外观设计专利申请受理数,俄罗斯联邦外观设计专利申请受理数,列支敦士登外观设计专利申请受理数,加拿大外观设计专利申请受理数,匈牙利外观设计专利申请受理数,南非外观设计专利申请受理数,卢森堡外观设计专利申请受理数,印度外观设计专利申请受理数,塞普路斯外观设计专利申请受理数,奥地利外观设计专利申请受理数,巴西外观设计专利申请受理数,德国外观设计专利申请受理数,意大利外观设计专利申请受理数,挪威外观设计专利申请受理数,捷克外观设计专利申请受理数,摩纳哥外观设计专利申请受理数,新加坡外观设计专利申请受理数,新西兰外观设计专利申请受理数,日本外观设计专利申请受理数,比利时外观设计专利申请受理数,法国外观设计专利申请受理数,波兰外观设计专利申请受理数,泰国外观设计专利申请受理数,澳大利亚外观设计专利申请受理数,爱尔兰外观设计专利申请受理数,瑞典外观设计专利申请受理数,瑞士外观设计专利申请受理数,美国外观设计专利申请受理数,芬兰外观设计专利申请受理数,英国外观设计专利申请受理数,荷兰外观设计专利申请受理数,西班牙外观设计专利申请受理数,韩国外观设计专利申请受理数,马来西亚外观设计专利申请受理数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,29,1,0,0,7,0,1,0,2,0,7,0,76,26,0,0,0,22,6,739,3,56,0,0,21,0,16,117,364,4,40,76,13,64,3
1996年,6,6,0,0,10,0,4,4,1,0,7,1,91,24,0,0,0,28,7,1177,14,125,0,1,19,0,50,156,508,24,49,90,0,91,6
1997年,8,7,0,1,9,0,0,3,0,0,9,1,153,53,5,0,0,42,1,1400,21,136,0,5,18,1,34,97,614,18,103,83,0,108,10
1998年,18,9,2,0,9,0,2,0,17,1,9,2,185,79,3,0,0,30,1,1650,4,91,0,3,26,2,28,88,694,35,78,121,6,129,6
1999年,4,2,4,12,20,0,1,2,29,0,4,1,148,66,0,0,0,4,9,1148,8,124,0,17,9,0,53,114,670,43,0,103,14,144,3
2000年,33,9,0,0,12,4,2,10,5,0,31,7,200,48,7,0,1,23,7,1501,8,191,0,16,26,1,60,113,787,20,91,93,24,219,5
2001年,45,17,1,5,11,0,1,0,11,0,43,16,192,107,4,0,4,21,2,1873,10,178,0,24,55,0,53,135,716,59,88,114,24,315,17
2002年,27,12,2,35,15,0,3,1,12,0,21,12,344,135,7,0,0,25,4,2459,12,201,5,26,62,1,43,184,973,84,156,114,23,540,18
2003年,51,11,2,25,31,0,4,0,33,0,9,11,489,191,7,2,0,55,4,3522,16,244,0,39,56,18,57,171,1229,88,246,99,56,548,7
2004年,81,13,1,35,41,0,3,1,50,1,15,13,711,300,11,7,1,40,3,4299,25,359,3,23,128,19,91,277,1337,94,252,164,74,674,33
