,丹麦专利申请受理数,以色列专利申请受理数,俄罗斯联邦专利申请受理数,列支敦士登专利申请受理数,加拿大专利申请受理数,匈牙利专利申请受理数,南非专利申请受理数,卢森堡专利申请受理数,印度专利申请受理数,塞普路斯专利申请受理数,奥地利专利申请受理数,巴西专利申请受理数,德国专利申请受理数,意大利专利申请受理数,挪威专利申请受理数,捷克专利申请受理数,摩纳哥专利申请受理数,新加坡专利申请受理数,新西兰专利申请受理数,日本专利申请受理数,比利时专利申请受理数,法国专利申请受理数,波兰专利申请受理数,泰国专利申请受理数,澳大利亚专利申请受理数,爱尔兰专利申请受理数,瑞典专利申请受理数,瑞士专利申请受理数,美国专利申请受理数,芬兰专利申请受理数,英国专利申请受理数,荷兰专利申请受理数,西班牙专利申请受理数,韩国专利申请受理数,马来西亚专利申请受理数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,82.0,26.0,7.0,27.0,82.0,6.0,20.0,5.0,6.0,1.0,65.0,5.0,1277.0,225.0,18.0,10.0,1.0,26.0,20.0,5135.0,49.0,640.0,2.0,6.0,111.0,8.0,214.0,595.0,2971.0,124.0,353.0,299.0,42.0,982.0,10.0
1996年,111.0,42.0,20.0,29.0,117.0,11.0,13.0,16.0,6.0,0.0,100.0,19.0,1777.0,279.0,46.0,8.0,8.0,36.0,29.0,7137.0,102.0,866.0,1.0,5.0,184.0,15.0,318.0,751.0,4601.0,210.0,564.0,585.0,47.0,1598.0,14.0
1997年,154.0,57.0,38.0,21.0,190.0,10.0,18.0,10.0,13.0,2.0,122.0,12.0,2228.0,385.0,69.0,3.0,1.0,58.0,19.0,8395.0,103.0,1016.0,5.0,7.0,182.0,23.0,413.0,767.0,5919.0,269.0,702.0,670.0,41.0,2083.0,22.0
1998年,176.0,80.0,28.0,23.0,187.0,12.0,22.0,6.0,38.0,1.0,103.0,31.0,2489.0,375.0,62.0,2.0,4.0,56.0,22.0,9398.0,82.0,993.0,2.0,6.0,168.0,28.0,488.0,741.0,6396.0,275.0,776.0,663.0,41.0,1834.0,15.0
1999年,158.0,73.0,30.0,39.0,195.0,12.0,28.0,14.0,39.0,1.0,99.0,21.0,2353.0,373.0,57.0,4.0,3.0,30.0,22.0,7805.0,72.0,1012.0,4.0,22.0,155.0,12.0,571.0,772.0,6936.0,318.0,,682.0,52.0,1447.0,12.0
2000年,229.0,162.0,42.0,32.0,235.0,19.0,37.0,54.0,19.0,4.0,122.0,27.0,2787.0,382.0,75.0,1.0,6.0,54.0,33.0,9888.0,126.0,1387.0,1.0,26.0,232.0,22.0,768.0,867.0,8418.0,378.0,802.0,993.0,62.0,1861.0,13.0
