,丹麦专利申请授权数,以色列专利申请授权数,俄罗斯联邦专利申请授权数,列支敦士登专利申请授权数,加拿大专利申请授权数,匈牙利专利申请授权数,南非专利申请授权数,卢森堡专利申请授权数,印度专利申请授权数,塞普路斯专利申请授权数,奥地利专利申请授权数,巴西专利申请授权数,德国专利申请授权数,意大利专利申请授权数,挪威专利申请授权数,捷克专利申请授权数,摩纳哥专利申请授权数,新加坡专利申请授权数,新西兰专利申请授权数,日本专利申请授权数,比利时专利申请授权数,法国专利申请授权数,波兰专利申请授权数,泰国专利申请授权数,澳大利亚专利申请授权数,爱尔兰专利申请授权数,瑞典专利申请授权数,瑞士专利申请授权数,美国专利申请授权数,芬兰专利申请授权数,英国专利申请授权数,荷兰专利申请授权数,西班牙专利申请授权数,韩国专利申请授权数,马来西亚专利申请授权数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,12,0,1,5,24,6,0,15,1,0,26,0,202,58,8,3,1,10,5,1046,20,135,0,24,52,0,37,181,886,15,90,137,13,152,0
1996年,33,6,4,1,27,12,2,4,3,1,20,1,222,78,3,2,0,25,8,1298,22,169,1,1,43,0,44,181,813,12,109,130,15,140,6
1997年,14,11,2,3,33,3,5,8,1,0,19,3,263,71,8,4,0,24,9,1864,31,256,1,1,46,2,83,236,1044,43,129,174,5,182,7
1998年,37,16,0,11,38,4,6,15,12,0,42,2,470,138,17,3,1,54,2,2599,35,279,2,7,58,3,91,287,1418,53,243,183,13,330,12
1999年,41,19,10,11,57,4,8,10,23,4,38,8,674,186,18,0,0,16,6,3012,31,323,0,11,82,3,163,288,1905,59,285,217,23,427,11
2000年,59,18,15,26,100,12,11,18,9,0,64,5,871,181,29,0,0,24,16,3594,42,537,0,15,82,6,183,408,2332,100,304,311,37,608,11
2001年,92,32,19,27,94,6,15,21,8,3,138,21,1494,258,35,3,6,34,15,5577,69,782,4,18,137,12,277,562,3116,196,370,360,41,1024,12
2002年,130,35,21,43,115,11,9,9,22,1,116,40,1767,352,66,2,10,21,18,7817,87,730,1,33,172,7,480,733,4259,292,465,514,50,1703,28
2003年,217,86,29,53,197,17,37,15,33,4,124,34,2977,531,80,21,5,66,20,12674,125,1180,10,23,211,18,832,913,6835,525,808,868,90,2693,20
2004年,234,112,35,65,244,14,23,21,75,5,125,25,3379,506,92,3,4,73,30,16356,124,1541,3,54,251,36,841,1084,7824,466,787,1276,91,2865,15
2005年,283,76,47,68,270,22,38,38,67,5,170,35,3709,691,69,12,8,99,24,18418,134,1674,4,19,382,48,775,1103,7595,496,885,1333,161,3273,27
