,丹麦发明专利申请受理数,以色列发明专利申请受理数,俄罗斯联邦发明专利申请受理数,列支敦士登发明专利申请受理数,加拿大发明专利申请受理数,匈牙利发明专利申请受理数,南非发明专利申请受理数,卢森堡发明专利申请受理数,印度发明专利申请受理数,塞普路斯发明专利申请受理数,奥地利发明专利申请受理数,巴西发明专利申请受理数,德国发明专利申请受理数,意大利发明专利申请受理数,挪威发明专利申请受理数,捷克发明专利申请受理数,摩纳哥发明专利申请受理数,新加坡发明专利申请受理数,新西兰发明专利申请受理数,日本发明专利申请受理数,比利时发明专利申请受理数,法国发明专利申请受理数,波兰发明专利申请受理数,泰国发明专利申请受理数,澳大利亚发明专利申请受理数,爱尔兰发明专利申请受理数,瑞典发明专利申请受理数,瑞士发明专利申请受理数,美国发明专利申请受理数,芬兰发明专利申请受理数,英国发明专利申请受理数,荷兰发明专利申请受理数,西班牙发明专利申请受理数,韩国发明专利申请受理数,马来西亚发明专利申请受理数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,53.0,25.0,7.0,27.0,73.0,6.0,19.0,5.0,2.0,1.0,58.0,5.0,1193.0,193.0,18.0,9.0,1.0,3.0,14.0,4302.0,43.0,575.0,2.0,1.0,84.0,8.0,198.0,478.0,2559.0,120.0,303.0,223.0,25.0,885.0,7.0
1996年,103.0,35.0,20.0,29.0,105.0,11.0,9.0,12.0,5.0,0.0,92.0,17.0,1680.0,250.0,46.0,4.0,7.0,6.0,22.0,5907.0,88.0,740.0,1.0,3.0,160.0,15.0,268.0,595.0,4066.0,185.0,506.0,493.0,43.0,1421.0,8.0
1997年,145.0,49.0,38.0,20.0,176.0,9.0,18.0,7.0,13.0,2.0,113.0,11.0,2059.0,325.0,64.0,3.0,1.0,15.0,18.0,6931.0,82.0,877.0,5.0,1.0,163.0,22.0,377.0,666.0,5263.0,251.0,595.0,585.0,39.0,1919.0,9.0
1998年,158.0,71.0,26.0,23.0,174.0,12.0,20.0,6.0,21.0,,94.0,19.0,2295.0,290.0,59.0,2.0,4.0,25.0,20.0,7697.0,78.0,901.0,2.0,2.0,139.0,26.0,460.0,650.0,5675.0,239.0,691.0,540.0,33.0,1670.0,9.0
1999年,154.0,70.0,25.0,27.0,164.0,12.0,27.0,12.0,9.0,1.0,95.0,20.0,2201.0,302.0,57.0,4.0,3.0,22.0,13.0,6607.0,64.0,888.0,4.0,5.0,142.0,12.0,518.0,644.0,6146.0,272.0,,579.0,36.0,1263.0,9.0
2000年,195.0,152.0,41.0,32.0,216.0,15.0,35.0,34.0,14.0,4.0,91.0,19.0,2578.0,332.0,68.0,1.0,5.0,27.0,26.0,8300.0,118.0,1195.0,1.0,7.0,204.0,20.0,708.0,753.0,7503.0,357.0,697.0,900.0,33.0,1579.0,6.0
