,中外合作经营批发业企业主营业务收入,中外合资经营批发业企业主营业务收入,其他外商投资批发业企业主营业务收入,其他批发业企业主营业务收入,其他有限责任公司批发业企业主营业务收入,其他港澳台商投资批发业企业主营业务收入,其他联营批发业企业主营业务收入,内资批发业企业主营业务收入,国有与集体联营批发业企业主营业务收入,国有批发业企业主营业务收入,国有独资公司批发业企业主营业务收入,国有联营批发业企业主营业务收入,外商投资批发业企业主营业务收入,外商投资股份有限公司批发业企业主营业务收入,外资批发业企业主营业务收入,批发业主营业务收入,有限责任公司批发业企业主营业务收入,港澳台商合作经营批发业企业主营业务收入,港澳台商合资经营批发业企业主营业务收入,港澳台商投资批发业企业主营业务收入,港澳台商投资股份有限公司批发业企业主营业务收入,港澳台商独资经营批发业企业主营业务收入,私营合伙批发业企业主营业务收入,私营批发业企业主营业务收入,私营有限责任公司批发业企业主营业务收入,私营独资批发业企业主营业务收入,私营股份有限公司批发业企业主营业务收入,联营批发业企业主营业务收入,股份合作批发业企业主营业务收入,股份有限公司批发业企业主营业务收入,集体批发业企业主营业务收入,集体联营批发业企业主营业务收入
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,3.881,51.0246,0.0,1.6051,1409.5094,0.0,12.7282,19979.3982,52.3132,14133.0421,590.1395,137.7801,91.8592,12.4486,24.5051,20099.9207,1999.6488,1.9613,18.8932,30.5856,0.0,7.8088,6.6626,242.3926,193.8631,23.0828,18.7841,219.9703,244.1408,1119.0302,2019.5684,17.1489
2000年,2.1957,249.6954,0.0,7.4381,2187.4173,0.0,21.5023,23825.7662,58.0784,15730.9727,743.8694,95.9617,304.8099,13.0451,39.8737,24184.1349,2931.2868,10.0996,29.3381,53.5588,0.1436,13.9774,13.7601,391.2785,332.446,22.0433,23.0291,192.0615,282.1751,2258.4562,2032.0975,16.519
2001年,2.9587,499.8226,0.0,16.1494,3675.3458,0.0,32.9695,24387.6342,44.926,13509.0971,673.8647,133.8052,623.04,5.5382,114.7205,25133.0345,4349.2105,24.7246,38.1315,122.3603,8.7546,50.7496,18.4936,999.04,895.6488,26.0845,58.8131,218.7133,323.8378,3505.361,1466.225,7.0126
2002年,4.6402,577.5756,0.0,12.4024,5040.8069,0.0,36.29,27137.2557,44.3257,13204.7835,1096.2959,150.9109,1131.7432,7.3662,542.1612,28665.9317,6137.1028,24.4112,68.1018,396.9329,10.6556,293.7643,23.1509,1596.3164,1442.5931,35.8549,94.7176,241.145,374.6009,4368.2823,1202.6224,9.6403
2003年,12.44839,733.51717,0.0,24.05985,7098.24701,0.0,56.61054,31671.16542,45.84517,12667.37665,1290.88279,210.82919,1555.77605,0.8902,808.92029,33689.8683,8389.1298,66.85873,87.42585,462.92687,16.93271,291.70958,29.41783,2658.02171,2391.3692,131.33463,105.90005,329.85972,318.31347,6029.1547,1255.24952,16.57482
2004年,475.9803,1211.50168,0.0,43.16088,15824.20826,0.0,47.64757,59880.33651,103.21267,16637.30479,2274.64992,320.53112,4393.21966,101.31795,2604.41973,64973.65656,18098.85818,38.40838,197.79137,700.10039,22.9662,440.93444,128.8448,12139.6805,11346.44061,242.79318,421.60191,503.95462,584.77782,10404.91154,1467.68818,32.56326
2005年,459.57105,1067.12311,0.0,101.55984,16413.14276,0.0,59.18304,62217.01786,49.26845,18221.59274,2231.34825,282.60554,4615.65549,7.12784,3081.83349,67701.26576,18644.49091,42.97347,161.30114,868.59231,18.16713,646.15057,76.98166,11676.13715,11037.00224,191.89977,370.25348,403.98679,555.88206,11128.89561,1484.47276,12.92976
2006年,21.1398,990.8416,0.0,196.1552,18824.7092,0.0,101.5057,72063.9469,67.7435,20156.2377,1846.9062,348.0583,4747.7459,59.3641,3676.4003,77724.4766,20671.6154,52.2666,218.2024,912.7839,21.2183,621.0965,97.2065,15195.8636,14309.7182,191.455,597.4838,544.2645,496.7478,13283.2742,1519.7886,26.957
2007年,22.6467,1799.83187,0.0,332.1059,23048.6699,0.0,101.78907,87349.17664,99.14501,23594.77267,3857.25184,351.43596,6732.89043,340.02154,4570.39032,95440.78502,26905.92174,71.81854,287.94901,1358.71795,19.28085,979.66955,116.14706,19123.91078,17698.42631,454.28646,855.05095,576.73844,418.28779,14805.73085,1591.70847,24.3684
2008年,906.0741,2823.4188,0.0,674.518,35076.0704,0.0,76.2157,138255.1594,111.2657,29802.6402,6840.084,381.9175,12616.1716,118.1397,8768.539,154470.5895,41916.1544,105.0214,969.4337,3599.2585,110.3695,2414.434,627.6212,41736.6933,37216.1934,2029.6106,1863.2681,622.1562,751.3874,20397.92,2353.6898,52.7572
2009年,39.54909,3056.99103,0.0,666.78862,34206.23542,0.0,70.67637,128045.33012,117.83717,29861.14011,4716.00137,199.08515,11353.83756,67.40305,8189.89439,142954.01599,38922.23679,52.48642,912.17743,3554.84831,156.48146,2433.703,398.12352,34813.87077,31572.46207,1553.22554,1290.05964,402.16154,557.98238,20299.84099,2521.30892,14.56285
2010年,741.7,4879.0,0.0,954.6,48259.9,0.0,127.2,175111.1,111.2,40479.3,7388.0,286.6,17601.2,59.6,11921.0,197758.88068,55647.8,73.2,1052.2,5046.6,235.8,3685.4,570.8,49745.9,45366.2,2021.5,1787.4,564.4,722.6,24748.6,2247.8,39.5
2011年,920.5175,5802.4956,4.5831,2721.0428,68571.2415,5.9307,116.4556,225261.6216,174.7862,50959.7642,8290.9371,247.2161,24302.6002,130.4055,17444.5986,257889.8496,76862.1785,100.6865,1285.4022,8325.6278,150.4398,6783.1687,774.6923,61242.7414,56018.2035,2265.5569,2184.2887,577.8333,774.8328,30218.7906,1904.4381,39.3755
2012年,707.61688,7205.2586,20.69646,3696.08436,83141.31692,8.8518,100.56654,256240.63939,202.67477,59355.49839,10494.87326,360.31234,26668.58258,327.9822,18407.02844,292183.5854,93636.19018,100.19155,1370.10375,9274.36338,153.83472,7641.38156,844.49196,65835.80502,60348.03681,2596.88286,2046.39339,705.68966,732.07666,30407.42482,1871.8703,42.13601
2013年,662.84961,8558.75686,340.68269,1277.13187,118857.26087,7.61998,8.60754,314087.94336,43.57737,37273.12771,28059.85059,137.72084,31693.78231,327.95934,21803.53381,357661.7652,146917.11146,105.70075,1562.20003,11880.0395,245.9031,9958.61564,122.97041,88177.66645,84577.15863,635.55319,2841.98422,207.20772,418.23902,38430.8741,1386.58503,17.30197
2014年,570.85946,9640.4459,407.62383,786.54079,129810.28361,16.70884,8.85195,335970.77063,51.6772,28237.66122,36226.79714,8.93446,35715.6926,335.57136,24761.19205,387325.3429,166037.08075,150.26428,3560.34944,15638.87964,372.80557,11538.75151,107.83358,99911.96619,96381.0973,631.70286,2791.33245,75.99608,283.24067,39352.28131,1286.00362,6.53247
