,其他批发主营业务税金及附加,农畜产品批发主营业务税金及附加,化肥批发主营业务税金及附加,医药及医疗器材批发主营业务税金及附加,家用电器批发主营业务税金及附加,建材批发主营业务税金及附加,文化、体育用品及器材批发主营业务税金及附加,服装批发主营业务税金及附加,机械设备、五金交电及电子产品批发主营业务税金及附加,汽车、摩托车及零配件批发主营业务税金及附加,烟草制品批发主营业务税金及附加,煤炭及制品批发主营业务税金及附加,石油及制品批发主营业务税金及附加,矿产品、建材及化工产品批发主营业务税金及附加,米、面制品及食用油批发主营业务税金及附加,纺织、服装及日用品批发主营业务税金及附加,计算机、软件及辅助设备批发主营业务税金及附加,贸易经纪与代理主营业务税金及附加,金属及金属矿批发主营业务税金及附加,食品、饮料及烟草制品批发主营业务税金及附加
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,1.4918,,0.2037,,,1.0152,16.6463,16.9611,0.9363,2.8035,,1.8556,,,,,21.8162
1999年,,,,1.771,,0.3122,,,0.7917,2.5793,15.3631,1.3737,3.3216,,0.5677,0.6252,,,,19.3355
2000年,1.3034,,,1.7315,,0.2622,,,0.8875,1.2913,15.7421,1.3065,3.8266,,0.4831,,,,,19.1417
2001年,,,,2.2667,,0.2571,,,,1.0492,12.6909,1.8879,4.7502,,0.7134,,,,,16.6499
2002年,,,,3.0069,,0.3156,,,,1.7374,8.4769,1.0261,5.7363,,0.5582,,,,,11.7569
2003年,0.72409,0.86551,0.23068,2.11497,0.53108,0.55894,0.96123,0.483,3.78646,1.08574,10.62729,1.34604,6.92896,14.06743,0.21788,1.37168,0.18441,2.06306,3.15708,13.27046
2004年,2.20128,1.56759,0.52989,3.65283,1.16919,2.33914,1.45994,0.90315,10.28977,1.98449,18.08484,6.37026,16.56954,37.4086,1.36479,7.24135,0.86942,0.41487,7.10223,23.83649
2005年,2.25248,1.23246,0.81672,3.54925,1.69218,2.71647,1.56829,1.30325,10.65132,1.46672,17.07409,7.14157,11.90426,33.06124,0.49614,4.63155,0.70647,0.5394,6.71583,22.69924
2006年,4.0367,1.5096,1.0734,4.3568,1.5882,1.6814,1.9098,1.1208,11.9218,1.9159,20.3966,7.0103,15.8183,37.584,0.5183,3.8138,0.9248,1.6358,8.5677,26.9661
2007年,3.93492,2.55931,4.8076,5.03364,2.20339,3.14804,2.15963,2.20219,14.01537,2.42031,25.06193,12.88184,22.20956,70.25665,0.56301,5.12358,0.89219,2.68445,22.48607,32.08624
2008年,11.1344,6.9088,12.9999,10.5211,4.1677,9.4313,5.4752,5.0579,35.7191,8.4942,35.9674,42.8047,29.5403,233.5703,2.1027,23.0389,3.867,7.0897,93.3914,53.0179
2009年,21.85236,7.3489,7.09268,10.25191,5.51502,11.46814,4.01466,4.77512,32.37099,5.92145,248.36937,39.33931,22.97586,157.37819,2.15604,13.88658,4.14923,4.52818,62.96984,270.68654
2010年,30.1,9.2,8.9,14.7,5.9,14.4,5.6,5.9,40.5,8.2,445.7,45.8,30.3,176.2,3.1,19.0,2.7,12.0,55.1,481.6
2011年,30.1893,12.7795,10.2072,18.9207,10.3233,16.0971,7.32,14.0613,146.5177,98.5604,537.2075,44.0759,39.115,186.0578,4.2193,33.7127,3.9176,7.4674,49.6281,581.9756
2012年,22.31229,11.7007,11.342,23.26789,9.56162,18.65849,19.00031,18.79022,139.46395,91.1065,603.40009,50.66041,40.75028,192.93839,6.66069,52.75286,7.27988,5.77165,46.77596,665.71694
2013年,31.22978,28.2849,17.63967,34.11162,14.14389,27.13165,14.609,29.171,206.52833,144.06636,679.25471,65.81329,65.95025,309.94123,8.52731,79.35149,4.04717,6.45443,78.44498,779.3353
2014年,33.54807,36.13958,13.94486,38.13339,12.62624,27.60975,14.14885,33.44657,192.60066,127.98702,721.39786,54.6779,44.49562,263.87021,8.44584,86.48501,4.2767,6.98188,66.01206,824.81099
