,A部(人类生活需要)专利申请授权量,B部(作业、运输)专利申请授权量,C部(化学、冶金)专利申请授权量,D部(纺织、造纸)专利申请授权量,E部(固定建筑物)专利申请授权量,F部(机械工程)专利申请授权量,G部(物理)专利申请授权量,H部(电学)专利申请授权量,一般机器、发动机、蒸汽机专利申请授权量,一般热交换专利申请授权量,一般车辆专利申请授权量,一般门、窗、百叶窗、梯子专利申请授权量,乐器、声学专利申请授权量,仪器的零部件专利申请授权量,体育、游戏、娱乐活动专利申请授权量,信号装置专利申请授权量,信息的存储专利申请授权量,光学技术专利申请授权量,其他的技术主题专利申请授权量,其他类不包括的电技术专利申请授权量,内燃机等专利申请授权量,农、林、牧、渔专利申请授权量,冶金学、合金或有色合金专利申请授权量,分选、分离专利申请授权量,制冷气体的液化和固化专利申请授权量,刷类用品专利申请授权量,加工水泥、粘土和石料专利申请授权量,动植物油、脂类专利申请授权量,医学、兽医学、卫生学专利申请授权量,印刷、打字机、印刷机专利申请授权量,卷扬、提升、牵引专利申请授权量,压力机专利申请授权量,发明、实用新型专利国际标准分类授权量,叠层产品专利申请授权量,喷射、雾化专利申请授权量,固体分离、分选专利申请授权量,固体废料的处理专利申请授权量,基本电器元件专利申请授权量,基本电子电路专利申请授权量,塑料制品的加工专利申请授权量,大小原皮、毛皮、皮革专利申请授权量,家具、家庭日用品或设备专利申请授权量,屠宰、加工专利申请授权量,工程元件或部件专利申请授权量,帽类制品专利申请授权量,干燥专利申请授权量,建筑物专利申请授权量,弹药、爆破专利申请授权量,微观结构技术专利申请授权量,手工、切割工具、切断专利申请授权量,手携及旅行用品专利申请授权量,控制、调节技术专利申请授权量,救生、消防专利申请授权量,教育、密码、显示、广告等专利申请授权量,无机化学专利申请授权量,无轨陆用车牌专利申请授权量,晶体生长专利申请授权量,有机化学专利申请授权量,有机高分子化合物专利申请授权量,服装专利申请授权量,木材加工、保存、钉钉机专利申请授权量,本部其他类目中不包括的技术主题专利申请授权量,机床、其他金属加工专利申请授权量,机械振动的产生和传递专利申请授权量,染料、涂料、抛光剂等专利申请授权量,核物理、核工程专利申请授权量,核算装置专利申请授权量,武器专利申请授权量,气体或液体的贮藏或分配专利申请授权量,水、废污水、泥浆的处理专利申请授权量,水利工程、基础、运土专利申请授权量,水泥、陶瓷等、隔音材料专利申请授权量,测时技术专利申请授权量,测量、测试专利申请授权量,液体变容机械、泵专利申请授权量,液体的贮运专利申请授权量,液力机械和其他发动机专利申请授权量,液压调节器、液压技术专利申请授权量,清洁专利申请授权量,炉、窑、灶、罐专利申请授权量,炸药、火柴专利申请授权量,烘烤、食用面团专利申请授权量,烟类及用品专利申请授权量,照明专利申请授权量,照相术、电影术、电刻术专利申请授权量,燃烧设备、燃烧技术专利申请授权量,物理或化学的方法或装置专利申请授权量,玻璃、石棉和渣棉专利申请授权量,生化、酒、醋、酶、专利申请授权量,电信技术专利申请授权量,电力的发电、变电或配电专利申请授权量,电解电泳方法及设备专利申请授权量,男用服饰用品、珠宝专利申请授权量,石油、煤气及炼焦工业专利申请授权量,破碎、研磨、粉碎专利申请授权量,磨削、抛光专利申请授权量,离心装置、离心机专利申请授权量,简单工具专利申请授权量,糖或淀粉工业专利申请授权量,纸品制作、纸的加工专利申请授权量,纺纱、整经或络经专利申请授权量,线、纤维、纺纱专利申请授权量,组合技术专利申请授权量,织物等的处理、洗涤专利申请授权量,织造专利申请授权量,绘图具、办公附属用品专利申请授权量,给水、排水专利申请授权量,绳、除电缆外的缆绳专利申请授权量,编带、花边、针织、整理专利申请授权量,缝纫、绣花、簇绒专利申请授权量,肥料及制造专利申请授权量,船舶、船只、有关设备专利申请授权量,蒸汽的生产专利申请授权量,装订、图册、文件夹专利申请授权量,装饰艺术专利申请授权量,计算、推算、计数技术专利申请授权量,超微观技术专利申请授权量,输送、包装、存贮、搬运专利申请授权量,造纸、纤维素的生产专利申请授权量,道路、铁路和桥梁的建筑专利申请授权量,采暖、炉灶、通风专利申请授权量,金属加工、冲裁专利申请授权量,金属加工涂料、防腐防锈专利申请授权量,钻井、采矿专利申请授权量,铁路专利申请授权量,铸造、粉末冶金专利申请授权量,锁、钥匙、门窗、保险箱专利申请授权量,鞋类专利申请授权量,鞍具、室内装璜专利申请授权量,飞行器、航空、宇宙航行专利申请授权量,食品、食物及处理专利申请授权量,黑色冶金专利申请授权量
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,8755,8453,1752,608,2828,5858,2933,2675,98,211,1059,371,87,13,624,161,101,168,0,320,318,1045,83,78,160,118,160,74,2517,162,285,51,33862,99,140,80,6,1086,99,221,14,2465,16,1574,90,94,697,36,0,140,538,117,117,437,95,944,8,351,131,293,148,0,518,6,77,29,102,51,57,246,171,79,135,1077,600,83,50,62,84,146,15,101,143,262,159,310,559,49,111,507,663,61,101,147,183,171,35,317,8,37,17,120,0,247,57,471,366,6,63,41,17,115,134,187,169,347,0,1383,57,153,1695,294,87,356,126,106,714,352,10,26,235,99
1996年,7540,7443,1763,416,2652,5195,2783,2955,157,173,976,442,58,4,503,142,88,138,0,241,373,904,90,64,115,132,123,65,2084,97,263,48,30147,78,125,69,6,955,92,239,8,2061,11,1352,69,67,647,25,0,123,481,89,110,452,133,780,8,354,164,277,147,0,476,13,85,33,89,66,56,249,165,38,114,1204,488,71,65,84,74,87,10,88,167,183,101,237,489,60,103,548,519,47,82,148,200,130,33,227,6,33,8,80,0,156,42,404,296,7,39,28,24,88,55,144,113,271,0,1332,56,144,1612,272,79,388,88,104,570,323,4,10,248,92
1997年,8283,6754,1823,681,2458,4668,2838,3327,115,140,884,503,87,8,745,234,115,159,0,284,253,942,122,86,209,138,152,70,2250,163,207,55,30832,99,82,58,1,1547,111,196,8,2357,17,1179,50,66,654,31,0,100,447,93,159,417,110,621,13,432,204,313,114,0,394,9,88,10,79,38,47,225,129,36,132,994,474,68,47,50,62,104,12,82,127,257,127,284,489,51,108,682,703,43,90,138,214,118,37,234,8,37,9,85,0,278,69,431,331,10,95,51,23,81,51,174,140,383,0,1071,84,136,1323,193,55,254,67,102,451,363,5,10,203,77
1998年,9579,8960,2422,810,3082,6409,3893,3480,120,272,1050,454,122,20,0,185,201,350,0,284,262,1266,163,99,184,124,194,77,2554,115,334,83,38635,108,167,86,7,1647,71,171,6,2700,22,1596,62,105,649,45,0,156,516,164,186,493,157,1069,17,549,229,382,106,0,499,4,110,19,97,65,84,223,211,60,123,1518,667,115,35,50,72,107,7,93,164,441,203,401,658,112,107,622,856,113,112,181,242,144,43,427,8,37,28,105,0,272,97,427,378,15,108,66,29,112,117,146,164,398,0,1582,119,246,1858,268,113,406,95,140,738,378,9,31,286,161
1999年,16094,14519,3640,1125,5983,10918,5795,5931,308,450,1803,885,152,45,0,355,293,387,0,467,849,2163,182,135,389,197,268,119,4865,260,429,98,64005,143,348,150,17,2937,141,421,29,4359,33,2713,93,164,1576,84,0,232,759,241,233,853,218,1483,21,745,308,544,226,0,823,16,192,16,141,48,121,576,438,128,200,2129,1109,148,129,61,137,175,24,127,223,643,205,675,1121,141,188,1125,1261,128,162,292,358,246,62,562,18,88,33,132,0,418,124,639,719,19,123,127,59,224,91,246,196,778,0,2675,149,418,2909,522,90,640,192,193,1307,565,11,47,568,182
2000年,16677,15026,5139,1261,5958,10912,6035,6418,306,440,1808,868,155,44,1184,355,324,416,0,492,874,2235,289,139,385,193,296,164,5285,270,446,97,67426,157,352,151,19,3137,159,456,35,4264,33,2764,91,168,1576,83,0,240,747,253,230,842,330,1479,33,1200,492,532,238,0,873,16,299,20,141,48,123,589,468,207,208,2192,1099,151,126,61,135,186,31,130,247,624,222,680,1320,175,259,1276,1354,168,163,403,353,241,61,571,22,86,40,166,0,435,150,627,707,22,136,151,85,238,91,247,206,863,0,2709,161,416,2854,559,126,645,192,236,1278,554,10,47,789,232
2001年,15571,17387,5300,1466,5848,10841,6687,7555,304,330,2613,944,165,18,1552,246,464,571,0,521,776,2068,242,107,456,173,265,140,4781,435,358,103,70655,291,546,130,49,3422,267,752,14,3613,30,2927,107,105,1373,93,0,234,737,138,215,646,238,1357,29,1329,748,480,389,0,935,15,361,19,161,116,105,619,424,202,124,2382,1008,89,125,138,100,134,24,108,148,578,378,983,1249,91,365,1851,1494,121,167,339,326,288,59,540,9,39,32,234,0,615,98,643,1001,9,204,82,97,252,136,265,277,1375,0,3336,192,393,2527,591,132,647,271,353,1066,515,10,120,877,200
