,专业批发市场成交额,中药材批发市场成交额,五金材料批发市场成交额,亿元以上商品交易批发市场成交额,体育用品批发市场成交额,其他专业批发市场成交额,其他农产品批发市场成交额,其他医药、医疗用品及器材批发市场成交额,其他日用品及文化用品批发市场成交额,其他旧货批发市场成交额,其他生产资料批发市场成交额,其他电器、通讯器材、电子设备批发市场成交额,其他纺织服装鞋帽批发市场成交额,其他综合批发市场成交额,其他花鸟鱼虫批发市场成交额,其他装修批发市场成交额,其他食品饮料及烟酒批发市场成交额,农业生产用具批发市场成交额,农产品批发市场成交额,农产品综合批发市场成交额,农用生产资料批发市场成交额,化工材料及制品批发市场成交额,医药、医疗用品及器材批发市场成交额,厨具、盥洗设备批发市场成交额,古玩、古董、字画批发市场成交额,图书、报刊杂志批发市场成交额,家具、五金及装饰材料批发市场成交额,家具批发市场成交额,家电批发市场成交额,小商品批发市场成交额,工业消费品综合批发市场成交额,布料及纺织品批发市场成交额,干鲜果品批发市场成交额,建材批发市场成交额,摩托车批发市场成交额,文具批发市场成交额,日用品及文化用品批发市场成交额,旧货批发市场成交额,服装批发市场成交额,木材批发市场成交额,机动车零配件批发市场成交额,机械设备批发市场成交额,棉麻土畜、烟叶批发市场成交额,水产品批发市场成交额,汽车、摩托车及零配件批发市场成交额,汽车批发市场成交额,灯具批发市场成交额,烟酒批发市场成交额,煤炭批发市场成交额,照相、摄像器材批发市场成交额,玩具批发市场成交额,生产资料批发市场成交额,生产资料综合批发市场成交额,电器、通讯器材、电子设备批发市场成交额,箱包批发市场成交额,粮油批发市场成交额,纺织、服装、鞋帽批发市场成交额,综合批发市场成交额,肉禽蛋批发市场成交额,花、鸟、鱼、虫批发市场成交额,花卉批发市场成交额,茶叶批发市场成交额,蔬菜批发市场成交额,装饰材料批发市场成交额,观赏鱼批发市场成交额,计算机及辅助设备批发市场成交额,通讯器材批发市场成交额,邮票、硬币批发市场成交额,金属材料批发市场成交额,鞋帽批发市场成交额,音像制品及电子出版物批发市场成交额,食品、饮料及烟酒批发市场成交额,食品饮料批发市场成交额,鸟批发市场成交额,黄金、珠宝、玉器等首饰批发市场成交额
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,11648.030827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,12562.5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,15450.8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,16832.5688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,21116.9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,24544.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,29679.9278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,35871.4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,35505.1669,216.128,435.987,43120.0399,,210.8797,798.453,19.5915,254.3832,51.6203,1267.0961,21.7927,1098.9672,1512.8446,1.278,187.7204,492.3509,148.2166,7199.8858,2681.2631,154.9358,2007.2098,235.7195,17.9585,1.672,17.2643,1496.3443,288.4578,130.2781,259.8025,2453.376,3209.7532,1150.7188,771.9509,88.8695,12.5169,708.8025,53.2923,2320.175,317.1516,488.2575,278.1066,493.2606,1565.9566,996.1997,419.0727,65.5006,83.146,196.0046,,7.8,15988.7413,967.3893,322.273,153.2073,812.5402,6925.6402,7614.873,490.284,185.0167,183.7387,113.9339,1888.6726,500.72,,156.0523,14.1499,,10848.0693,296.7448,3.8283,982.6745,293.2437,,199.6974
2009年,39473.567,290.8172,614.9633,48308.2488,,228.8172,676.8271,31.589,291.9675,80.6453,1141.5429,17.7774,842.1787,1786.5073,3.4011,307.7132,493.1297,123.0159,8522.3089,3218.1262,153.6593,1880.7988,322.4062,14.4526,1.41,17.6234,1986.3858,324.5228,235.1857,249.4124,2722.1548,3548.1978,1403.6379,890.9455,86.6911,8.1929,761.4452,82.0553,2954.6533,470.696,544.6589,367.6777,435.6232,1689.3024,1177.9091,546.5591,106.4273,110.2838,303.3034,,7.82,16742.9933,1107.8935,436.6124,183.934,1244.2826,7677.0564,8834.6818,623.3121,212.446,209.0449,130.6311,2449.3236,618.3066,,132.5831,51.0662,,11411.3538,332.0266,2.495,1056.4985,322.4539,,266.6327
2010年,49605.6003,402.4989,935.0667,60954.934,,407.2339,810.3295,58.8405,477.0671,93.3067,1408.1509,46.9182,934.8109,2143.136,3.15,423.9622,610.4199,148.0377,9990.8556,3874.4816,152.0357,2582.3959,461.3394,13.8505,1.265,20.2114,2533.7508,540.6178,222.5241,265.5686,3649.3575,3664.3145,1662.7096,1064.5268,93.4371,30.0023,998.8422,94.5717,3407.4154,545.243,667.9505,490.4681,449.0553,1958.1424,1497.594,736.2064,127.2005,51.3285,893.6684,1.38,9.543,23043.8372,1682.3586,456.9387,193.9498,1417.6994,8363.3732,11349.3337,682.8091,284.1364,280.9864,160.3461,3010.1103,493.0531,,129.1758,56.9406,,15759.3107,356.8324,2.5,1174.548,352.4535,,298.5792
2011年,57055.3855,765.4245,773.2105,69390.8114,,313.4224,1227.546,10.32,519.3658,36.8665,2119.8937,44.3654,1198.6041,2320.2868,3.465,658.3193,787.3181,166.4105,11829.7208,4595.6616,174.8392,2623.4215,775.7445,16.7161,1.25,27.4688,2885.8069,580.624,225.5982,273.1255,4117.9632,4607.5771,1863.8565,888.7029,78.8039,26.065,1082.1243,38.1165,3636.6924,594.2381,820.8552,516.4944,850.6814,2567.6053,1848.1423,948.4832,138.2967,53.2249,720.223,2.4215,21.9542,26005.9441,1301.5143,448.5199,213.265,1371.6106,9818.7881,12335.4259,756.4719,378.0037,373.3387,174.2478,3191.9491,718.6403,1.2,112.7327,63.4021,,18201.7208,375.9145,0.88,1309.434,294.6432,,321.618
2012年,65846.2001,776.2813,860.526,80141.762,,654.785,1470.1454,16.851,501.3395,32.4293,2484.7361,41.2911,1336.3253,2613.3288,4.4815,498.6878,896.8773,197.5663,12878.6741,5234.5648,165.7738,2627.5867,793.1323,17.6492,1.08,26.5368,3034.7095,650.6208,220.5284,285.2845,5041.3848,4943.6791,1982.0413,1555.4943,73.6461,27.21,1078.3707,34.6328,4229.3903,692.8927,892.6468,604.2094,626.955,2819.6826,1902.9017,936.6088,149.6275,54.9704,606.1054,3.895,22.2331,31983.8866,1406.2835,437.3373,215.7668,1585.8165,10859.4705,14295.5619,872.5671,354.1961,349.7146,204.8052,3521.4662,857.5982,,113.0178,58.605,1.1235,23049.5219,350.0758,,1460.0444,303.3915,,374.0591
2013年,68424.3,1348.0,850.9079,84628.3,,658.5619,1848.9524,,358.614,36.7787,1965.4714,42.2969,1658.9578,2725.9051,4.725,289.7068,573.0786,184.857,13760.7567,6205.1579,178.2656,2725.5339,1348.0,16.9427,,25.4052,2923.148,670.7398,232.1228,319.504,5679.2992,5513.2005,2316.4854,1648.2812,64.7846,20.616,970.7265,36.7787,4160.5024,727.0326,1047.8549,666.8276,707.5122,2648.9458,2134.989,1022.3495,174.1948,57.1866,566.5082,3.9009,23.7377,32223.1348,1593.6243,404.537,222.8496,1507.0347,11712.3968,16203.9865,1028.1988,384.7385,380.0135,221.4522,3703.6274,920.656,,83.7789,42.4375,,23560.3573,379.7361,,1447.4343,595.7169,,419.0623
2014年,68178.0686,1483.8812,805.3699,86323.6688,,532.6896,1987.412,,374.7802,46.6059,1788.42,44.8119,1703.8189,2925.4251,5.453,285.9222,554.2214,211.5061,14653.474,7402.0939,175.9164,3096.9037,1483.8812,15.8019,,23.4663,2983.9104,709.9123,262.2222,392.436,6432.0157,6103.3449,2479.0439,1815.6472,64.6269,21.4029,1053.296,46.6059,4519.5265,752.0237,1002.119,738.0053,664.2285,3025.1541,2065.515,998.7691,174.0983,58.5608,509.5466,3.7656,22.9926,30243.6257,1386.0655,436.6591,218.218,1690.0571,12759.1714,18145.6002,1151.2271,404.9289,399.4759,221.9694,3656.3513,992.8058,,73.1202,52.7392,,21155.6567,432.4811,,1106.027,271.2754,,408.2844
