,专业市场摊位数,中药材市场摊位数,五金材料市场摊位数,亿元以上商品交易市场摊位数,体育用品市场摊位数,其他专业市场摊位数,其他农产品市场摊位数,其他医药、医疗用品及器材市场摊位数,其他日用品及文化用品市场摊位数,其他旧货市场摊位数,其他生产资料市场摊位数,其他电器、通讯器材、电子设备市场摊位数,其他纺织服装鞋帽市场摊位数,其他综合市场摊位数,其他花鸟鱼虫市场摊位数,其他装修市场摊位数,其他食品饮料及烟酒市场摊位数,农业生产用具市场摊位数,农产品市场摊位数,农产品综合市场摊位数,农用生产资料市场摊位数,化工材料及制品市场摊位数,医药、医疗用品及器材市场摊位数,厨具、盥洗设备市场摊位数,古玩、古董、字画市场摊位数,图书、报刊杂志市场摊位数,家具、五金及装饰材料市场摊位数,家具市场摊位数,家电市场摊位数,小商品市场摊位数,工业消费品综合市场摊位数,布料及纺织品市场摊位数,干鲜果品市场摊位数,建材市场摊位数,摩托车市场摊位数,文具市场摊位数,日用品及文化用品市场摊位数,旧货市场摊位数,服装市场摊位数,木材市场摊位数,机动车零配件市场摊位数,机械设备市场摊位数,棉麻土畜、烟叶市场摊位数,水产品市场摊位数,汽车、摩托车及零配件市场摊位数,汽车市场摊位数,灯具市场摊位数,烟酒市场摊位数,煤炭市场摊位数,照相、摄像器材市场摊位数,玩具市场摊位数,生产资料市场摊位数,生产资料综合市场摊位数,电器、通讯器材、电子设备市场摊位数,箱包市场摊位数,粮油市场摊位数,纺织、服装、鞋帽市场摊位数,综合市场摊位数,肉禽蛋市场摊位数,花、鸟、鱼、虫市场摊位数,花卉市场摊位数,茶叶市场摊位数,蔬菜市场摊位数,装饰材料市场摊位数,观赏鱼市场摊位数,计算机及辅助设备市场摊位数,通讯器材市场摊位数,邮票、硬币市场摊位数,金属材料市场摊位数,鞋帽市场摊位数,音像制品及电子出版物市场摊位数,食品、饮料及烟酒市场摊位数,食品饮料市场摊位数,鸟市场摊位数,黄金、珠宝、玉器等首饰市场摊位数
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,2115115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,2200662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,2190814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,2148866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,2229818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,2248803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,2527987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,2681630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,1797731.0,18703.0,38858.0,2839070.0,80.0,29633.0,89788.0,762.0,20937.0,8109.0,17817.0,7104.0,126500.0,234353.0,363.0,32538.0,24312.0,5906.0,485533.0,372615.0,5537.0,13174.0,19465.0,1290.0,630.0,2028.0,178703.0,43568.0,11175.0,34873.0,388032.0,88247.0,59948.0,73818.0,4164.0,663.0,64307.0,8739.0,325872.0,15577.0,22952.0,13219.0,11489.0,68440.0,59174.0,32058.0,4978.0,7947.0,1410.0,210.0,100.0,221901.0,46339.0,56413.0,5130.0,29052.0,565341.0,1041339.0,31063.0,17763.0,17400.0,11604.0,195753.0,57471.0,,28858.0,9066.0,,75443.0,24722.0,496.0,84071.0,40208.0,,6688.0
2009年,1908539.0,20968.0,41532.0,2994781.0,80.0,22262.0,71463.0,788.0,28478.0,7934.0,22151.0,8877.0,119503.0,239655.0,1484.0,27663.0,22133.0,4562.0,520888.0,396452.0,5973.0,12527.0,21756.0,1120.0,630.0,1811.0,195537.0,54350.0,16816.0,39741.0,396749.0,100854.0,62622.0,80016.0,4837.0,579.0,77400.0,8564.0,358604.0,16977.0,25031.0,17099.0,18742.0,84564.0,63686.0,33818.0,5404.0,3440.0,1698.0,150.0,115.0,239943.0,53386.0,63164.0,5672.0,25452.0,603438.0,1086242.0,34507.0,17761.0,15277.0,8978.0,223538.0,65468.0,1000.0,26339.0,10982.0,,78940.0,24477.0,924.0,67206.0,32655.0,,6934.0
2010年,2025384.0,21048.0,48239.0,3193365.0,80.0,24284.0,70008.0,978.0,23776.0,7053.0,22423.0,11286.0,124680.0,235201.0,1046.0,31184.0,23632.0,4855.0,536794.0,427746.0,6188.0,19810.0,22026.0,1169.0,1102.0,1777.0,218743.0,59143.0,12782.0,36962.0,445954.0,102865.0,76665.0,83541.0,4853.0,1661.0,71284.0,8155.0,379172.0,17612.0,29128.0,23436.0,11672.0,88346.0,76187.0,42206.0,5996.0,4085.0,2111.0,449.0,432.0,265613.0,59080.0,68824.0,5627.0,31978.0,629757.0,1167981.0,38070.0,16812.0,15766.0,10227.0,220055.0,73012.0,,29357.0,14950.0,,85637.0,23040.0,969.0,76755.0,38811.0,,10150.0
2011年,2161232.0,25329.0,46496.0,3334787.0,80.0,21112.0,78281.0,172.0,20225.0,7059.0,20452.0,6915.0,139480.0,250150.0,1152.0,43628.0,38466.0,5216.0,563645.0,429245.0,6353.0,18760.0,25501.0,1250.0,1102.0,1753.0,248949.0,59890.0,12867.0,38885.0,439732.0,110007.0,65041.0,91258.0,4221.0,1329.0,69469.0,8161.0,405727.0,18897.0,33504.0,25895.0,21297.0,99622.0,72488.0,34763.0,6569.0,4728.0,2353.0,455.0,1124.0,285028.0,54428.0,69732.0,5123.0,41288.0,680641.0,1173555.0,30009.0,19654.0,17502.0,11437.0,228107.0,91116.0,1000.0,31928.0,17567.0,,95844.0,25427.0,950.0,84576.0,29945.0,,12276.0
2012年,2285163.0,25348.0,51232.0,3494122.0,80.0,32423.0,93096.0,183.0,18639.0,7326.0,16274.0,6307.0,149582.0,233957.0,954.0,42526.0,34709.0,6162.0,596542.0,423936.0,5657.0,18748.0,25531.0,1306.0,1831.0,1722.0,280991.0,72048.0,15197.0,38630.0,495431.0,102420.0,65915.0,80499.0,4225.0,1614.0,67924.0,9864.0,436863.0,20682.0,36694.0,25673.0,14281.0,105609.0,79701.0,38782.0,6551.0,4834.0,2144.0,532.0,1126.0,276403.0,55635.0,78616.0,5125.0,45036.0,713557.0,1208959.0,38238.0,20642.0,19688.0,13268.0,234367.0,107328.0,,36460.0,20120.0,707.0,100564.0,24692.0,988.0,86377.0,33566.0,,16592.0
2013年,2269729.0,46854.0,49967.0,3488170.0,80.0,34387.0,91396.0,,18496.0,6975.0,17050.0,4422.0,162198.0,253897.0,966.0,40179.0,25306.0,6173.0,576657.0,422586.0,6554.0,18863.0,46854.0,1399.0,848.0,1652.0,275246.0,65917.0,13369.0,39811.0,483884.0,109793.0,69192.0,86695.0,3786.0,1093.0,68318.0,7823.0,415212.0,19551.0,40693.0,25644.0,14505.0,100190.0,82883.0,38404.0,7143.0,4938.0,2322.0,485.0,1124.0,281283.0,58074.0,67267.0,5567.0,33762.0,713873.0,1218441.0,44177.0,20206.0,19240.0,12384.0,223435.0,110641.0,,33219.0,15772.0,,98431.0,26670.0,495.0,78505.0,35877.0,,16427.0
2014年,2255403.0,47178.0,47163.0,3534757.0,,36121.0,93062.0,,17074.0,8258.0,16123.0,4452.0,153902.0,303730.0,1541.0,42541.0,27335.0,5744.0,565365.0,423859.0,6303.0,21896.0,47178.0,1997.0,848.0,1566.0,280793.0,67975.0,11354.0,40587.0,487781.0,110983.0,68118.0,102101.0,3606.0,1427.0,67747.0,9106.0,416727.0,19442.0,37494.0,26289.0,14725.0,98509.0,79728.0,38628.0,8476.0,4844.0,1905.0,490.0,1063.0,293442.0,63984.0,60317.0,5557.0,33430.0,706812.0,1279354.0,44873.0,19820.0,18279.0,11474.0,212648.0,112641.0,,32743.0,11278.0,,93639.0,25200.0,473.0,72041.0,28388.0,,16933.0
