,专业市场营业面积,中药材市场营业面积,五金材料市场营业面积,亿元以上商品交易市场营业面积,体育用品市场营业面积,其他专业市场营业面积,其他农产品市场营业面积,其他医药、医疗用品及器材市场营业面积,其他日用品及文化用品市场营业面积,其他旧货市场营业面积,其他生产资料市场营业面积,其他电器、通讯器材、电子设备市场营业面积,其他纺织服装鞋帽市场营业面积,其他综合市场营业面积,其他花鸟鱼虫市场营业面积,其他装修市场营业面积,其他食品饮料及烟酒市场营业面积,农业生产用具市场营业面积,农产品市场营业面积,农产品综合市场营业面积,农用生产资料市场营业面积,化工材料及制品市场营业面积,医药、医疗用品及器材市场营业面积,厨具、盥洗设备市场营业面积,古玩、古董、字画市场营业面积,图书、报刊杂志市场营业面积,家具、五金及装饰材料市场营业面积,家具市场营业面积,家电市场营业面积,小商品市场营业面积,工业消费品综合市场营业面积,布料及纺织品市场营业面积,干鲜果品市场营业面积,建材市场营业面积,摩托车市场营业面积,文具市场营业面积,日用品及文化用品市场营业面积,旧货市场营业面积,服装市场营业面积,木材市场营业面积,机动车零配件市场营业面积,机械设备市场营业面积,棉麻土畜、烟叶市场营业面积,水产品市场营业面积,汽车、摩托车及零配件市场营业面积,汽车市场营业面积,灯具市场营业面积,烟酒市场营业面积,煤炭市场营业面积,照相、摄像器材市场营业面积,玩具市场营业面积,生产资料市场营业面积,生产资料综合市场营业面积,电器、通讯器材、电子设备市场营业面积,箱包市场营业面积,粮油市场营业面积,纺织、服装、鞋帽市场营业面积,综合市场营业面积,肉禽蛋市场营业面积,花、鸟、鱼、虫市场营业面积,花卉市场营业面积,茶叶市场营业面积,蔬菜市场营业面积,装饰材料市场营业面积,观赏鱼市场营业面积,计算机及辅助设备市场营业面积,通讯器材市场营业面积,邮票、硬币市场营业面积,金属材料市场营业面积,鞋帽市场营业面积,音像制品及电子出版物市场营业面积,食品、饮料及烟酒市场营业面积,食品饮料市场营业面积,鸟市场营业面积,黄金、珠宝、玉器等首饰市场营业面积
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
