,国有建筑业企业动力装备率,国有建筑业企业技术装备率,国有建筑业企业自有施工机械设备年末净值,国有建筑业企业自有施工机械设备年末总功率,国有建筑业企业自有施工机械设备年末总台数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,4.4,2843.0,,,
1988年,4.5,2887.0,,,
1989年,4.8,3105.0,,,
1990年,4.9,3277.0,,,
1991年,5.1,3465.0,2213621.0,3248.9,1519637.0
1992年,4.9,3618.0,2464943.0,3314.6,1410064.0
1993年,5.1,4335.0,2848367.0,3323.8,1309360.0
1994年,4.8,4361.0,3567576.0,3900.2,1476295.0
1995年,4.8,5048.0,4161384.0,3984.6,1637276.0
1996年,4.9,5482.0,4692164.0,4213.3,1870826.0
1997年,5.3,6289.0,5211213.0,4419.9,1865910.0
1998年,5.9,7016.0,5180338.0,4343.2,1818321.0
1999年,6.4,8035.0,5548440.0,4405.0,1876329.0
2000年,6.53,8631.0,5485356.0,4150.75,1822716.0
2001年,6.79,9417.0,5561988.0,4008.67,1831423.0
2002年,6.74,12527.0,6811241.0,3663.21,1710768.0
2003年,6.66,13200.0,6920800.0,3493.75,1649774.0
2004年,7.51778372557,12919.0662841,6037889.7,3513.53,1485122.0
2005年,7.17,13292.23,6380890.9,3442.34,1523411.0
2006年,6.88,12363.26,5781243.7,3217.39,1360393.0
2007年,7.0,12392.95,5826179.4,3292.09,1365566.0
2008年,7.4,14502.0,6846247.1,3511.8947,1339329.0
2009年,7.0,15277.0,7927430.4,3620.358,1387998.0
2010年,5.6,12515.0,7219361.8,3207.1874,2244827.0
2011年,8.30328267879,22642.9852513,10074665.7,3694.4244,1246856.0
2012年,8.16744130978,17796.1764225,8146746.1,3738.897,1260582.0
2013年,,,,,
2014年,,,,,
