,内资建筑业企业负债,国有建筑业企业负债,外商投资建筑业企业负债,外商独资建筑业企业负债,建筑业企业负债,港澳台商投资建筑业企业负债,港澳台商独资建筑业企业负债,集体建筑业企业负债
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,2768.058,,,
1994年,,,,,4216.6997,,,
1995年,,,,,5164.3032,,,
1996年,,,,,6895.8281,,,
1997年,,,,,7913.7411,,,
1998年,8700.0,4900.0,56.8789,5.1013,8793.7979,83.4371,7.3871,2600.0
1999年,9440.585,5243.7634,54.2329,2.4946,9580.8294,86.0116,11.0745,2439.0
2000年,10201.5196,5305.3525,49.971,3.0074,10345.21688,93.7263,12.2613,2316.9121
2001年,11185.5257,5314.6391,50.1815,1.8458,11333.83165,98.1245,15.1196,1896.2359
2002年,12823.833,5287.7122,58.7318,2.2189,12985.6808,103.116,16.045,1966.1683
2003年,14809.5208,5477.7766,86.3509,3.0005,14992.4251,96.5534,5.0558,1765.9802
2004年,,,,,,,,
2005年,20060.74442,6685.45606,177.62389,40.22465,20362.73962,124.37131,12.4873,1452.0948
2006年,23013.73134,6943.2846,197.33785,76.94555,23375.57509,164.5059,21.53529,1414.59322
2007年,27729.41362,7970.46621,266.64653,96.69562,28166.3663,170.30615,38.18579,1403.17646
2008年,33530.48657,9481.74495,292.41244,6.50102,34034.9799,212.08089,49.4251,1386.36808
2009年,40370.46449,11063.30957,290.78333,5.28772,40915.6885,254.44068,48.87552,1405.20259
2010年,49718.723,12374.2748,307.7347,4.5836,50349.1708,322.7131,48.3518,1489.6366
2011年,62591.89114,15115.56614,540.27004,2.39196,63595.06712,462.90594,109.49932,1713.18152
2012年,74606.02593,17782.4578,408.28666,0.58254,75529.71696,515.40437,76.01683,1956.4215
2013年,,,,,,,,
2014年,99093.38548,19400.52176,603.32258,391.59253,100459.18004,762.47198,156.80077,1659.94398
