,所有者权益,流动负债,负债合计,非流动负债
1978年,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0
1993年,822.7366,2559.7834,2768.058,208.2745
1994年,1098.4098,3966.2773,4216.6997,250.4224
1995年,1537.4709,4881.1228,5164.3032,283.1804
1996年,2347.0236,6480.8821,6895.8281,375.2013
1997年,2679.0342,7432.8699,7913.7411,462.4597
1998年,3076.6253,8264.5562,8793.7979,529.2417
1999年,3563.4636,9079.4977,9580.8294,501.3317
2000年,4233.15169,9802.14787,10345.21688,543.06013
2001年,5633.78262,10743.90801,11333.83165,589.92364
2002年,7404.4267,12323.7647,12985.6808,661.9161
2003年,8549.4793,14181.2876,14992.4251,811.1375
2004年,0.0,0.0,0.0,0.0
2005年,11122.53562,19336.4293,20362.73962,1026.31032
2006年,12633.18601,22228.27199,23375.57509,1147.3031
2007年,14862.90732,26624.86593,28166.3663,1541.50037
2008年,17676.93171,32217.57528,34034.9799,1817.40462
2009年,21248.69925,38396.10956,40915.6885,2519.57894
2010年,24872.5952,47003.8686,50349.1708,3345.3022
2011年,30264.78871,58833.66012,63595.06712,4114.03203
2012年,36123.45204,68539.05628,75529.71696,4664.83888
2013年,0.0,0.0,0.0,0.0
2014年,47913.33985,90525.66266,100459.18004,0.0
