,建筑业企业上年结转合同额,建筑业企业从建设单位以外承揽工程完成的产值,建筑业企业分包出去工程的产值,建筑业企业本年新签合同额,建筑业企业直接从建设单位承揽工程完成的产值,建筑业企业签订合同总额,建筑业企业自行完成施工产值
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,160570000.0,0.0,0.0,301430000.0,0.0,461990000.0,0.0
2005年,195876587.7,13802209.2,9615039.0,363590176.4,341333798.2,559466764.1,331718759.2
2006年,244281113.2,17027079.2,11438771.9,427658633.4,409983272.6,671939746.6,398544500.7
2007年,299176474.6,20163198.2,13372409.7,534946558.7,503646353.4,834123033.3,490273943.7
2008年,378724529.4,25496680.6,16672167.3,663688322.8,611543547.5,1042412852.2,594871380.2
2009年,482810000.0,31911669.5,22628769.6,852480000.0,758794516.5,1335290000.0,736165746.9
2010年,622450000.0,39028187.0,26996281.0,1103590000.0,948279432.0,1726040000.0,921283151.0
2011年,813230005.0,43975984.8,33344154.5,1287943535.7,1154001376.4,2101173540.7,1120657221.9
2012年,1005546474.6,50723388.2,35812065.6,1467848686.4,1357267257.5,2473395161.0,1321455191.9
2013年,1144660000.0,56345035.2,40223657.9,1749570000.0,1577008128.8,2894230000.0,1536784470.9
2014年,1388587459.0,65322058.0,48643203.7,1846273647.8,1750457057.4,3234861106.8,1701813853.7
