,国有建筑业房屋施工面积,国有建筑业房屋竣工面积,建筑业房屋施工面积,建筑业房屋竣工面积,集体建筑业房屋施工面积,集体建筑业房屋竣工面积
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,19295.8,8563.1,35491.8,17072.7,16196.0,8509.6
1986年,20266.3,8870.5,37773.9,18601.0,,
1987年,21153.1,9209.0,39856.6,19437.9,,
1988年,22297.0,8899.3,42735.2,19060.7,,
1989年,21399.0,9143.3,40649.9,19723.4,19250.9,10580.1
1990年,20303.2,9361.7,37923.0,19552.5,17619.7,10190.9
1991年,21395.4,9566.2,41054.2,20256.3,19658.8,10690.1
1992年,25896.1,10968.0,51885.4,24045.5,25989.3,13077.5
1993年,32118.1,12085.4,65374.2,28684.8,32724.1,16379.0
1994年,39445.8,14143.0,78032.2,32383.3,37004.4,17674.0
1995年,44562.9,15182.4,89862.8,35666.3,41829.5,19262.0
1996年,48372.8,17491.3,129087.0,60047.9,74668.4,39827.3
1997年,48830.1,18507.5,128680.3,62244.0,70795.3,39859.3
1998年,45866.9,17577.4,137593.6,65682.6,71597.63,39337.97
1999年,47055.7,19868.6,147262.5,73924.9,70590.44,39949.08
2000年,46237.5,20145.0,160141.1,80714.9,68112.33,38515.52
2001年,46627.5,20338.2,188328.7,97699.0,61239.24,36115.14
2002年,44567.3,19628.2,215608.7,110217.1,52564.4,30071.3
2003年,46803.66,18774.06,259377.13,122827.61,50488.91,26727.64
2004年,52397.94,20552.46,310985.71,147364.04,42858.27,23393.34
2005年,56308.81,20505.72,352744.7,159406.2,42257.41,21750.39
2006年,62253.81,20014.35,410154.4,179673.0,40872.53,21019.33
2007年,68768.4,20539.47,482005.5,203992.7,42119.61,21300.87
2008年,65633.7175,19853.244,530518.6276,223592.02,39247.8219,19224.7564
2009年,72681.0014,21765.3565,588593.9096,245401.6392,36380.946,18783.1694
2010年,84452.8479,22076.1115,708023.5141,277450.2157,39232.1246,18375.0005
2011年,106396.6555,25876.7055,851828.1156,316429.2755,38202.9794,19253.0823
2012年,117123.5717,26763.3307,986427.4519,358736.2346,39208.9926,19810.7197
2013年,107280.6141,25392.8176,1132002.8605,401520.9277,36030.2989,17500.1766
2014年,119295.1011,23870.5718,1249826.3497,423357.3031,35788.891,17428.2288
