,其他建筑业企业从业人员数,其他建筑业企业单位数,其他建筑业企业建筑业总产值,国有企业建筑业总产值,国有建筑业企业从业人员数,国有建筑业企业单位数,外商投资企业建筑业总产值,外商投资建筑业企业从业人员数,外商投资建筑业企业单位数,建筑业企业从业人员数,建筑业企业单位数,建筑业总产值,港澳台商投资企业建筑业总产值,港澳台商投资建筑业企业从业人员数,港澳台商投资建筑业企业单位数,集体企业建筑业总产值,集体建筑业企业从业人员数,集体建筑业企业单位数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,220.9,481.8,1996.0,0.0,0.0,0.0,648.0,6604.0,286.93,0.0,0.0,0.0,66.03,166.2,4608.0
1981年,0.0,0.0,0.0,213.7,509.3,2586.0,0.0,0.0,0.0,685.2,7327.0,282.3,0.0,0.0,0.0,68.6,175.9,4741.0
1982年,0.0,0.0,0.0,258.03,532.9,2808.0,0.0,0.0,0.0,724.0,7884.0,345.33,0.0,0.0,0.0,87.3,200.1,5076.0
1983年,0.0,0.0,0.0,298.54,544.5,2885.0,0.0,0.0,0.0,802.6,9653.0,419.54,0.0,0.0,0.0,121.0,258.1,6768.0
1984年,0.0,0.0,0.0,371.56,554.2,3017.0,0.0,0.0,0.0,847.7,9741.0,517.15,0.0,0.0,0.0,145.59,293.5,6724.0
1985年,0.0,0.0,0.0,474.51,576.7,3385.0,0.0,0.0,0.0,911.5,11150.0,675.1,0.0,0.0,0.0,200.59,334.8,7765.0
1986年,0.0,0.0,0.0,566.83,617.3,3608.0,0.0,0.0,0.0,993.7,12585.0,808.07,0.0,0.0,0.0,241.24,376.4,8977.0
1987年,0.0,0.0,0.0,660.11,618.2,3788.0,0.0,0.0,0.0,1024.1,13625.0,952.65,0.0,0.0,0.0,292.54,405.9,9837.0
1988年,0.0,0.0,0.0,776.96,623.5,3798.0,0.0,0.0,0.0,1044.8,14134.0,1131.65,0.0,0.0,0.0,354.69,421.3,10336.0
1989年,0.0,0.0,0.0,878.57,614.7,3927.0,0.0,0.0,0.0,1004.8,13106.0,1282.98,0.0,0.0,0.0,404.41,390.1,9179.0
1990年,0.0,0.0,0.0,935.19,621.0,4275.0,0.0,0.0,0.0,1010.7,13327.0,1345.01,0.0,0.0,0.0,409.82,389.7,9052.0
1991年,0.0,0.0,0.0,1062.48,638.9,4638.0,0.0,0.0,0.0,1058.3,13825.0,1564.33,0.0,0.0,0.0,501.85,419.4,9187.0
1992年,0.0,0.0,0.0,1432.13,681.2,4985.0,0.0,0.0,0.0,1157.5,14536.0,2174.44,0.0,0.0,0.0,742.31,476.3,9551.0
1993年,0.0,0.0,0.0,2054.83,657.1,6363.0,0.0,0.0,0.0,1096.7,20998.0,3253.5,0.0,0.0,0.0,1163.85,455.7,14130.0
1994年,0.0,0.0,0.0,3033.66,818.2,7251.0,0.0,0.0,0.0,1445.9,23315.0,4653.32,0.0,0.0,0.0,1519.45,601.9,15196.0
1995年,31.31,613.0,157.24,3670.25,824.3,7531.0,33.19,5.4,312.0,1497.87,24133.0,5793.75,33.6,4.96,329.0,1899.47,631.9,15348.0
1996年,77.3,2406.0,329.0,4160.21,855.9,9109.0,50.51,8.6,388.0,2121.87,41364.0,8282.2,46.85,8.7,417.0,3695.68,1171.4,29044.0
1997年,106.88,3550.0,539.94,4526.52,828.6,9650.0,70.49,9.6,454.0,2101.51,44017.0,9126.5,63.72,8.2,491.0,3925.81,1148.2,29872.0
1998年,219.9,6800.0,1324.08,4571.44,738.4,9458.0,62.52,5.1,337.0,2029.99,45634.0,10062.0,91.94,9.3,629.0,4012.01,1057.3,28410.0
1999年,318.91,9638.0,2053.29,4861.38,690.6,9394.0,64.43,6.1,341.0,2020.13,47234.0,11152.9,91.97,11.5,664.0,4081.79,993.1,27197.0
2000年,458.58,12778.0,3241.3,5053.79,635.6,9030.0,67.49,4.4,319.0,1994.3,47518.0,12497.6,99.18,8.22,635.0,4035.84,887.5,24756.0
2001年,768.09,17637.0,6047.25,5362.81,590.65,8264.0,73.06,4.3,274.0,2110.66,45893.0,15361.56,102.55,7.68,622.0,3775.89,739.94,19096.0
2002年,1110.35,26196.0,9400.57,5582.86,543.75,7536.0,91.38,4.5,279.0,2245.19,47820.0,18527.18,113.87,7.41,632.0,3338.5,579.18,13177.0
2003年,1371.3,30803.0,13499.81,6060.23,524.32,6638.0,129.39,6.04,287.0,2414.27,48688.0,23083.87,123.71,7.04,535.0,3270.73,505.57,10425.0
2004年,1631.64,42649.0,18600.23,7325.61,467.36,6513.0,202.46,8.1,386.0,2500.3,59018.0,29021.45,137.03,6.8,511.0,2756.12,386.4,8959.0
2005年,1838.92,43749.0,22883.3,8432.03,480.0,6007.0,249.03,10.8,388.0,2699.92,58750.0,34552.1,172.54,8.6,516.0,2815.2,361.6,8090.0
2006年,2061.55,46711.0,28918.73,9218.56,467.6,5555.0,274.87,8.1,370.0,2878.16,60166.0,41557.16,240.52,8.9,479.0,2904.48,332.0,7051.0
2007年,2325.36,49294.0,36580.89,10630.9,470.12,5319.0,396.32,11.43,365.0,3133.71,62074.0,51043.71,281.95,9.81,482.0,3153.65,316.99,6614.0
2008年,2556.4,59100.0,45880.52,12231.65743,472.106,5315.0,387.13523,9.2142,363.0,3314.9503,71095.0,62036.80608,321.0668,10.478,474.0,3216.43358,266.779,5843.0
2009年,2885.7479,59661.0,57586.18578,15190.05043,518.9247,5009.0,415.16992,10.2379,351.0,3672.5571,70817.0,76807.74164,334.58979,10.8563,444.0,3281.74572,246.7903,5352.0
2010年,3315.079,61280.0,73343.64397,18148.58517,576.8711,4810.0,439.67882,9.795,331.0,4160.4378,71863.0,96031.1338,443.95782,12.1647,416.0,3655.26802,246.528,5026.0
2011年,3165.9665,62095.0,90449.17517,20436.81097,444.9354,4642.0,658.16801,9.8685,303.0,3852.4733,72280.0,116463.32067,612.67906,11.3056,393.0,4306.48746,220.3973,4847.0
2012年,3569.9691,65358.0,108241.9402,22930.18531,457.7807,4602.0,476.98842,10.2824,295.0,4267.2422,75280.0,137217.85801,649.74199,12.9682,385.0,4919.00209,216.2418,4640.0
2013年,3927.0365,70682.0,133872.68365,20739.01633,387.6584,3847.0,607.72487,10.1422,272.0,4528.3551,78919.0,160366.06329,621.96191,16.4604,390.0,4524.67653,187.0576,3728.0
2014年,3966.7201,73169.0,148657.29309,22069.4484,371.1511,3753.0,643.2032,8.6264,261.0,4536.9721,81141.0,176713.41617,661.67484,15.4415,369.0,4681.79665,175.033,3589.0
