,建筑业企业动力装备率,建筑业企业技术装备率,建筑业企业自有施工机械设备年末净值,建筑业企业自有施工机械设备年末总功率,建筑业企业自有施工机械设备年末总台数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,4.0,2572.0,2722151.0,4250.2,2528110.0
1992年,3.8,2719.0,3147398.0,4431.9,2531578.0
1993年,4.3,4105.0,4671699.0,4948.9,2608091.0
1994年,4.0,3446.0,4981982.0,5712.7,2952629.0
1995年,4.7,4264.0,6386383.0,7056.5,3482784.0
1996年,4.6,4154.0,8814352.0,9804.8,5649612.0
1997年,4.1,4729.0,9938659.0,8668.5,5604603.0
1998年,4.3,5127.0,10407189.0,8656.5,5833748.0
1999年,4.5,5756.0,11628317.0,9077.8,6110175.0
2000年,4.6,6304.0,12572317.0,9228.1,6259885.0
2001年,4.86,7136.0,15062491.0,10251.72,7022174.0
2002年,4.91,9675.0,21722927.0,11022.52,7540011.0
2003年,4.85,9957.0,24039576.0,11712.38,8001782.0
2004年,5.8,9297.0,23245244.3,14584.05,8466386.0
2005年,5.09849640633,9273.48090312,25037702.0,13765.5574,8798527.0
2006年,4.91852347565,9109.13587091,26217542.3,14156.2931,8973042.0
2007年,4.97154667966,9208.35554874,28856330.6,15579.3935,9487515.0
2008年,5.5,9915.0,32869150.6,18195.3677,9448056.0
2009年,5.2,10088.0,37049783.7,19022.5552,9734910.0
2010年,4.6596987942,9547.04141954,39719872.0,19386.387,11209484.0
2011年,5.6645192064,12025.2947373,46327126.9,21822.409,10054231.0
2012年,5.68875788208,13374.1655676,57070803.7,24275.3077,10157280.0
2013年,5.614395523,13457.8084656,60941735.6,25423.9766,11467280.0
2014年,6.52465344786,12518.8488734,56797668.0627,29602.1706551,12030587.0
