,其他产值,安装工程产值,建筑业总产值,建筑工程产值
1978年,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0
1980年,0.0,0.0,286.93,0.0
1981年,0.0,0.0,282.3,0.0
1982年,0.0,0.0,345.33,0.0
1983年,0.0,0.0,419.54,0.0
1984年,0.0,0.0,517.15,0.0
1985年,0.0,0.0,675.1,0.0
1986年,0.0,0.0,808.07,0.0
1987年,0.0,0.0,952.65,0.0
1988年,0.0,0.0,1131.65,0.0
1989年,0.0,0.0,1282.98,0.0
1990年,0.0,0.0,1345.01,0.0
1991年,0.0,0.0,1564.33,0.0
1992年,0.0,0.0,2174.44,0.0
1993年,0.0,337.2429,3253.5,2847.6126
1994年,0.0,508.6484,4653.32,4038.0139
1995年,0.0,689.1892,5793.75,4981.754
1996年,0.0,926.7856,8282.2,7158.503
1997年,0.0,1098.0124,9126.5,7816.0373
1998年,0.0,1173.7546,10062.0,8686.16
1999年,0.0,1288.7509,11152.9,9639.2237
2000年,0.0,1394.3775,12497.6,10845.2657
2001年,0.0,1764.218,15361.56,13285.4425
2002年,0.0,2173.5028,18527.18,15710.3166
2003年,0.0,2576.402,23083.87,19508.7179
2004年,0.0,3068.4664,29021.45,23292.924
2005年,0.0,3835.6612,34552.1,29464.38398
2006年,0.0,4333.13575,41557.16,35864.6122
2007年,0.0,5101.0725,51043.71,44446.98971
2008年,0.0,6241.73549,62036.80608,53831.60457
2009年,0.0,7319.14396,76807.74164,67208.41813
2010年,0.0,8512.2949,96031.1338,84753.1139
2011年,0.0,9543.70867,116463.32067,103665.76683
2012年,0.0,11316.59456,137217.85801,121719.92144
2013年,0.0,13355.19941,160366.06329,141146.83084
2014年,0.0,14259.80144,176713.41617,157142.50559
