,内资建筑业企业所有者权益,国有建筑业企业所有者权益,外商投资建筑业企业所有者权益,外商独资建筑业企业所有者权益,建筑业企业所有者权益,港澳台商投资建筑业企业所有者权益,港澳台商独资建筑业企业所有者权益,集体建筑业企业所有者权益
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,822.7366,,,
1994年,,,,,1098.4098,,,
1995年,,,,,1537.4709,,,
1996年,,,,,2347.0236,,,
1997年,,,,,2679.0342,,,
1998年,3000.0,1400.0,27.4352,1.2674,3076.6253,42.2517,3.8228,1100.0
1999年,3486.7508,1542.23,29.9846,1.4611,3563.4636,46.7283,4.8801,1168.4976
2000年,4154.3097,1728.7531,29.9345,1.4709,4233.15169,48.9075,5.2085,1187.1062
2001年,5543.425,1984.6344,33.5359,1.6781,5633.78262,56.8217,4.7939,1183.8126
2002年,7289.8049,2318.4063,42.9647,2.6828,7404.4267,71.6571,4.7735,1334.282
2003年,8426.5763,2367.8872,53.1319,2.2038,8549.4793,69.7711,3.8492,1275.2811
2004年,,,,,,,,
2005年,10958.04886,2716.9895,87.97868,13.82285,11122.53562,76.50808,11.08542,1004.09735
2006年,12459.04704,2663.99769,90.38104,28.37577,12633.18601,83.75793,11.99436,916.20744
2007年,14665.3105,3373.53443,103.51199,27.55647,14862.90732,94.08483,18.32998,931.87486
2008年,17448.63645,2995.85014,115.72565,40.03662,17676.93171,112.56961,23.57071,898.54966
2009年,20977.31126,3239.59683,137.41713,49.23425,21248.69925,133.97086,27.50623,905.61231
2010年,24556.8638,3458.0363,152.8858,70.3623,24872.5952,162.8456,30.8143,938.5418
2011年,29891.65394,4038.0427,192.95916,85.74167,30264.78871,180.17561,65.73938,1052.88797
2012年,35769.42256,4643.16064,182.60883,101.80525,36123.45204,171.42065,40.28096,1114.55154
2013年,,,,,,,,
2014年,47466.5115,5230.46853,222.59551,120.78427,47913.33985,224.23284,41.16032,943.72758
