,建筑业企业主营业务利润,建筑业企业主营业务成本,建筑业企业主营业务收入,建筑业企业其他业务利润,建筑业企业其他业务收入,建筑业企业总收入
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,224.0877,2651.4153,2961.508,33.0609,225.7138,3187.2217
1994年,401.0717,3716.1585,4242.7783,39.5522,253.839,4496.6173
1995年,494.2576,4504.9241,5156.1806,47.4599,324.7493,5480.9299
1996年,669.9893,6289.6668,7189.3332,55.5067,398.1159,7587.4491
1997年,741.2511,6949.2116,7943.9678,61.1494,440.3759,8384.3437
1998年,777.5597,7704.1808,8762.9687,59.1917,425.1393,9188.108
1999年,853.0447,8544.1006,9714.1729,62.7385,433.4283,10147.6012
2000年,943.5591,9697.271,11003.0241,68.32346,503.8004,11506.8245
2001年,1159.6329,12494.2995,14126.2655,71.48393,448.0699,14574.3354
2002年,1395.0478,15247.4083,17209.2117,85.6237,535.566,17744.7777
2003年,1674.0685,19099.2216,21493.5842,95.4564,543.6847,22037.2689
2004年,,,,,,
2005年,2372.61361,28856.43605,32510.53806,110.26049,687.95321,33198.49127
2006年,2809.89933,35047.96111,39409.5866,127.42412,745.42855,40155.0152
2007年,3365.72837,43228.67828,48509.30238,168.57725,905.45228,49414.75466
2008年,4490.68805,52714.55895,59717.93718,197.70844,1018.50574,60736.44292
2009年,5217.894,66244.14974,74431.07306,204.52953,1047.12505,75478.19811
2010年,6515.0138,81929.4791,92196.4199,262.4058,1440.1586,93636.5784
2011年,3799.17947,98394.70837,110703.99286,305.16511,1298.79367,112002.78653
2012年,4495.27106,113751.97977,128761.70756,192.13017,1421.22377,130182.93133
2013年,,,,,,
2014年,6133.23586,144604.53831,164015.69665,191.91976,1659.54944,165675.24609
