,建筑业企业主营业务税金及附加,建筑业企业产值利税率,建筑业企业利润总额,建筑业企业利税总额合计,建筑业企业管理费用中的税金,建筑业企业资产利税率
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,88.2842,4.9,64.6932,160.9393,7.9619,4.3
1994年,125.5481,4.5,72.5172,208.268,10.2027,3.9
1995年,156.9988,4.2,74.1983,168.0417,11.0429,3.6
1996年,229.6771,4.3,109.3504,247.9508,18.2737,3.9
1997年,253.5052,4.2,109.917,381.5831,18.1609,3.6
1998年,301.93,4.2,117.33,419.2554,20.7,3.5
1999年,317.03,4.4,154.7982,494.4082,22.58,3.8
2000年,362.19,4.6,192.0635,579.2206,24.96,4.0
2001年,472.33,5.2,294.3904,793.4252,26.7,4.676
2002年,566.76,5.2,370.3532,969.7797,32.67,4.8
2003年,720.29,5.5,519.8716,1278.526,38.36,5.4
2004年,894.1,5.7,719.24681,1655.43838,42.09,0.0
2005年,1101.4,5.9806784537,906.6623,2066.4572,58.4,6.56315450263
2006年,1335.41,6.22356447143,1193.0744,2594.5621,66.07385,7.18251615576
2007年,1634.808,6.41684748451,1561.12248,3275.39729,79.46681,7.61202087427
2008年,2147.63752,7.20027753241,2201.83887,4466.82221,117.34582,8.63789505045
2009年,2524.60441,6.9946606101,2718.75516,5372.44085,129.08128,8.64231281679
2010年,3192.7331,7.0,3409.07409,6760.38694,158.5797,9.0
2011年,3697.53184,6.86198198165,4168.32736,8032.61211,166.87891,8.55809125101
2012年,4190.47962,6.68,4776.14155,9165.02569,198.40452,8.21
2013年,0.0,0.0,5575.0,0.0,0.0,0.0
2014年,5325.48236,6.76476804031,6407.12991,11954.2527,221.64043,8.05690377701
