,其他建筑业建筑业总产值,土木工程建筑建筑业总产值,建筑业总产值,建筑安装业建筑业总产值,建筑装饰业建筑业总产值,房屋和土木工程建筑业建筑业总产值,房屋工程建筑建筑业总产值
1978年,,,,,,,
1979年,,,,,,,
1980年,,,286.93,,,,
1981年,,,282.3,,,,
1982年,,,345.33,,,,
1983年,,,419.54,,,,
1984年,,,517.15,,,,
1985年,,,675.1,,,,
1986年,,,808.07,,,,
1987年,,,952.65,,,,
1988年,,,1131.65,,,,
1989年,,,1282.98,,,,
1990年,,,1345.01,,,,
1991年,,,1564.33,,,,
1992年,,,2174.44,,,,
1993年,,,3253.5,,,,
1994年,,,4653.32,,,,
1995年,,,5793.75,,,,
1996年,,,8282.2,,,,
1997年,,,9126.5,,,,
1998年,,8827.6256,10062.0,,309.446,,6842.6963
1999年,,9777.8694,11152.9,,,,7486.7131
2000年,,,12497.6,1091.4629,428.2368,10977.8964,8330.6321
2001年,,13485.9471,15361.56,,495.1786,,10086.0111
2002年,,16035.9745,18527.18,969.8861,663.6234,,11657.0088
2003年,295.812,5821.7446,23083.87,1840.2815,809.1824,20138.5904,14316.8458
2004年,,,29021.45,,,,
2005年,505.15551,9342.44393,34552.1,2927.23346,1236.90959,29882.79828,20540.35435
2006年,600.28326,11107.50787,41557.16,3327.8489,1523.75922,36105.26661,24997.75874
2007年,773.91301,13590.32351,51043.71,4171.7938,1846.73952,44251.26786,30660.94435
2008年,939.03009,17040.10528,62036.80608,5146.05588,2190.87816,53760.84195,36720.73667
2009年,1099.42505,22959.70405,76807.74164,5818.7414,2621.20607,67268.36912,44308.66507
2010年,1498.9055,27955.9747,96031.1338,7226.7981,3231.6931,84073.7371,56117.7625
2011年,1765.80149,31214.22355,116463.32067,8149.05283,4256.94553,102291.5208,71075.94992
2012年,1926.98806,34784.07657,137217.85801,8062.7676,5310.18719,121917.91516,87133.83859
2013年,,39739.96212,160366.06329,9044.81448,,,102285.92344
2014年,,44135.57392,176713.41617,9776.53086,,,113880.09079
