,对外劳务合作年末在外人数,对外劳务合作派出劳务人数,对外承包工程合同数,对外承包工程合同金额,对外承包工程完成营业额,对外承包工程年末在外人数
1978年,,,,,,
1979年,,,27.0,0.33,,
1980年,,,138.0,1.4,12300.0,
1981年,,,250.0,2.76,,
1982年,,,195.0,3.46,10000.0,
1983年,,,280.0,7.99,18900.0,
1984年,27600.0,,344.0,15.38,49400.0,21900.0
1985年,24900.0,,465.0,11.16,66300.0,30600.0
1986年,19000.0,,486.0,11.89,81900.0,27400.0
1987年,31900.0,,616.0,16.48,111400.0,31300.0
1988年,39800.0,,642.0,18.13,125300.0,30000.0
1989年,43100.0,,776.0,17.81,148400.0,24000.0
1990年,36100.0,,920.0,21.25,164400.0,21800.0
1991年,68300.0,,1171.0,25.24,197000.0,21500.0
1992年,105600.0,,1164.0,52.51,240300.0,25400.0
1993年,130900.0,,1393.0,51.89,366800.0,34200.0
1994年,184300.0,,1702.0,60.27,488300.0,38300.0
1995年,225900.0,,1558.0,74.84,510800.0,38400.0
1996年,246600.0,,1634.0,77.28,582100.0,38800.0
1997年,285500.0,,2085.0,85.16,603600.0,47800.0
1998年,290800.0,,2322.0,92.43,776900.0,61100.0
1999年,326500.0,,2527.0,101.99,852200.0,55300.0
2000年,369300.0,,2597.0,117.19,837900.0,55600.0
2001年,414700.0,,5836.0,130.39,889900.0,60000.0
2002年,410400.0,,4036.0,150.55,1119400.0,78500.0
2003年,429700.0,,3708.0,176.67,1383700.0,94000.0
2004年,419400.0,173000.0,6694.0,238.44,1746800.0,114700.0
2005年,418700.0,183400.0,9502.0,296.14,2176300.0,144800.0
2006年,475200.0,214800.0,12996.0,660.045,2999300.0,198598.0
2007年,505100.0,214900.0,6282.0,776.2076,4064300.0,236002.0
2008年,467110.0,224900.0,5411.0,1045.6216,5661200.0,271613.0
2009年,450277.0,180100.0,7280.0,1262.0961,7770600.0,326861.0
2010年,470095.0,186800.0,9544.0,1343.6696,9217000.0,376510.0
2011年,488409.0,209100.0,6381.0,1423.32,10342400.0,324000.0
2012年,505563.0,278380.0,6710.0,1565.2922,11659697.0,344618.0
2013年,482611.0,255674.0,11578.0,1716.2946,13714273.0,370144.0
2014年,596881.0,292570.0,7740.0,1917.564,14241066.0,408851.0
