,实际利用外商其他投资额,实际利用外商直接投资金额,实际利用外资额
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,28000.0,92000.0,226000.0
1984年,16100.0,142000.0,287000.0
1985年,29800.0,195600.0,476000.0
1986年,37000.0,224400.0,762800.0
1987年,33300.0,231400.0,845200.0
1988年,54500.0,319400.0,1022600.0
1989年,38100.0,339200.0,1006000.0
1990年,26800.0,348700.0,1028900.0
1991年,30000.0,436600.0,1155400.0
1992年,28400.0,1100800.0,1920300.0
1993年,25600.0,2751500.0,3896000.0
1994年,17900.0,3376700.0,4321300.0
1995年,28500.0,3752100.0,4813300.0
1996年,41000.0,4172600.0,5480500.0
1997年,713000.0,4525700.0,6440800.0
1998年,209400.0,4546300.0,5855700.0
1999年,212800.0,4031900.0,5265900.0
2000年,864100.0,4071500.0,5935600.0
2001年,279400.0,4687800.0,4967200.0
2002年,226800.0,5274300.0,5501100.0
2003年,263500.0,5350500.0,5614000.0
2004年,344200.0,6063000.0,6407200.0
2005年,348000.0,6032500.0,6380500.0
2006年,405500.0,6302100.0,6707600.0
2007年,357200.0,7476800.0,7833900.0
2008年,285800.0,9239500.0,9525300.0
2009年,177100.0,9003300.0,9180400.0
2010年,308600.0,10573500.0,10882100.0
2011年,168700.0,11601100.0,11769800.0
2012年,157800.0,11171600.0,11329400.0
2013年,113400.0,11758600.0,11872100.0
2014年,14400.0,11956156.0,11970500.0
