,合同利用外商其他投资额,合同利用外商直接投资金额,合同利用外商直接投资项目,合同利用外资项目,合同利用外资额
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,173200.0,470.0,522.0,343000.0
1984年,0.0,265100.0,1856.0,1894.0,479100.0
1985年,40200.0,633300.0,3073.0,3145.0,1026900.0
1986年,49600.0,333000.0,1498.0,1551.0,1223300.0
1987年,61000.0,370900.0,2233.0,2289.0,1213600.0
1988年,89400.0,529700.0,5945.0,6063.0,1600400.0
1989年,69400.0,560000.0,5779.0,5909.0,1147900.0
1990年,39100.0,659600.0,7273.0,7371.0,1208600.0
1991年,44500.0,1197700.0,12978.0,13086.0,1958300.0
1992年,61200.0,5812400.0,48764.0,48858.0,6943900.0
1993年,53100.0,11143600.0,83437.0,83595.0,12327300.0
1994年,40800.0,8268000.0,47549.0,47646.0,9375600.0
1995年,63500.0,9128200.0,37011.0,37184.0,10320500.0
1996年,37100.0,7327600.0,24556.0,24673.0,8161000.0
1997年,418200.0,5100300.0,21001.0,21138.0,6105800.0
1998年,271400.0,5210200.0,19799.0,19850.0,6320100.0
1999年,242600.0,4122300.0,16918.0,17022.0,5200900.0
2000年,875000.0,6238000.0,22347.0,22347.0,7113000.0
2001年,278100.0,6919500.0,26140.0,26140.0,7197600.0
2002年,198200.0,8276800.0,34171.0,34171.0,8475100.0
2003年,183200.0,11506900.0,41081.0,41081.0,11690100.0
2004年,310900.0,15347900.0,43664.0,43664.0,15658800.0
2005年,352800.0,18906500.0,44001.0,44001.0,19259300.0
2006年,448900.0,19372700.0,41473.0,41473.0,19821600.0
2007年,0.0,0.0,37871.0,37871.0,0.0
2008年,0.0,0.0,27514.0,27514.0,0.0
2009年,0.0,0.0,23435.0,23435.0,0.0
2010年,0.0,0.0,27406.0,27406.0,0.0
2011年,0.0,0.0,27712.0,27712.0,0.0
2012年,0.0,0.0,24925.0,24925.0,0.0
2013年,0.0,0.0,22773.0,22773.0,0.0
2014年,0.0,0.0,23778.0,23778.0,0.0
