,初级产品进口额,动、植物油脂及蜡进口额,化学品及有关产品进口额,工业制成品进口额,未分类的其他商品进口额,机械及运输设备进口额,杂项制品进口额,矿物燃料、润滑油及有关原料进口额,轻纺产品、橡胶制品矿冶产品及其制品进口额,进口商品总额,非食用原料进口额,食品及主要供食用的活动物进口额,饮料及烟类进口额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10890.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15670.0,0.0,0.0,0.0
1980年,6959.0,239.0,2909.0,13058.0,334.0,5119.0,542.0,203.0,4154.0,20017.0,3554.0,2927.0,36.0
1981年,8044.0,99.0,2606.0,13971.0,906.0,5866.0,558.0,83.0,4035.0,22020.0,4027.0,3622.0,213.0
1982年,7634.0,108.0,2936.0,11651.0,1119.0,3204.0,486.0,183.0,3906.0,19290.0,3012.0,4201.0,130.0
1983年,5808.0,70.0,3183.0,15582.0,1340.0,3988.0,782.0,111.0,6289.0,21390.0,2459.0,3122.0,46.0
1984年,5208.0,80.0,4237.0,22202.0,2220.0,7245.0,1182.0,139.0,7318.0,27410.0,2542.0,2331.0,116.0
1985年,5289.0,122.0,4469.0,36963.0,2455.0,16239.0,1902.0,172.0,11898.0,42252.09,3236.0,1553.0,206.0
1986年,5649.0,205.0,3771.0,37255.0,3634.0,16781.0,1877.0,504.0,11192.0,42910.0,3143.0,1625.0,172.0
1987年,6915.0,349.0,5008.0,36301.0,5078.0,14607.0,1878.0,539.0,9730.0,43210.0,3321.0,2443.0,263.0
1988年,10068.0,369.0,9139.0,45207.0,6979.0,16697.0,1982.0,787.0,10410.0,55270.0,5090.0,3476.0,346.0
1989年,11754.0,875.0,7556.0,47386.0,7215.0,18207.0,2073.0,1650.0,12335.0,59140.0,4835.0,4192.0,202.0
1990年,9853.0,982.0,6648.0,43492.0,8990.0,16845.0,2103.0,1272.0,8906.0,53345.0,4107.0,3335.0,157.0
1991年,10834.0,719.0,9277.0,52957.0,11147.0,19601.0,2439.0,2113.0,10493.0,63791.0,5003.0,2799.0,200.0
1992年,13255.0,525.0,11157.0,67330.0,0.0,31312.0,5588.0,3570.0,19273.0,80585.0,5775.0,3146.0,239.0
1993年,14210.0,502.0,9704.0,89749.0,0.0,45023.0,6495.0,5819.0,28527.0,103959.0,5438.0,2206.0,245.0
1994年,16486.0,1809.0,12130.0,99128.0,679.0,51467.0,6768.0,4035.0,28084.0,115614.0,7437.0,3137.0,68.0
1995年,24417.0,2605.0,17299.0,107667.0,693.0,52642.0,8261.0,5127.0,28772.0,132084.0,10159.0,6132.0,394.0
1996年,25441.0,1697.0,18106.0,113392.0,646.0,54763.0,8486.0,6877.0,31391.0,138833.0,10698.0,5672.0,497.0
1997年,28620.0,1684.0,19297.0,113750.0,909.0,52774.0,8550.0,10306.0,32220.0,142370.0,12006.0,4304.0,320.0
1998年,22949.0,1491.0,20158.0,117288.0,754.0,56845.0,8456.0,6776.0,31075.0,140237.0,10715.0,3788.0,179.0
1999年,26846.0,1367.0,24030.0,138853.0,1352.0,69453.0,9701.0,8912.0,34317.0,165699.0,12740.0,3619.0,208.0
2000年,46739.0,977.0,30213.0,178355.0,1653.0,91931.0,12751.0,20637.0,41807.0,225094.0,20003.0,4758.0,364.0
2001年,45743.0,763.0,32104.0,197810.0,1676.0,107015.0,15076.0,17466.0,41938.0,243553.0,22127.0,4976.0,412.0
2002年,49271.0,1625.0,39036.0,245899.0,1564.0,137010.0,19801.0,19285.0,48489.0,295170.0,22736.0,5238.0,387.0
2003年,72763.0,3000.0,48975.0,339996.0,1282.0,192826.0,33011.0,29189.0,63902.0,412760.0,34124.0,5960.0,490.0
2004年,117267.0,4214.0,65473.0,443962.0,1529.0,252830.0,50143.0,47993.0,73986.0,561229.0,55358.0,9154.0,548.0
2005年,147714.0,3370.0,77734.0,512239.0,2008.0,290478.0,60862.0,63947.0,81157.0,659953.0,70226.0,9388.0,783.0
2006年,187128.569,3936.437,87046.841,604332.299,2030.404,357020.746,71310.507,89000.589,86923.8,791460.868,83156.652,9994.272,1040.618
2007年,243085.441,7344.366,107554.022,712864.82,2464.653,412459.135,87509.754,104930.09,102877.256,956116.0,117910.225,11499.623,1401.138
2008年,362394.71,10486.363,119187.83,770167.452,4408.723,441764.784,97641.209,169241.994,107164.906,1132567.0,166695.129,14051.178,1920.046
2009年,289804.194,7639.065,112090.04,716119.002,3306.968,407796.84,85186.068,124037.598,107739.087,1005923.196,141346.691,14827.193,1953.647
2010年,433849.922,8740.324,149699.773,962394.084,18435.024,549420.649,113560.489,188999.9,131278.148,1396244.006,212111.239,21570.29,2428.17
2011年,604269.0,11112.0,181106.0,1139215.0,49513.0,630570.0,127722.0,275776.0,150304.0,1743483.5925,284923.0,28774.0,3685.0
2012年,634934.183,12527.041,179286.808,1183470.816,68772.02,652940.68,136518.762,313084.909,145952.546,1818405.003,269659.516,35259.844,4402.873
2013年,658080.843,10339.354,190304.46,1291908.625,104736.356,710141.196,138854.543,315160.15,147872.07,1949989.468,286370.741,41701.168,4509.43
2014年,646939.885,8493.041,193255.684,1312294.763,82764.157,724197.412,139708.404,316755.738,172369.106,1959234.648,269642.043,46826.873,5222.191
