,出口总额(人民币),出口总额(美元),进出口差额(人民币),进出口差额(美元),进出口总额(人民币),进出口总额(美元),进口总额(人民币),进口总额(美元)
1978年,167.6,9750.0,-19.8,-1140.0,355.0,20640.0,187.4,10890.0
1979年,211.7,13660.0,-31.2,-2010.0,454.6,29330.0,242.9,15670.0
1980年,271.2,18119.0,-27.6,-1900.0,570.0,38140.0,298.8,20017.0
1981年,367.6,22010.0,-0.1,-10.0,735.3,44030.0,367.7,22020.0
1982年,413.8,22320.0,56.3,3030.0,771.3,41610.0,357.5,19290.0
1983年,438.3,22230.0,16.5,840.0,860.1,43620.0,421.8,21390.0
1984年,580.5,26140.0,-40.0,-1270.0,1201.0,53550.0,620.5,27410.0
1985年,808.9,27350.0,-448.9,-14900.0,2066.7,69600.0,1257.8,42252.09
1986年,1082.1,30940.0,-416.2,-11970.0,2580.4,73850.0,1498.3,42910.0
1987年,1470.0,39440.0,-144.2,-3770.0,3084.2,82650.0,1614.2,43210.0
1988年,1766.7,47520.0,-288.4,-7750.0,3821.8,102790.0,2055.1,55270.0
1989年,1956.0,52540.0,-243.8,-6600.0,4155.9,111680.0,2199.9,59140.0
1990年,2985.8,62091.0,411.5,8740.0,5560.1,115440.0,2574.3,53345.0
1991年,3827.1,71910.0,428.4,8120.0,7225.8,135700.0,3398.7,63791.0
1992年,4676.3,84940.0,233.0,4350.0,9119.6,165530.0,4443.3,80585.0
1993年,5284.8,91744.0,-701.4,-12220.0,11271.0,195700.0,5986.2,103959.0
1994年,10421.8,121006.0,461.7,5400.0,20381.9,236620.0,9960.1,115614.0
1995年,12451.8,148780.0,1403.7,16700.0,23499.9,280860.0,11048.1,132084.0
1996年,12576.4,151048.0,1019.0,12220.0,24133.8,289880.0,11557.4,138833.0
1997年,15160.7,182792.0,3354.2,40420.0,26967.2,325160.0,11806.5,142370.0
1998年,15223.6,183709.0,3597.5,43470.0,26849.7,323950.0,11626.1,140237.0
1999年,16159.8,194931.0,2423.4,29230.0,29896.2,360630.0,13736.4,165699.0
2000年,20634.4,249203.0,1995.6,24110.0,39273.2,474290.0,18638.8,225094.0
2001年,22024.4,266098.0,1865.2,22550.0,42183.6,509650.0,20159.2,243553.0
2002年,26947.9,325596.0,2517.6,30430.0,51378.2,620770.0,24430.3,295170.0
2003年,36287.9,438228.0,2092.3,25468.0,70483.5,850988.0,34195.6,412760.0
2004年,49103.3,593326.0,2667.5,32090.0,95539.1,1154550.0,46435.8,561229.0
2005年,62648.1,761953.0,8374.4,102000.0,116921.8,1421910.0,54273.7,659953.0
2006年,77597.2,968978.0,14220.3,177520.0,140974.0,1760440.0,63376.8562972,791460.868
2007年,93563.6,1220456.0,20263.5,264344.0,166863.7,2176570.0,73300.1,956116.0
2008年,100394.941424,1430693.06608,20868.4126536,298123.0,179921.470194,2563255.22752,79526.5287703,1132567.0
2009年,82029.6939341,1201611.806,13411.3243597,195687.0,150648.063509,2207535.00242,68618.3695744,1005923.196
2010年,107022.842824,1577754.315,12323.5386684,181510.309,201722.14698,2973998.321,94699.304156,1396244.006
2011年,123240.595739,1898381.0,10079.1995244,154897.871539,236401.991954,3641860.0,113161.396215,1743483.5925
2012年,129359.25,2048714.419,14558.29,230309.0,244160.21,3867119.0,114800.96,1818405.003
2013年,137131.43426,2209003.999,16093.9761395,259014.530539,258168.892381,4158993.46707,121037.458121,1949989.468
2014年,143883.747,2342292.696,23525.719,383058.048,264241.7749,4301527.345,120358.028,1959234.648
