,中国同不丹进口总额,中国同东帝汶进口总额,中国同中华人民共和国进口总额,中国同中国台湾进口总额,中国同中国澳门进口总额,中国同中国香港进口总额,中国同乌兹别克斯坦进口总额,中国同也门共和国进口总额,中国同亚洲其他国家(地区)进口总额,中国同亚洲进口总额,中国同以色列进口总额,中国同伊拉克进口总额,中国同伊朗进口总额,中国同卡塔尔进口总额,中国同印度尼西亚进口总额,中国同印度进口总额,中国同叙利亚进口总额,中国同吉尔吉斯斯坦进口总额,中国同哈萨克斯坦进口总额,中国同土库曼斯坦进口总额,中国同土耳其进口总额,中国同塔吉克斯坦进口总额,中国同塞浦路斯进口总额,中国同孟加拉国进口总额,中国同尼泊尔进口总额,中国同巴勒斯坦进口总额,中国同巴基斯坦进口总额,中国同巴林进口总额,中国同文莱进口总额,中国同斯里兰卡进口总额,中国同新加坡进口总额,中国同日本进口总额,中国同朝鲜进口总额,中国同柬埔寨进口总额,中国同沙特阿拉伯进口总额,中国同泰国进口总额,中国同科威特进口总额,中国同约旦进口总额,中国同缅甸进口总额,中国同老挝进口总额,中国同菲律宾进口总额,中国同蒙古进口总额,中国同越南进口总额,中国同阿富汗进口总额,中国同阿曼进口总额,中国同阿联酋进口总额,中国同韩国进口总额,中国同马尔代夫进口总额,中国同马来西亚进口总额,中国同黎巴嫩进口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,1663105.0,12296.0,665802.0,3236.0,52366.0,,8717238.0,17103.0,5986.0,55832.0,4513.0,246086.0,90573.0,148.0,2569.0,43086.0,222.0,4278.0,819.0,62.0,2647.0,522.0,,38904.0,2733.0,1.0,579.0,423540.0,2827507.0,5731.0,4818.0,80359.0,241399.0,11985.0,2413.0,6205.0,790.0,51437.0,18075.0,21736.0,21.0,70646.0,16164.0,1501435.0,5.0,267385.0,25.0
1999年,,,,1952682.0,9695.0,689188.0,1295.0,55687.0,,10168079.0,19125.0,11612.0,68472.0,6326.0,305091.0,82577.0,499.0,3197.0,64440.0,202.0,4732.0,574.0,52.0,1425.0,834.0,,39000.0,3891.0,,918.0,406110.0,3376338.0,4171.0,5579.0,91160.0,278040.0,15113.0,3095.0,10168.0,956.0,90753.0,19427.0,35429.0,290.0,63537.0,18946.0,1722618.0,8.0,360559.0,8.0
2000年,,,,2549356.0,9499.0,942901.0,1203.0,73551.0,,14134188.0,33535.0,64764.0,177306.0,44096.0,440195.0,135348.0,9.0,6744.0,95821.0,406.0,12675.0,1038.0,57.0,1885.0,714.0,,49218.0,7210.0,6135.0,1285.0,505963.0,4150968.0,3721.0,5949.0,195352.0,438079.0,29885.0,5130.0,12482.0,642.0,167732.0,21207.0,92915.0,540.0,326177.0,41607.0,2320741.0,2.0,548000.0,41.0
2001年,2.0,,876769.0,2733945.0,11912.0,942295.0,762.0,45136.0,,14718251.0,48330.0,7302.0,242391.0,37705.0,388807.0,169997.0,1.0,4222.0,96065.0,122.0,23094.0,545.0,133.0,1670.0,463.0,5.0,58187.0,7768.0,14824.0,1014.0,514252.0,4279691.0,16673.0,3480.0,272108.0,471285.0,45023.0,4831.0,13419.0,746.0,194522.0,23950.0,101075.0,16.0,160958.0,44761.0,2338921.0,10.0,620521.0,259.0
2002年,2.0,,1498019.0,3806139.0,14227.0,1072624.0,2740.0,42587.0,10.0,19172745.0,51765.0,9624.0,234627.0,17401.0,450835.0,227387.0,1414.0,5572.0,135465.0,74.0,28879.0,589.0,76.0,3236.0,528.0,9.0,55750.0,5176.0,24181.0,1434.0,704656.0,5346600.0,27069.0,2455.0,343535.0,559960.0,46435.0,5327.0,13689.0,965.0,321716.0,22342.0,111589.0,8.0,144647.0,44536.0,2856801.0,,929630.0,420.0
2003年,0.5,0.0,2509430.0,4936038.0,18554.0,1111866.0,20025.0,154585.1,21.5,27289879.0,69040.0,32.5,330736.0,29307.8,574697.0,425138.0,2636.1,6914.1,171998.0,409.6,53267.0,1800.8,111.9,3338.8,535.0,23.0,57494.0,5213.0,31237.0,1980.0,1048485.0,7414813.0,39534.5,2600.1,517232.0,882684.0,51325.0,6054.0,16952.0,1120.2,630683.0,28395.0,145671.0,61.2,198575.4,77346.0,4312805.0,1.0,1398641.0,468.2
2004年,17.1,0.0,3865453.8,6475931.6,21587.9,1179672.2,40306.6,145854.8,0.0,36941949.2,94286.3,32025.0,449069.4,33425.9,721567.1,767803.0,2801.4,10954.6,228627.1,1388.9,59138.1,1536.6,169.3,5700.7,823.1,7.4,59474.9,9239.6,25105.5,2259.0,1399447.3,9432672.7,58566.1,2993.2,752264.5,1154050.5,76405.9,8848.9,20694.0,1265.4,905944.3,46106.8,248198.9,94.7,427848.7,130447.6,6223410.2,18.0,1817473.7,970.4
