,中国同图瓦卢出口总额,中国同土布艾群岛出口总额,中国同基里巴斯出口总额,中国同大洋洲其他国家(地区)出口总额,中国同大洋洲及太平洋群岛出口总额,中国同密克罗尼西亚联邦出口总额,中国同巴布亚新几内亚出口总额,中国同帕劳共和国出口总额,中国同库克群岛出口总额,中国同所罗门群岛出口总额,中国同斐济出口总额,中国同新喀里多尼亚出口总额,中国同新西兰出口总额,中国同汤加出口总额,中国同法属波利尼西亚出口总额,中国同澳大利亚出口总额,中国同瑙鲁出口总额,中国同瓦利斯和浮图纳出口总额,中国同瓦努阿图出口总额,中国同盖比群岛出口总额,中国同社会群岛出口总额,中国同萨摩亚出口总额,中国同诺福克岛出口总额,中国同马绍尔群岛共和国出口总额
2004年,224.4,0.0,87.3,1038.2,1017062.3,744.8,5252.4,43.3,82.6,332.0,3253.2,825.8,107736.6,627.8,758.4,883825.1,9.9,0.0,722.8,24.8,391.0,588.5,35.9,10457.7
2005年,635.0,0.0,141.0,1168.0,1288713.0,242.0,6659.0,68.0,44.0,508.0,4300.0,1515.0,135344.0,294.0,1566.0,1106150.0,3.0,0.0,780.0,1.0,572.0,594.0,26.0,28097.0
2006年,1088.1678,0.0,118.1138,1305.9,1600925.6746,287.6027,12639.6635,68.5732,82.1438,501.1979,6799.6961,1917.1069,161978.0716,374.0467,1888.5335,1362488.2168,0.0,0.0,1832.3867,13.0,472.7642,1295.1124,53.4737,45717.6226
2007年,663.8488,0.0,1668.8163,1016.2451,2110096.2636,917.1672,21259.2386,74.2677,113.2261,1017.8881,6368.3285,3075.6331,216016.76,732.1334,2680.0794,1798965.8537,4.0306,0.0,2094.4401,14.2718,358.0705,1154.831,175.1851,51721.6794
2008年,4625.0585,0.0,246.2178,737.303,2587811.7352,424.2473,34406.1296,305.7389,87.0316,1190.2154,9108.8445,5299.7699,250953.1087,796.5651,2695.1709,2224726.426,0.0,0.0,3464.3261,38.1398,391.6325,2525.4157,94.0399,45696.219
2009年,606.0,0.0,394.0,558.0,2492696.0,463.0,52756.0,130.0,704.0,1614.0,9655.0,5564.0,208533.0,800.0,2466.0,2064177.0,2.0,0.0,4744.0,16.0,323.0,3724.0,40.0,135426.0
2010年,841.7,0.0,1138.6,270.0,3301671.1,382.1,35249.6,196.5,374.1,2841.4,12763.6,40715.5,276449.5,975.4,3161.0,2722026.4,2.2,28.0,2260.4,35.4,329.4,7005.2,22.1,194602.9
2011年,1493.9184,5.5482,1307.6006,209.1695,4089432.4457,341.2766,45302.4358,119.3753,496.6332,3067.5932,17118.6371,13516.3238,373669.2808,1327.7397,3813.4984,3390993.7531,18.4639,56.3034,13385.9903,19.5909,345.1841,3781.5931,35.7568,219006.7095
2012年,14344.9,0.0,3398.3,0.0,4486756.5,407.9,64009.7,164.0,403.4,3668.1,21402.3,9665.3,386454.2,2016.0,4381.8,3772830.9,97.2,20.1,13361.2,4.0,396.4,7174.6,32.3,182320.0
2013年,753.4,0.0,1865.7,254.9,4461455.6,493.8,55307.0,318.6,1948.0,3680.2,24449.8,9034.1,413168.4,3848.0,4504.5,3755416.3,107.5,71.4,38048.3,13.4,427.9,5447.3,51.7,142245.4
2014年,464.4545,0.0,2062.0381,519.886,4657213.0442,934.1087,63645.7258,1045.6183,1942.0258,4944.1578,28725.4471,9075.384,473793.8735,2394.3302,4857.8521,3914595.036,275.1563,122.3866,18023.6368,5.8599,401.9052,5586.6588,105.6619,123691.8408
