,中国同丹麦出口总额,中国同乌克兰出口总额,中国同亚美尼亚出口总额,中国同俄罗斯出口总额,中国同保加利亚出口总额,中国同克罗地亚出口总额,中国同冰岛出口总额,中国同列支敦士登出口总额,中国同匈牙利出口总额,中国同卢森堡出口总额,中国同圣马力诺出口总额,中国同塞尔维亚出口总额,中国同奥地利出口总额,中国同安道尔出口总额,中国同希腊出口总额,中国同德国出口总额,中国同意大利出口总额,中国同拉脱维亚出口总额,中国同挪威出口总额,中国同捷克出口总额,中国同摩尔多瓦出口总额,中国同摩纳哥出口总额,中国同斯洛伐克出口总额,中国同斯洛文尼亚出口总额,中国同格鲁吉亚出口总额,中国同梵蒂冈城国出口总额,中国同欧洲出口总额,中国同比利时出口总额,中国同法国出口总额,中国同法罗群岛出口总额,中国同波兰出口总额,中国同波黑出口总额,中国同爱尔兰出口总额,中国同爱沙尼亚出口总额,中国同瑞典出口总额,中国同瑞士出口总额,中国同白俄罗斯出口总额,中国同直布罗陀出口总额,中国同立陶宛出口总额,中国同罗马尼亚出口总额,中国同芬兰出口总额,中国同英国出口总额,中国同荷兰出口总额,中国同葡萄牙出口总额,中国同西班牙出口总额,中国同阿塞拜疆出口总额,中国同阿尔巴尼亚出口总额,中国同马其顿出口总额,中国同马耳他出口总额,中国同黑山出口总额
1999年,61513.0,8100.0,1158.0,149729.0,5344.0,4754.0,669.0,,55063.0,3814.0,,,24718.0,,36787.0,777964.0,292949.0,1436.0,34282.0,28462.0,38.0,,2710.0,4791.0,223.0,,3548172.0,182248.0,292111.0,,70244.0,,21249.0,723.0,61004.0,67478.0,533.0,49.0,2653.0,14564.0,36448.0,488004.0,541295.0,21996.0,179593.0,99.0,,394.0,5074.0,
2000年,78202.0,13643.0,114.0,223335.0,8083.0,7996.0,1761.0,,89711.0,5360.0,,,30883.0,,57870.0,927779.0,380202.0,2630.0,48661.0,35407.0,20.0,,5562.0,5562.0,154.0,,4548156.0,230074.0,370516.0,,86041.0,,33628.0,6179.0,82808.0,74778.0,4111.0,1448.0,2901.0,19239.0,83679.0,631010.0,668722.0,26082.0,212421.0,219.0,,626.0,7617.0,
2001年,89860.0,24725.0,227.0,271116.0,8908.0,14210.0,3397.0,112.0,103088.0,3894.0,38.0,,35369.0,17.0,69382.0,975406.0,399259.0,4702.0,41124.0,52382.0,215.0,221.0,6138.0,7717.0,371.0,,4923942.0,252978.0,368565.0,,101641.0,,53025.0,26287.0,93162.0,65184.0,875.0,89.0,5888.0,25041.0,91021.0,678047.0,728195.0,26059.0,226186.0,1077.0,1611.0,1026.0,8028.0,
2002年,91698.0,52745.0,194.0,352074.0,9760.0,11265.0,1850.0,33.0,144883.0,5130.0,35.0,,48142.0,28.0,73185.0,1137185.0,482744.0,6751.0,52716.0,80733.0,169.0,314.0,9173.0,9544.0,800.0,,5827785.0,287585.0,407186.0,,116462.0,,77013.0,13716.0,91002.0,63782.0,1622.0,79.0,9823.0,36196.0,115364.0,805943.0,910756.0,30088.0,257805.0,9403.0,1869.0,1728.0,11564.0,
2003年,149433.7,92855.0,471.1,602993.0,16647.0,16915.4,4552.6,216.7,228629.0,31141.4,43.3,,67385.0,87.0,111360.0,1744211.0,665232.0,11062.2,89927.0,128159.0,671.7,1782.5,13707.0,15129.0,1990.0,,8816772.0,393370.0,729353.0,,162025.0,,139158.0,13967.7,145293.2,83959.0,3223.0,2115.0,17052.0,50554.0,167351.0,1082372.0,1350124.0,40626.0,389079.0,20349.0,3219.0,2413.0,12443.5,
2004年,194596.8,144329.2,1168.5,909811.6,33796.8,34451.5,4596.8,665.6,265096.3,91751.7,61.5,,78060.1,211.3,138033.0,2375573.2,922377.4,17899.7,102851.2,135108.2,2390.9,1432.5,15987.0,20689.9,2288.4,,12238619.5,585968.0,992138.9,,184372.3,1420.5,214022.3,20201.9,185858.7,150588.7,6494.6,75.2,27236.0,105695.6,249362.3,1496696.2,1851881.9,58825.9,547573.8,14373.6,6324.8,2640.9,27318.0,
2005年,278888.0,249252.0,2303.0,1321128.0,44164.0,57366.0,7470.0,922.0,249349.0,203960.0,162.0,,88307.0,323.0,193529.0,3252713.0,1168889.0,28170.0,132191.0,166741.0,5149.0,924.0,30836.0,26557.0,4076.0,0.0,16562821.0,773875.0,1163936.0,0.0,259544.0,1957.0,318434.0,31143.0,257650.0,194696.0,8128.0,66.0,36071.0,136926.0,362594.0,1897647.0,2587574.0,91195.0,843966.0,23365.0,8321.0,2150.0,30111.0,
2006年,364598.7868,372212.9093,3307.5578,1583248.703,178282.0,87838.8212,7766.4603,1095.3989,328729.4816,201594.1019,520.0475,,104867.563,88.4312,217886.5249,4031459.8128,1597198.2996,43940.377,170084.0947,236582.9535,3162.9023,901.6685,57728.3407,44644.2394,7835.6092,0.5,21536973.2667,990604.347,1391065.982,3.0,400617.4399,2407.6377,391824.8375,45603.2141,327785.8589,250948.0019,21579.8524,83.6507,55585.8862,608541.689,495843.0,2416320.9027,3086113.7796,135966.4205,1148882.3854,34667.1647,6605.5212,2824.2391,47505.7149,
2007年,458985.3045,586580.5643,5143.1694,2846619.8135,81265.1441,151525.5448,9231.5275,993.7475,501495.5349,205296.7316,140.7618,35440.7225,155203.3094,71.0117,325296.7176,4871428.762,2116961.363,68454.3147,220011.6414,413477.7262,4998.7291,773.1006,147060.4859,69292.9572,17674.148,24.2699,28784856.0,1267937.7982,2032739.2176,61.6586,655292.8491,5392.4953,443835.2827,58464.6555,454885.1145,360045.7741,22722.057,99.5625,80214.0464,208423.282,656416.8985,3165626.7179,4141783.4971,182631.9918,1652846.3448,47511.5038,8854.0967,7533.8128,32747.7356,5342.3199
2008年,556830.0089,756628.3427,6921.2461,3307584.9922,112484.4722,174198.8454,9313.7386,863.631,609685.2444,355449.2373,193.2757,49252.0004,176995.7801,116.7665,407458.571,5920895.116,2662878.8111,84897.9999,256112.8653,549748.2854,7126.8032,1533.7801,196604.0236,96420.5569,29288.6424,41.7556,34342205.2118,1487130.1308,2330591.9633,128.6841,904036.759,7282.9871,432416.8589,58813.016,511628.3777,390935.2912,36136.2946,2328.1008,105997.8297,288991.9681,734953.0755,3607273.9431,4591858.0557,231710.2263,2079868.3775,68609.8458,19610.5777,7072.1048,106646.4244,8659.5277
2009年,422496.0,360368.0,8744.0,1751858.0,59607.0,111863.0,5422.0,618.0,534327.0,304999.0,98.0,30835.0,142810.0,250.0,345791.0,4991638.0,2024319.0,45231.0,267558.0,502402.0,7257.0,915.0,139906.0,77002.0,19193.0,,26465129.0,1087227.0,2146006.0,28.0,748697.0,3566.0,197934.0,36254.0,415659.0,265783.0,28038.0,14099.0,65570.0,237737.0,452605.0,3127794.0,3668391.0,192294.0,1406304.0,55342.0,20720.0,5601.0,126281.0,7693.0
2010年,518470.2,556383.1,11713.0,2961207.4,66090.6,134373.1,7100.8,772.4,651831.4,98746.3,550.8,34501.6,185433.3,337.2,395889.3,6804717.8,3113944.4,79416.0,283632.1,712151.7,8052.3,1446.5,195847.7,138556.0,27493.2,,35518797.0,1430210.5,2765138.6,146.6,943830.7,3758.9,199205.7,67673.8,570886.0,303115.2,79561.0,584.6,98234.1,300446.2,549894.4,3876704.4,4970423.4,251331.8,1817571.7,84615.6,19927.8,5278.3,184491.0,7108.3
2011年,644659.4335,714707.5079,13572.2781,3890351.5146,100561.5637,154092.8563,7658.0759,1332.4438,680602.156,159505.121,183.0854,39635.3094,222681.8752,561.8994,394936.8486,7640004.5668,3369280.6199,119294.6688,378587.1813,766940.713,9749.0563,2272.5076,251259.9983,167537.1443,76106.9088,,41357107.9009,1897360.6576,2999885.1378,40.6161,1093954.8803,4143.4916,216608.5233,113085.4729,656686.0208,370022.7556,70513.4767,2875.1966,133510.1769,345377.5011,664036.734,4412166.0773,5949949.4794,280143.3742,1972125.0151,89261.8568,28148.2764,9181.0658,232958.5938,8998.1869
2012年,653974.4,732326.8,11320.4,4405595.6,105457.4,129983.0,9538.8,1523.9,573797.3,195619.5,148.5,41287.6,204022.7,2684.6,359316.6,6921033.3,2565343.2,131270.9,301971.4,632304.4,12394.2,8249.6,242303.2,156664.1,74015.8,2.7,39639909.1,1637658.5,2689921.2,128.0,1238645.7,4671.2,209834.5,123354.2,641528.1,349223.6,91981.7,11458.5,163042.5,279717.8,744055.3,4629715.6,5889680.2,250069.4,1823707.1,106982.8,34390.5,8875.0,224541.9,14576.1
2013年,571139.7,784922.5,11985.0,4959117.2,111698.4,138994.3,14664.2,1773.4,569228.0,180783.4,199.5,43191.2,203752.7,224.4,321897.6,6734250.0,2575266.0,137426.7,273711.5,683779.5,11262.9,2879.7,308443.7,183281.2,86209.2,,40574398.4,1556017.8,2671416.8,144.5,1257487.5,9132.8,247716.7,110982.0,679906.1,351131.0,87216.0,4158.1,168617.8,282253.7,583152.4,5094212.8,6031475.2,250686.4,1892849.8,86856.8,32459.6,6347.6,251456.6,8638.3
2014年,654783.1618,510622.8655,12280.9063,5367694.4136,117806.2014,102732.5028,14375.9371,2138.341,576416.5984,194875.3872,283.0014,42456.3062,239621.2239,220.3821,418560.7495,7270304.8969,2875639.7409,131669.9354,273144.2111,799289.9362,11520.4983,1289.0882,282849.5793,199194.1939,90867.6,0.258,43882482.0046,1721640.5105,2870207.6131,187.8726,1425679.8574,28398.4316,280168.2298,114609.7776,716760.1148,308847.9502,111059.4383,827.9815,165829.0764,322317.7591,509898.034,5714113.5496,6492851.5588,313707.3216,2149727.8898,64525.2818,37826.975,7666.3641,319285.8677,15706.6329
