,中国同加拿大出口总额,中国同北美洲其他国家(地区)出口总额,中国同北美洲出口总额,中国同格陵兰出口总额,中国同百慕大群岛出口总额,中国同美国出口总额
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,212687.0,,4007540.0,,,3794767.0
1999年,243296.0,,4438907.0,,,4194691.0
2000年,315784.0,,5527351.0,,,5209922.0
2001年,334609.0,63.0,5764093.0,43.0,1109.0,5428269.0
2002年,430346.0,27.0,7426926.0,14.0,1959.0,6994579.0
2003年,563218.0,5.4,9813121.0,56.9,3163.4,9246677.0
2004年,816117.9,12.6,13323048.3,45.2,12669.8,12494202.8
2005年,1165367.0,8.0,17466840.0,167.0,12223.0,16289075.0
2006年,1551671.9007,41.5948,21911386.2006,49.4525,14781.7445,20344841.5081
2007年,1935568.5428,29.8906,25211508.7961,55.923,8199.2233,23267655.2164
2008年,2179587.6535,5.1322,27427243.2853,141.0344,9154.0068,25238355.4584
2009年,1767458.0,25.0,23855383.0,34.0,7643.0,22080222.0
2010年,2221613.4,13.6,30584270.7,51.6,33936.8,28328655.2
2011年,2526610.281,5.1275,35007506.4384,53.5288,35501.601,32445335.9001
2012年,2812479.6,,38011009.5,44.7,20775.7,35177679.2
2013年,2921668.8,188.4,39781517.5,16.3,19003.5,36840640.4
2014年,3000367.8663,99.1647,42625672.5735,77.758,18872.7506,39606255.0339
