,中外合作经营餐饮业企业年末从业人数,中外合资经营餐饮业企业年末从业人数,其他外商投资餐饮业企业年末从业人数,其他有限责任公司餐饮业企业年末从业人数,其他港澳台商投资餐饮业企业年末从业人数,其他联营餐饮业企业年末从业人数,其他餐饮业企业年末从业人数,其他餐饮服务业年末从业人数,内资餐饮业企业年末从业人数,国有与集体联营餐饮业企业年末从业人数,国有独资公司餐饮业企业年末从业人数,国有联营餐饮业企业年末从业人数,国有餐饮业企业年末从业人数,外商投资股份有限公司餐饮业企业年末从业人数,外商投资餐饮业企业年末从业人数,外资餐饮业企业年末从业人数,快餐服务业年末从业人数,有限责任公司餐饮业企业年末从业人数,正餐服务业年末从业人数,港、澳、台商合作经营餐饮业企业年末从业人数,港、澳、台商合资经营餐饮业企业年末从业人数,港、澳、台商投资股份有限公司餐饮业企业年末从业人数,港、澳、台商投资餐饮业企业年末从业人数,港、澳、台商独资经营餐饮业企业年末从业人数,私营合伙餐饮业企业年末从业人数,私营有限责任公司餐饮业企业年末从业人数,私营独资餐饮业企业年末从业人数,私营股份有限公司餐饮业企业年末从业人数,私营餐饮业企业年末从业人数,联营餐饮业企业年末从业人数,股份合作餐饮业企业年末从业人数,股份有限公司餐饮业企业年末从业人数,集体联营餐饮业企业年末从业人数,集体餐饮业企业年末从业人数,餐饮业企业年末从业人数,饮料及冷饮服务业年末从业人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350650,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7100962,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7753108,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660850,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664749,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779370,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978043,0
2003年,23607,56344,0,165483,0,1861,6982,0,871863,466,2966,2883,192960,869,130775,49955,0,168449,0,33993,58216,2454,130095,35432,20802,218854,89203,17094,345953,6545,30555,46747,1335,73672,1132733,0
2004年,41200,71888,0,209942,0,2293,12007,27816,1072701,617,2304,3425,97670,1979,186486,71419,167390,212246,1137434,15304,38009,174,80058,26571,34052,431242,123936,39181,628411,7101,30061,41849,766,43356,1339245,6605
2005年,29143,72832,0,194442,0,1871,16890,0,1015102,438,3299,994,83386,2767,241591,136849,0,197741,0,11325,37711,667,87570,37867,33203,420065,120259,33245,606772,4299,27211,39940,996,38863,1344263,0
2006年,34970,84838,0,221536,0,2114,23772,0,1159526,203,2803,1267,76252,1796,255824,134220,0,224339,0,8773,24570,439,74052,40270,36512,496948,158435,36006,727901,4380,26958,41794,796,34130,1489402,0
2007年,27596,91519,0,249416,0,2280,34245,0,1303912,84,2598,1217,72887,1797,290831,169919,0,252014,0,6683,28140,1244,78818,42751,39851,543842,217059,39175,839927,4328,21754,45539,747,33218,1673561,0
2008年,14528,58948,0,297120,0,1668,50653,56267,1597048,43,2146,273,66019,7500,283162,202186,295912,299266,1638438,6624,28411,17318,121489,69136,53439,644898,322469,50944,1071750,2457,21745,56312,473,28846,2001699,11082
2009年,14089,58797,0,321139,0,1394,40994,64641,1597952,145,1730,0,68047,8410,285063,203767,317892,322869,1612177,7629,27385,21235,123041,66792,51423,674556,276004,56107,1058090,1850,20683,56242,311,29177,2006056,11346
2010年,9724,79473,0,365087,0,1288,47189,75679,1722385,116,3467,152,68472,8389,341279,243693,364676,368554,1748292,8300,50002,3416,139324,77606,52086,724060,272628,74899,1123673,1979,21216,64985,423,26317,2202988,14341
2011年,6217,97028,767,421519,156,1196,89172,77674,1737628,83,7728,96,70681,3059,381271,274200,438324,429247,1745282,7310,53553,4000,159081,94062,41897,730054,212538,51827,1036316,2005,17901,70143,630,22163,2277980,16700
2012年,6069,86732,664,488288,213,966,96214,67128,1876851,0,8626,55,70715,2807,388723,292451,440396,496914,1896449,8527,50374,1000,171514,111400,34841,802198,216440,50457,1103936,1881,16408,70021,860,20762,2437088,33115
2013年,5967,82752,609,562036,178,0,33067,81504,1903042,0,16914,0,47052,2451,391425,299646,445029,578950,1904408,8660,44069,812,173226,119507,26439,895895,177549,52646,1152529,667,9440,67518,667,13819,2467693,36752
2014年,5215,81626,690,547301,217,0,28344,81030,1787563,0,19111,0,40290,2276,367832,278025,437370,566412,1783495,7384,43931,1153,190079,137394,22169,858037,146986,45462,1072654,578,8284,59740,578,11261,2345474,43579
