,农学普通本科毕业生数,医学普通本科毕业生数,历史学普通本科毕业生数,哲学普通本科毕业生数,外语普通本科毕业生数,工学普通本科毕业生数,师范普通本科毕业生数,教育学普通本科毕业生数,文学普通本科毕业生数,普通本科毕业生数,法学普通本科毕业生数,理学普通本科毕业生数,管理学普通本科毕业生数,经济学普通本科毕业生数,艺术普通本科毕业生数
1978年,,,,,,,3.54,,,,,,,,0.11
1979年,,,,,,,2.43,,,,,,,,0.04
1980年,,,,,,,6.19,,,,,,,,0.06
1981年,,,,,,,10.34,,,,,,,,0.03
1982年,,,,,,,12.95,,,,,,,,0.33
1983年,,,,,,,9.01,,,,,,,,0.13
1984年,,,,,,,8.48,,,,,,,,0.13
1985年,,,,,,,9.41,,,,,,,,0.16
1986年,,,,,,,11.74,,,,,,,,0.25
1987年,,,,,,,16.34,,,,,,,,0.43
1988年,,,,,,,17.91,,,,,,,,0.4
1989年,,,,,,,18.24,,,,,,,,0.44
1990年,,,,,,,19.09,,,,,,,,0.52
1991年,,,,,,,18.66,,,,,,,,0.59
1992年,,,,,,,17.93,,,,,,,,0.52
1993年,,,,,,,17.07,,,,,,,,0.53
1994年,2.79,4.71,1.68,0.21,,22.89,,3.52,9.29,,1.77,8.78,,8.1,
1995年,3.3,5.57,1.81,0.21,,29.58,,4.19,11.6,,2.32,10.06,,11.9,
1996年,3.3,6.14,1.64,0.2,,31.5,,4.06,12.01,,2.59,9.73,,12.7,
1997年,3.02,6.12,1.46,0.12,,31.44,,3.96,11.61,,2.83,9.05,,13.3,
1998年,1.6525,3.3027,0.5808,0.078,,18.189,,1.4611,3.8885,40.4666,1.4832,4.0213,,5.8095,
1999年,1.7453,3.509,0.6097,0.0852,,19.5354,,1.5479,4.4285,44.0935,1.6363,4.2351,,6.7611,
2000年,1.9154,3.7045,0.6755,0.0775,,21.2905,,1.7939,5.3826,49.5624,1.9806,4.9214,,7.8205,
2001年,1.9005,4.1468,0.6101,0.0873,,21.9563,,1.7965,6.2956,56.7839,3.0326,6.3517,7.0798,3.5267,
2002年,2.2462,4.732,0.7022,0.0858,,25.2024,,2.2885,7.771,65.5763,3.6332,7.2526,7.9107,3.7517,
2003年,2.9758,5.5927,0.8791,0.1127,,35.1537,,3.0977,12.6087,92.9598,5.2756,10.3409,12.0351,4.8878,
2004年,3.4078,8.1098,1.0176,0.1239,,44.2463,,4.0164,16.8738,119.629,6.3334,13.4164,15.9078,6.1758,
2005年,3.5419,9.6011,1.0694,0.1275,,51.7225,,5.0342,22.6903,146.5786,7.614,16.3076,20.7991,8.071,
2006年,3.674,10.721,1.0605,0.1417,,57.5634,,6.174,28.3404,172.6674,9.1596,19.4807,25.8856,10.4665,
2007年,,,,,,,,,,199.5944,,,,,
2008年,4.5649,13.9105,1.2732,0.161,14.9693,70.4604,30.3253,8.0937,40.6946,225.6783,11.61,25.161,35.6015,14.1475,14.1806
2009年,4.6847,15.2392,1.3544,0.1652,16.1021,76.3635,29.563,8.6705,45.8761,245.5359,11.7182,26.4494,39.9481,15.0666,17.2719
2010年,4.8442,16.2401,1.3713,0.1952,17.2377,81.3218,29.3421,9.0327,48.752,259.0535,11.4588,26.9053,43.1035,15.8286,18.6888
2011年,5.1148,16.8582,1.4309,0.2167,18.5771,88.4542,30.299,9.514,53.7958,279.6229,11.7923,27.9101,47.2776,17.2583,21.6458
2012年,5.3789,17.8085,1.5588,0.2038,20.1115,96.4583,32.8571,10.3884,58.8198,303.8473,12.1634,29.406,52.8357,18.8257,24.0957
2013年,5.8752,19.2344,1.5773,0.2034,20.0312,105.8768,34.2076,10.4691,35.5662,319.9716,12.2676,24.879,57.5152,19.353,27.1544
2014年,5.9796,20.9748,1.6866,0.1943,20.0266,113.2226,36.4225,11.2424,36.2972,341.3787,12.98,25.5304,63.3878,20.6239,29.2591
