,人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查),住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查),住本乡、镇、街道，户口待定人口数(人口抽样调查),住本乡、镇、街道，户口待定女性人口数(人口抽样调查),住本乡、镇、街道，户口待定男性人口数(人口抽样调查),女性人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查),居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查),男性人口数(人口抽样调查)
1978年,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,
2002年,1258951.0,,,,1144930.0,560247.0,584684.0,6022.0,3043.0,2979.0,616197.0,,,,642754.0
2003年,1260498.0,,,,1148379.0,561770.0,586608.0,6262.0,3109.0,3153.0,617098.0,,,,643400.0
2004年,1253065.0,,,,1143642.0,561340.0,582302.0,6467.0,3211.0,3257.0,615898.0,,,,637167.0
2005年,16985766.0,1945894.0,962370.0,983525.0,14956470.0,7396636.0,7559833.0,82374.0,41469.0,40905.0,8400884.0,1029.0,410.0,619.0,8584882.0
2006年,1192666.0,,,,1070090.0,527076.0,543014.0,5886.0,2963.0,2924.0,588363.0,,,,604303.0
2007年,1188739.0,,,,1074440.0,528887.0,545553.0,5714.0,2819.0,2895.0,585999.0,,,,602740.0
2008年,1178521.0,,,,1068230.0,525870.0,542359.0,4999.0,2398.0,2601.0,580182.0,,,,598339.0
2009年,1164986.0,100674.0,50347.0,50327.0,1056995.0,519141.0,537854.0,7317.0,3627.0,3691.0,573115.0,,,,591871.0
2010年,,,,,,,,,,,,,,,
2011年,1145209.0,223697.0,106365.0,117332.0,909392.0,445830.0,463562.0,10164.0,5084.0,5080.0,558170.0,1956.0,892.0,1064.0,587039.0
2012年,1124661.0,215952.0,102315.0,113637.0,898059.0,440803.0,457256.0,8969.0,4393.0,4576.0,548307.0,1682.0,796.0,886.0,576354.0
2013年,1118433.0,211539.0,102593.0,108946.0,897422.0,437710.0,459713.0,7797.0,3939.0,3857.0,545005.0,1675.0,763.0,911.0,573428.0
2014年,1124402.0,213720.0,104113.0,109607.0,902244.0,440110.0,462133.0,6712.0,3386.0,3327.0,548391.0,1726.0,782.0,944.0,576011.0
