,事务所资质从业人数,事务所资质高、中级职称人员数,公路工程从业人数,公路工程高、中级职称人员数,农林工程从业人数,农林工程高、中级职称人员数,冶炼工程从业人数,冶炼工程高、中级职称人员数,化工、石油工程从业人数,化工、石油工程高、中级职称人员数,市政公用工程从业人数,市政公用工程高、中级职称人员数,建设工程监理企业从业人数,建设工程监理企业高、中级职称人员数,房屋建筑工程从业人数,房屋建筑工程高、中级职称人员数,机电安装工程从业人数,机电安装工程高、中级职称人员数,水利水电工程从业人数,水利水电工程高、中级职称人员数,港口与航道工程从业人数,港口与航道工程高、中级职称人员数,电力工程从业人数,电力工程高、中级职称人员数,矿山工程从业人数,矿山工程高、中级职称人员数,综合资质从业人数,综合资质高、中级职称人员数,航天航空工程从业人数,航天航空工程高、中级职称人员数,通信工程从业人数,通信工程高、中级职称人员数,铁路工程从业人数,铁路工程高、中级职称人员数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
