,人民检察院直接立案侦查其他渎职案件大案立案件数,人民检察院直接立案侦查其他渎职案件立案件数,人民检察院直接立案侦查其他贪污贿赂案件大案立案件数,人民检察院直接立案侦查其他贪污贿赂案件立案件数,人民检察院直接立案侦查巨额财产来源不明案件大案立案件数,人民检察院直接立案侦查巨额财产来源不明案件立案件数,人民检察院直接立案侦查徇私舞弊案件大案立案件数,人民检察院直接立案侦查徇私舞弊案件立案件数,人民检察院直接立案侦查挪用公款案件大案立案件数,人民检察院直接立案侦查挪用公款案件立案件数,人民检察院直接立案侦查案件大案立案件数,人民检察院直接立案侦查案件立案件数,人民检察院直接立案侦查渎职案件大案立案件数,人民检察院直接立案侦查渎职案件立案件数,人民检察院直接立案侦查滥用职权案件大案立案件数,人民检察院直接立案侦查滥用职权案件立案件数,人民检察院直接立案侦查玩忽职守案件大案立案件数,人民检察院直接立案侦查玩忽职守案件立案件数,人民检察院直接立案侦查贪污案件大案立案件数,人民检察院直接立案侦查贪污案件立案件数,人民检察院直接立案侦查贪污贿赂案件大案立案件数,人民检察院直接立案侦查贪污贿赂案件立案件数,人民检察院直接立案侦查贿赂案件大案立案件数,人民检察院直接立案侦查贿赂案件立案件数,人民检察院直接立案侦查集体私分案件大案立案件数,人民检察院直接立案侦查集体私分案件立案件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,1526,229,608,19,20,0,1288,3885,8283,9715,35084,0,4414,0,376,0,1224,3657,12909,9715,30670,1847,8759,78,91
1999年,0,1594,14,65,15,28,0,1247,5244,10056,13059,38382,0,5471,0,779,0,1851,5173,14372,13059,32911,2552,8192,61,198
2000年,277,1894,11,69,23,30,318,1791,5623,10170,18284,45113,2163,7930,524,1620,1044,2625,6736,16765,16121,37183,3658,9872,70,277
2001年,2229,1718,100,89,27,25,2323,2052,10095,9283,50292,45266,10097,8819,2392,2168,3153,2881,18718,16362,40195,36447,10785,10347,470,341
2002年,229,1682,16,64,33,33,319,1963,4348,7740,18740,43258,1914,8542,540,2177,826,2720,7199,15785,16826,34716,4871,10725,359,369
2003年,0,1506,0,34,0,32,0,1509,0,6754,0,39562,0,7609,0,2049,0,2545,0,14161,0,31953,0,10553,0,419
2004年,0,1431,0,20,0,38,0,1273,0,6162,0,37786,0,7238,0,1944,0,2590,0,13308,0,30548,0,10572,0,448
2005年,0,1220,0,18,0,24,0,955,0,5636,0,35028,0,6706,0,1883,0,2648,0,11792,0,28322,0,10446,0,406
2006年,0,957,0,15,0,39,0,892,0,4703,0,33668,0,6549,0,1975,0,2725,0,10337,0,27119,0,11702,0,323
2007年,0,1057,0,11,0,19,0,839,0,4285,0,33651,0,6871,0,2017,0,2958,0,9956,0,26780,0,12226,0,283
2008年,269,749,0,7,0,23,306,891,2876,3958,20805,33546,3211,7240,1120,2371,1516,3229,5913,9605,17594,26306,8805,12471,0,242
2009年,267,744,0,1,0,21,283,809,2586,3412,21366,32439,3175,7031,1168,2262,1457,3216,5730,8865,18191,25408,9875,12897,0,212
2010年,307,748,0,7,0,15,255,736,2083,2833,21732,32909,3508,7349,1352,2408,1594,3457,5555,8707,18224,25560,10586,13796,0,202
2011年,220,529,0,3,0,16,305,718,2029,2607,22131,32567,3667,7355,1404,2493,1738,3615,5508,8475,18464,25212,10927,13915,0,196
2012年,186,515,0,0,0,15,323,792,2087,2607,24626,34326,4184,8079,1817,2960,1858,3812,6029,8499,20442,26247,12326,14946,0,180
