,农村传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村其他疾病死亡人数占总死亡人数的比重,"农村内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村呼吸系统疾病死亡人数占总死亡人数的比重,农村呼吸道结核死亡人数占总死亡人数的比重,农村围生期疾病死亡人数占总死亡人数的比重,农村女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村女性其他疾病死亡人数占总死亡人数的比重,"农村女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村女性呼吸系统疾病死亡人数占总死亡人数的比重,农村女性呼吸道结核死亡人数占总死亡人数的比重,农村女性围生期疾病死亡人数占总死亡人数的比重,"农村女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村女性寄生虫病死亡人数占总死亡人数的比重,农村女性心脏病死亡人数占总死亡人数的比重,农村女性恶性肿瘤死亡人数占总死亡人数的比重,农村女性损伤和中毒外部原因死亡人数占总死亡人数的比重,农村女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村女性消化系统疾病死亡人数占总死亡人数的比重,农村女性神经系统疾病死亡人数占总死亡人数的比重,农村女性精神障碍死亡人数占总死亡人数的比重,农村女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村女性脑血管病死亡人数占总死亡人数的比重,"农村女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村女性诊断不明死亡人数占总死亡人数的比重,"农村妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",农村寄生虫病死亡人数占总死亡人数的比重,农村心脏病死亡人数占总死亡人数的比重,农村恶性肿瘤死亡人数占总死亡人数的比重,农村损伤和中毒外部原因死亡人数占总死亡人数的比重,农村泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村消化系统疾病死亡人数占总死亡人数的比重,农村男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"农村男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",农村男性其他疾病死亡人数占总死亡人数的比重,"农村男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",农村男性呼吸系统疾病死亡人数占总死亡人数的比重,农村男性呼吸道结核死亡人数占总死亡人数的比重,农村男性围生期疾病死亡人数占总死亡人数的比重,农村男性寄生虫病死亡人数占总死亡人数的比重,农村男性心脏病死亡人数占总死亡人数的比重,农村男性恶性肿瘤死亡人数占总死亡人数的比重,农村男性损伤和中毒外部原因死亡人数占总死亡人数的比重,农村男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,农村男性消化系统疾病死亡人数占总死亡人数的比重,农村男性神经系统疾病死亡人数占总死亡人数的比重,农村男性精神障碍死亡人数占总死亡人数的比重,农村男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村男性脑血管病死亡人数占总死亡人数的比重,"农村男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村男性诊断不明死亡人数占总死亡人数的比重,农村神经系统疾病死亡人数占总死亡人数的比重,农村精神障碍死亡人数占总死亡人数的比重,农村肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,农村脑血管病死亡人数占总死亡人数的比重,"农村血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",农村诊断不明死亡人数占总死亡人数的比重
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,5.03,20.83,,,,,,,12.58,,,,,15.57,16.7,10.37,1.19,4.81,,,,23.94,,,,,13.07,14.19,10.37,1.18,,,,,3.25,18.51,,,,11.2,,10.27,,5.19,,,,,,,,,,14.83,,
1988年,,,,5.45,25.7,,,,,,,13.11,,,,,12.49,16.73,10.64,1.19,4.97,,,,26.87,,,,,11.41,15.04,11.56,1.27,,,,,3.51,24.69,,,,10.97,,12.36,,5.86,,,,,,,,,,16.07,,
1989年,,,,5.15,24.95,,,,,,,12.57,,,,,13.34,16.24,10.93,1.22,4.75,,,,26.67,,,,,12.07,15.33,11.58,1.32,,,,,3.23,23.5,,,,11.01,,12.11,,5.49,,,,,,,,,,15.53,,
1990年,,,,5.01,24.82,,,,,,,13.96,,,,,12.15,17.39,9.9,1.44,4.61,,,,26.43,,,,,10.82,17.47,10.65,1.48,,,,,2.22,23.47,,,,9.7,,11.27,,5.34,,,,,,,,,,16.16,,
1991年,,,,5.34,24.95,,,,,,,13.0,,,,,11.86,16.21,11.35,1.31,5.05,,,,26.68,,,,,10.71,16.11,12.04,1.41,,,,,2.7,23.52,,,,9.76,,12.62,,5.59,,,,,,,,,,15.49,,
1992年,,,,4.82,26.57,,,,,,,14.1,,,,,11.24,16.38,9.88,1.17,4.37,,,,27.79,,,,,10.21,16.19,10.88,1.28,,,,,2.45,25.13,,,,8.98,,12.06,,5.36,,,,,,,,,,16.38,,
1993年,,,,4.98,26.5,,,,,,,13.37,,,,,11.33,16.53,10.33,1.26,4.41,,,,28.4,,,,,10.04,16.35,11.45,1.34,,,,,2.23,24.94,,,,8.99,,12.37,,5.45,,,,,,,,,,15.71,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
