,5岁以下儿童死亡率,农村5岁以下儿童死亡率,农村婴儿死亡率,农村孕产妇死亡率,农村新生儿死亡率,城市5岁以下儿童死亡率,城市婴儿死亡率,城市孕产妇死亡率,城市新生儿死亡率,婴儿死亡率,孕产妇死亡率,新生儿死亡率
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,61.0,71.1,58.0,100.0,37.9,20.9,17.3,46.3,12.5,50.2,80.0,33.1
1992年,57.4,65.6,53.2,97.9,36.8,20.7,18.4,42.7,13.9,46.7,76.5,32.5
1993年,53.1,61.6,50.0,85.1,35.4,18.3,15.9,38.5,12.9,43.6,67.3,31.2
1994年,49.6,56.9,45.6,77.5,32.3,18.0,15.5,44.1,12.2,39.9,64.8,28.5
1995年,44.5,51.1,41.6,76.0,31.1,16.4,14.2,39.2,10.6,36.4,61.9,27.3
1996年,45.0,51.4,40.9,86.4,26.7,16.9,14.8,29.2,12.2,36.0,63.9,24.0
1997年,42.3,48.5,37.7,80.4,27.5,15.5,13.1,38.3,10.3,33.1,63.6,24.2
1998年,42.0,47.9,37.7,74.1,25.1,16.2,13.5,28.6,10.0,33.2,56.2,22.3
1999年,41.4,47.7,38.2,79.7,25.1,14.3,11.9,26.2,9.5,33.3,58.7,22.2
2000年,39.7,45.7,37.0,69.6,25.8,13.8,11.8,29.3,9.5,32.2,53.0,22.8
2001年,35.9,40.4,33.8,61.9,23.9,16.3,13.6,33.1,10.6,30.0,50.2,21.4
2002年,34.9,39.6,33.1,58.2,23.2,14.6,12.2,22.3,9.7,29.2,43.2,20.7
2003年,29.9,33.4,28.7,65.4,20.1,14.8,11.3,27.6,8.9,25.5,51.3,18.0
2004年,25.0,28.5,24.5,63.0,17.3,12.0,10.1,26.1,8.4,21.5,48.3,15.4
2005年,22.5,25.7,21.6,53.8,14.7,10.7,9.1,25.0,7.5,19.0,47.7,13.2
2006年,20.6,23.6,19.7,45.5,13.4,9.6,8.0,24.8,6.8,17.2,41.1,12.0
2007年,18.1,21.8,18.6,41.3,12.8,9.0,7.7,25.2,5.5,15.3,36.6,10.7
2008年,18.5,22.7,18.4,36.1,12.3,7.9,6.5,29.2,5.0,14.9,34.2,10.2
2009年,17.2,21.1,17.0,34.0,10.8,7.6,6.2,26.6,4.5,13.8,31.9,9.0
2010年,16.4,20.1,16.1,30.1,10.0,7.3,5.8,29.7,4.1,13.1,30.0,8.3
2011年,15.6,19.1,14.7,26.5,9.4,7.1,5.8,25.2,4.0,12.1,26.1,7.8
2012年,13.2,16.2,12.4,25.6,8.1,5.9,5.2,22.2,3.9,10.3,24.5,6.9
2013年,12.0,14.5,11.3,23.6,7.3,6.0,5.2,22.4,3.7,9.5,23.2,6.3
2014年,11.7,14.2,10.7,22.2,6.9,5.9,4.8,20.5,3.5,8.9,21.7,5.9
