,乡卫生院设点的村卫生室个数,其他办的村卫生室个数,村办的村卫生室个数,村卫生室个数,私人办的村卫生室个数,联合办的村卫生室个数,设卫生室的村数占行政村数%
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,29769.0,29661.0,305537.0,777674.0,323904.0,88803.0,87.4
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,29963.0,38863.0,266137.0,803956.0,381844.0,87149.0,86.2
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,36388.0,,297462.0,804352.0,354981.0,90681.0,88.9
1996年,,,,755565.0,,,
1997年,,,,733624.0,,,
1998年,,,,728788.0,,,
1999年,,,,716677.0,,,
2000年,47101.0,16486.0,300864.0,709458.0,255179.0,89828.0,89.8
2001年,,,,698966.0,,,
2002年,,,,698966.0,,,
2003年,,,,514920.0,,,
2004年,,,,551600.0,,,
2005年,32396.0,18216.0,313633.0,583209.0,180403.0,38561.0,85.81
2006年,34803.0,17206.0,333790.0,609128.0,186524.0,36805.0,88.1
2007年,33633.0,19650.0,340082.0,613855.0,186841.0,33649.0,88.7
2008年,40248.0,18348.0,342692.0,613143.0,180157.0,31698.0,89.4
2009年,45434.0,22087.0,350515.0,632770.0,183699.0,31035.0,90.38
2010年,49678.0,23863.0,365153.0,648424.0,177080.0,32650.0,92.3
2011年,56128.0,24719.0,372661.0,662894.0,175747.0,33639.0,93.4
2012年,58317.0,25700.0,370099.0,653419.0,167025.0,32278.0,93.25
2013年,59896.0,25643.0,371579.0,648619.0,158811.0,32690.0,93.0
2014年,59396.0,46917.0,349428.0,645470.0,160549.0,29180.0,93.2669002188
