,专业公共卫生机构床位数,专科医院床位数,专科疾病防治院(所、站)床位数,中医医院床位数,乡镇卫生院床位数,医院床位数,卫生机构床位数,基层医疗卫生机构床位数,妇幼保健院(所、站)床位数,社区卫生服务中心(站)床位数,综合医院床位数
1978年,,12.1,2.63,3.4,74.73,110.0,204.17,,1.16,,87.33
1979年,,,,,,,212.8,,,,
1980年,,12.87,2.73,5.0,77.54,119.58,218.44,,1.64,,94.11
1981年,,,,,,,223.4,,,,
1982年,,,,,,128.52,228.0,,,,
1983年,,,,,,134.53,234.2,,,,
1984年,,,,,,141.24,241.2,,,,
1985年,,16.56,2.95,11.23,72.06,150.86,248.71,,3.46,,112.77
1986年,,,,,,155.98,256.3,,,,
1987年,,,,,,165.34,268.5,,,,
1988年,,,,,,174.7,279.5,,,,
1989年,,20.93,3.1,16.6,72.3,181.46,286.7,,4.5,,133.6
1990年,,21.95,3.1,17.57,72.29,186.89,292.54,,4.66,,136.9
1991年,,22.26,3.17,18.82,72.92,192.61,299.2,,4.8,,140.55
1992年,,22.71,3.22,20.04,73.28,197.66,304.9,,5.0,,144.1
1993年,,24.37,3.03,21.35,73.08,203.64,309.9,,4.5,,156.63
1994年,,24.85,2.98,22.18,73.24,207.04,313.4,,4.8,,158.7
1995年,,24.51,3.07,22.72,73.31,206.33,314.06,,5.13,,158.72
1996年,,24.86,2.83,23.75,73.47,209.65,310.0,,5.6,,159.73
1997年,,24.97,3.06,24.46,74.24,211.92,313.5,,6.02,,161.21
1998年,,25.01,2.9,24.95,73.77,213.41,314.3,,6.3,,162.0
1999年,,25.03,2.93,25.33,73.4,215.07,315.9,,6.63,,163.25
2000年,11.86,25.08,2.84,25.93,73.48,216.67,317.7,76.65,7.12,,164.09
2001年,12.02,25.65,2.7,24.6,74.0,215.56,320.1,77.14,7.4,,150.5
2002年,12.37,26.21,3.18,24.67,67.13,222.18,313.6,71.05,7.98,1.2031,168.38
2003年,12.61,26.7181,3.3802,26.0213,67.2741,226.95,316.4,71.05,8.0924,1.2105,171.3438
2004年,12.73,28.2601,3.1189,27.5467,66.8863,236.4,326.8,71.44,8.696,1.8137,177.6804
2005年,13.58,29.21,3.34,28.77,67.82,244.5,336.75,72.58,9.41,2.5,183.47
2006年,13.5,32.0503,2.8,30.3155,69.62,256.04,351.18,76.19,9.93,4.12,190.2894
2007年,13.29,34.3743,2.59,32.1597,74.72,267.51,370.1076,85.03,10.62,7.66,197.1551
2008年,14.66,37.7694,2.64,35.0257,84.69,288.29,403.8707,97.1,11.73,9.8,211.2792
2009年,15.4,41.6707,2.71,38.5612,93.34,312.08,441.6612,109.98,12.61,13.13,227.1102
2010年,16.45,45.95,2.93,42.42,99.43,338.74,478.6831,119.22,13.44,16.88,244.95
2011年,17.81,49.6475,3.14,47.7078,102.63,370.51,515.9889,123.37,14.59,18.71,267.0729
2012年,19.82,,3.57,,109.93,416.15,572.4775,132.43,16.16,20.32,
2013年,21.49,,3.85,,113.65,457.86,618.1891,134.99,17.55,19.42,
2014年,22.3033,,3.7618,,116.7245,496.1161,660.1214,138.1197,18.4815,19.5913,
