,个人现金卫生支出,人均卫生费用,农村人均卫生费用,卫生总费用,城市人均卫生费用,政府卫生支出,社会卫生支出
1978年,22.52,11.4493190247,,110.21,,35.44,52.25
1979年,25.67,12.9369912448,,126.19,,40.64,59.88
1980年,30.35,14.510916367,,143.23,,51.91,60.97
1981年,38.02,16.0004796546,,160.12,,59.67,62.43
1982年,38.43,17.4641430736,,177.53,,68.99,70.11
1983年,65.24,20.1363000932,,207.42,,77.63,64.55
1984年,79.0,23.1992104028,,242.07,,89.46,73.61
1985年,79.39,26.3578048389,,279.0,,107.65,91.96
1986年,83.32,29.3841331262,,315.9,,122.23,110.35
1987年,115.05,34.7282708143,,379.58,,127.28,137.25
1988年,152.66,43.9572712698,,488.04,,145.39,189.99
1989年,209.83,54.6120812039,,615.5,,167.83,237.84
1990年,267.01,65.37,39.3062702728,747.39,158.821527892,187.28,293.1
1991年,335.03,77.14,45.607214411,893.49,187.562756337,204.05,354.41
1992年,436.7,93.61,55.3382999552,1096.86,222.011897913,228.61,431.55
1993年,580.97,116.25,68.4481816955,1377.78,268.579507898,272.06,524.75
1994年,774.05,146.95,85.4938761791,1761.24,332.559194103,342.28,644.91
1995年,999.98,177.93,101.477442203,2155.13,401.275788719,387.34,767.81
1996年,1372.15,221.38,134.336999182,2709.42,467.427788612,461.61,875.66
1997年,1689.09,258.58,157.164272389,3196.71,537.849827383,523.56,984.06
1998年,2017.63,294.86,194.633153351,3678.72,625.93682705,590.06,1071.03
1999年,2260.55,321.78,203.221386793,4047.5,701.978757226,640.96,1145.99
2000年,2705.17,361.88,214.92771023,4586.63,812.953538367,709.52,1171.94
2001年,3013.89,393.798334208,244.77,5025.93,841.2,800.61,1211.43
2002年,3342.14,450.750858291,259.33,5790.03,987.07,908.51,1539.38
2003年,3678.66,509.498788953,274.67,6584.1,1108.91,1116.94,1788.5
2004年,4071.35,583.92,301.61,7590.29,1261.93,1293.58,2225.35
2005年,4520.98,662.3,315.83,8659.91,1126.36,1552.53,2586.41
2006年,4853.56,748.839136353,361.89,9843.34,1248.3,1778.86,3210.92
2007年,5098.66,875.96,358.11,11573.97,1516.29,2581.58,3893.72
2008年,5875.86,1094.52,455.19,14535.4,1861.76,3593.94,5065.6
2009年,6571.16,1314.26,561.99,17541.92,2176.63,4816.26,6154.49
2010年,7051.29,1490.06,666.3,19980.39,2315.48,5732.49,7196.61
2011年,8465.28,1806.95,879.44,24345.91,2697.48,7464.18,8416.45
2012年,9656.32,2076.67,1064.83,28119.0,2999.28,8431.98,10030.7
2013年,10729.34,2327.37,1274.44,31668.95,3234.12,9545.81,11393.79
2014年,11295.41,2581.65523015,,35312.4,,10579.23,13437.75
