,专业公共卫生机构数,专科医院数,专科疾病防治院(所/站)数,中医医院数,乡镇卫生院数,医疗卫生机构数,医院数,卫生监督所(中心)数,基层医疗卫生机构,妇幼保健院(所/站)数,村卫生室数,疾病预防控制中心数,社区卫生服务中心(站)数,综合医院数,街道卫生院数,门诊部(所)数
1978年,,643.0,887.0,447.0,55018.0,169732.0,9293.0,,,2571.0,,2989.0,,7539.0,,94395.0
1979年,,,1066.0,,,176793.0,9746.0,,,2559.0,,3047.0,,,,99643.0
1980年,,694.0,1138.0,678.0,55413.0,180553.0,9902.0,,,2745.0,,3105.0,,7859.0,,102474.0
1981年,,,1197.0,,,800205.0,10252.0,,,2789.0,,3202.0,,,,111189.0
1982年,,,1272.0,,,801869.0,10471.0,,,2827.0,,3271.0,,,,113916.0
1983年,,,1326.0,,,870686.0,10901.0,,,2851.0,,3274.0,,,,115826.0
1984年,,,1458.0,,,905424.0,11381.0,,,2955.0,,3339.0,,,,117028.0
1985年,,938.0,1566.0,1485.0,47387.0,978540.0,11955.0,,,2996.0,777674.0,3410.0,,9197.0,,126604.0
1986年,,,1635.0,,,999102.0,12442.0,,,3059.0,,3475.0,,,,127575.0
1987年,,,1697.0,,,1012804.0,12962.0,,,3082.0,,3512.0,,,,128459.0
1988年,,,1727.0,,,1012485.0,13544.0,,,3103.0,,3532.0,,,,128422.0
1989年,,,1747.0,,,1027522.0,14090.0,,,3112.0,,3591.0,,,,128112.0
1990年,,1362.0,1781.0,2115.0,47749.0,1012690.0,14377.0,,,3148.0,803956.0,3618.0,,10424.0,,129332.0
1991年,,1345.0,1818.0,2195.0,48140.0,1003769.0,14628.0,,,3187.0,,3652.0,,10562.0,,128665.0
1992年,,1376.0,1845.0,2269.0,46117.0,1001310.0,14889.0,,,3187.0,,3673.0,,10774.0,,125873.0
1993年,,1438.0,1872.0,2298.0,45024.0,1000531.0,15436.0,,,3115.0,,3729.0,,11426.0,,115161.0
1994年,,1440.0,1905.0,2336.0,51929.0,1005271.0,15595.0,,,3190.0,,3711.0,,11549.0,,105984.0
1995年,,1445.0,1895.0,2361.0,51797.0,994409.0,15663.0,,,3179.0,804352.0,3729.0,,11586.0,,104406.0
1996年,,1473.0,1887.0,2405.0,51277.0,1078131.0,15833.0,,,3172.0,755565.0,3737.0,,11696.0,,237153.0
1997年,,1488.0,1893.0,2413.0,50981.0,1048657.0,15944.0,,,3180.0,733624.0,3747.0,,11771.0,554.0,229474.0
1998年,,1495.0,1889.0,2443.0,50071.0,1042885.0,16001.0,,,3191.0,728788.0,3746.0,,11779.0,542.0,229349.0
1999年,,1533.0,1877.0,2441.0,49694.0,1017673.0,16678.0,,,3180.0,716677.0,3763.0,,11868.0,563.0,226588.0
2000年,11386.0,1543.0,1839.0,2453.0,49229.0,1034229.0,16318.0,,1000169.0,3163.0,709458.0,3741.0,,11872.0,548.0,240934.0
2001年,11471.0,1576.0,1783.0,2478.0,48090.0,1029314.0,16197.0,,995670.0,3132.0,698966.0,3813.0,,11834.0,553.0,248061.0
2002年,10787.0,2237.0,1839.0,2492.0,44992.0,1005004.0,17844.0,571.0,973098.0,3067.0,698966.0,3580.0,8211.0,12716.0,1022.0,219907.0
2003年,10792.0,2271.0,1749.0,2518.0,44279.0,806243.0,17764.0,838.0,774693.0,3033.0,514920.0,3584.0,10101.0,12599.0,925.0,204468.0
2004年,10878.0,2492.0,1583.0,2611.0,41626.0,849140.0,18393.0,1284.0,817018.0,2998.0,551600.0,3588.0,14153.0,12900.0,845.0,208794.0
2005年,11177.0,2682.0,1502.0,2620.0,40907.0,882206.0,18703.0,1702.0,849488.0,3021.0,583209.0,3585.0,17128.0,12982.0,787.0,207457.0
2006年,11269.0,3022.0,1402.0,2665.0,39975.0,918097.0,19246.0,2097.0,884818.0,3003.0,609128.0,3548.0,22656.0,13120.0,816.0,212243.0
2007年,11528.0,3282.0,1365.0,2720.0,39876.0,912263.0,19852.0,2553.0,878686.0,3051.0,613855.0,3585.0,27069.0,13372.0,803.0,197083.0
2008年,11485.0,3437.0,1310.0,2688.0,39080.0,891480.0,19712.0,2675.0,858015.0,3011.0,613143.0,3534.0,24260.0,13119.0,780.0,180752.0
2009年,11665.0,3716.0,1291.0,2728.0,38475.0,916571.0,20291.0,2809.0,882153.0,3020.0,632770.0,3536.0,27308.0,13364.0,1152.0,182448.0
2010年,11835.0,3956.0,1274.0,2778.0,37836.0,936927.0,20918.0,2992.0,901709.0,3025.0,648424.0,3513.0,32739.0,13681.0,929.0,181781.0
2011年,11926.0,4283.0,1294.0,2831.0,37295.0,954389.0,21979.0,3022.0,918003.0,3036.0,662894.0,3484.0,32860.0,14328.0,667.0,184287.0
2012年,12083.0,4665.0,1289.0,2889.0,37097.0,950297.0,23170.0,3088.0,912620.0,3044.0,653419.0,3490.0,33562.0,15021.0,610.0,187932.0
2013年,31155.0,5127.0,1271.0,3015.0,37015.0,974398.0,24709.0,2967.0,915368.0,3144.0,648619.0,3516.0,33965.0,15887.0,593.0,195176.0
2014年,35029.0,5478.0,1242.0,3115.0,36902.0,981432.0,25860.0,2975.0,917335.0,3098.0,645470.0,3490.0,34238.0,16524.0,595.0,200130.0
