,专用设备制造业规模以上工业企业营业利润,仪器仪表制造业规模以上工业企业营业利润,其他制造业规模以上工业企业营业利润,其他采矿业规模以上工业企业营业利润,农副食品加工业规模以上工业企业营业利润,化学原料和化学制品制造业规模以上工业企业营业利润,化学纤维制造业规模以上工业企业营业利润,医药制造业规模以上工业企业营业利润,印刷和记录媒介复制业规模以上工业企业营业利润,家具制造业规模以上工业企业营业利润,废弃资源综合利用业规模以上工业企业营业利润,开采辅助活动规模以上工业企业营业利润,文教、工美、体育和娱乐用品制造业规模以上工业企业营业利润,有色金属冶炼和压延加工业规模以上工业企业营业利润,有色金属矿采选业规模以上工业企业营业利润,木材加工和木、竹、藤、棕、草制品业规模以上工业企业营业利润,橡胶和塑料制品业规模以上工业企业营业利润,水的生产和供应业规模以上工业企业营业利润,汽车制造业规模以上工业企业营业利润,烟草制品业规模以上工业企业营业利润,煤炭开采和洗选业规模以上工业企业营业利润,燃气生产和供应业规模以上工业企业营业利润,电力、热力生产和供应业规模以上工业企业营业利润,电气机械和器材制造业规模以上工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业营业利润,石油加工、炼焦和核燃料加工业规模以上工业企业营业利润,石油和天然气开采业规模以上工业企业营业利润,纺织业规模以上工业企业营业利润,纺织服装、服饰业规模以上工业企业营业利润,规模以上工业企业营业利润,计算机、通信和其他电子设备制造业规模以上工业企业营业利润,通用设备制造业规模以上工业企业营业利润,造纸和纸制品业规模以上工业企业营业利润,酒、饮料和精制茶制造业规模以上工业企业营业利润,金属制品、机械和设备修理业规模以上工业企业营业利润,金属制品业规模以上工业企业营业利润,铁路、船舶、航空航天和其他运输设备规模以上工业企业营业利润,非金属矿物制品业规模以上工业企业营业利润,非金属矿采选业规模以上工业企业营业利润,食品制造业规模以上工业企业营业利润,黑色金属冶炼和压延加工业规模以上工业企业营业利润,黑色金属矿采选业规模以上工业企业营业利润
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,2112.12581,557.16122,124.1602,2.52989,3365.67995,4174.83215,238.54677,1841.51485,390.65557,388.45562,189.21758,5.72719,607.62893,1959.39077,804.14352,764.60825,1579.22658,30.8156,4200.15488,1077.41577,3815.15457,299.74468,2442.25344,3445.22135,837.89288,354.22806,4051.41966,1896.23932,1147.78381,62100.65372,3108.89259,2762.43858,762.10519,1616.15903,44.07858,1986.05763,872.59086,3419.78509,403.62357,1424.91386,1806.87212,1189.20775
2013年,2301.51,634.93,149.52,1.77,3593.71,4502.22,261.74,2091.58,483.55,433.86,178.73,-36.61,760.98,1974.04,670.69,876.39,1913.37,73.35,5144.13,1230.09,2748.63,362.49,3701.74,3869.06,912.16,677.59,3671.2,2150.21,1272.2,68355.21,3650.13,3077.23,777.29,1714.19,46.31,2194.07,888.1,3972.5,438.54,1635.64,2184.06,1172.31
2014年,2193.42,686.85,147.36,1.58,3377.16,4349.75,279.68,2328.02,539.57,471.15,188.22,15.63,855.82,1916.77,592.06,875.99,1888.99,100.46,6016.95,1238.02,1395.01,397.47,3953.07,4134.27,978.24,97.9,3117.56,2161.38,1330.76,67254.92,3976.63,3122.56,709.19,1670.03,33.55,2159.03,1032.73,4035.09,422.35,1716.24,1882.11,866.27
