,乡数,乡镇级区划数,县数,县级区划数,县级市数,地级区划数,地级市数,市辖区数,自治县数,街道办事处,镇数
1978年,0,6198,2011,2653,92,310,98,408,65,0,2176
1979年,0,10424,2002,2690,109,315,104,428,70,4444,2361
1980年,0,54183,1998,2775,113,318,107,511,72,0,0
1981年,0,11434,2001,2780,122,316,108,514,69,4965,2678
1982年,0,0,1998,2797,130,322,112,527,69,0,0
1983年,35514,49695,1942,2785,142,322,144,552,75,5304,2968
1984年,85290,106439,1926,2814,150,322,147,595,80,5844,7186
1985年,82450,104900,1893,2826,159,327,162,621,93,5402,9140
1986年,61417,84018,1856,2830,184,325,166,629,101,5718,10718
1987年,58739,81025,1817,2826,208,326,170,632,110,5680,11103
1988年,45195,65345,1765,2831,248,334,183,647,112,5099,11481
1989年,44624,65419,0,2829,262,336,185,648,0,5420,11873
1990年,44397,65188,1723,2833,279,336,185,651,121,5269,12084
1991年,42654,63391,1714,2833,289,338,187,650,121,5186,12455
1992年,33827,54830,0,2833,323,339,191,662,0,5233,14539
1993年,32445,54863,1617,2835,371,335,196,669,120,5470,15805
1994年,31463,54605,1560,2845,413,333,206,697,119,5372,16702
1995年,29502,53360,1542,2849,427,340,210,706,118,5596,17532
1996年,27056,51336,0,2859,445,335,218,717,0,5565,18171
1997年,25966,50967,0,2862,442,332,222,727,0,5678,18925
1998年,25712,50999,1516,2863,437,331,227,737,117,5732,19216
1999年,24745,50750,1510,2858,427,331,236,749,117,5904,19756
2000年,23199,49668,1503,2074,400,333,259,787,116,5902,20312
2001年,19341,45303,1489,2053,393,332,265,808,116,5510,20374
2002年,18639,44850,1478,2860,381,332,275,830,116,5576,20601
2003年,18064,44067,1470,2861,374,333,282,845,117,5751,20226
2004年,17451,43258,1464,2862,374,333,283,852,117,5904,19883
2005年,15951,41636,1464,2862,374,333,283,852,117,6152,19522
2006年,15306,41040,1463,2860,369,333,283,856,117,6355,19369
2007年,15120,40813,1463,2859,368,333,283,856,117,6434,19249
2008年,15067,40828,1463,2859,368,333,283,856,117,6524,19234
2009年,14848,40858,1464,2858,367,333,283,855,117,6686,19322
2010年,14571,40906,1461,2856,370,333,283,853,117,6923,19410
2011年,13587,40466,1456,2853,369,332,284,857,117,7194,19683
2012年,13281,40446,1453,2852,368,333,285,860,117,7282,19881
2013年,12812,40497,1442,2853,368,333,286,872,117,7566,20117
2014年,12282,40381,1425,2854,361,333,288,897,117,7696,20401
