,人均原油产量,人均原煤产量,人均发电量,人均布产量,人均机制纸及纸板产量,人均水泥产量,人均粗钢产量,人均纱产量,棉花人均占有量,水产品人均占有量,水果人均占有量,油料人均占有量,猪牛羊肉人均占有量,粮食人均占有量,糖料人均占有量,茶叶人均产量
1978年,108.820130417,0.65,268.363723834,11.5356659154,4.59125778501,68.2309015703,33.2369413229,2.49120183232,2.3,4.9,6.87088525516,5.5,9.05,319.0,24.9106587252,0.280286352251
1979年,,,,,,,,,2.27795522211,4.4,,6.64124540121,,342.738169566,25.4005913282,
1980年,107.976172884,0.63,306.348632081,13.7275983837,5.45231264682,81.3872313972,37.8298776542,2.98195641207,2.8,4.6,6.92244976993,7.8,12.28,326.7,29.6694471763,0.309507916045
1981年,101.84,0.63,311.2,14.36,5.43,83.41,35.82,3.19,2.98585852488,4.64,7.85,10.2679887512,,327.019725622,36.2501194806,0.35
1982年,101.25,0.66,324.9,15.22,5.84,94.39,36.84,3.33,3.56766108484,5.12,7.65,11.7161892865,,351.466841161,43.2209036019,0.39
1983年,103.65,0.7,343.4,14.54,6.46,105.78,39.11,3.2,4.53132481848,5.34,9.27,10.3093393009,,378.453254634,39.4044326744,0.39
1984年,110.54,0.76,363.61,13.21,7.29,118.65,41.93,3.1,6.03611988523,5.97,9.5,11.4865092952,,392.838714344,46.1057555518,0.4
1985年,118.834678033,0.83,390.755822804,13.9576038971,8.66760541939,138.86246004,44.5178109301,3.36333536307,3.9,6.7,11.0742274319,15.0,16.75,360.7,57.5313595106,0.411342099254
1986年,122.51,0.84,421.36,15.44,9.36,155.66,48.93,3.73,3.31870480601,7.72,12.63,13.8149343357,,367.000065617,54.8609510775,0.43
1987年,123.74,0.86,458.75,15.96,10.53,171.81,51.92,4.03,3.91606248876,8.81,15.39,14.0934327766,,371.737997389,51.201368037,0.47
1988年,124.41,0.89,494.9,17.06,11.53,190.75,53.95,4.23,3.76594355637,9.63,15.12,11.9846963136,,357.725370587,56.1664453582,0.49
1989年,123.04,0.94,522.78,16.92,11.92,187.99,55.05,4.26,3.38617351272,10.3,16.38,11.5784007509,,364.322174049,51.8821561704,0.48
1990年,121.839171589,0.95,547.223580297,16.6316503477,12.08613574,184.736408603,58.4486229117,4.07510670067,4.0,10.9,16.5120416496,14.2,22.14,393.1,63.5532164361,0.475755053141
1991年,122.51690158,0.94,588.7311215,15.7892907419,12.8521524531,219.511983177,61.6972835816,4.00424060203,4.93145866282,11.7379125463,18.9100053877,14.2365273988,23.67,378.259093832,73.1567736666,0.470620796329
1992年,121.977389976,0.96,647.141128098,16.3695202452,14.8072482553,264.573336652,69.4781839876,4.30654866649,3.86996403341,13.3661819618,20.9455436621,14.0874932402,25.24,379.973733229,75.6068825807,0.480550572118
1993年,123.247683378,0.98,712.382471742,17.2261634025,16.241811208,312.17541835,75.9987780456,4.25562608194,3.1731144564,15.46957588,25.5525559214,15.3078917891,27.37,387.366348732,64.6973991039,0.509097620583
1994年,122.567301682,1.04,778.7151745,17.7289641603,17.9387247396,353.387843116,77.7037089866,4.1071121422,3.64226591768,17.9826066528,29.3649305483,16.6935196567,30.98,373.458574383,61.6296542726,0.493749554259
1995年,124.537392466,1.13,835.81011823,21.594299729,23.3413979276,394.741192924,79.1463703101,4.50012657125,4.0,20.9,34.9803644422,18.7,27.42,387.0,65.9011889397,0.488484506434
1996年,129.221715741,1.14713925506,888.103157981,17.1738326968,21.6681039793,403.42408936,83.1510820911,4.20689088744,3.45223933309,27.0057903166,38.2146310213,18.1561972814,30.3453656934,414.385446183,68.6644630611,0.487360683339
1997年,130.676096986,1.12800544682,923.157531045,20.2255960002,22.2197833465,416.021787289,88.5650874947,4.5511859033,3.74182387253,25.3528654216,41.3740812552,17.5385923623,34.5499258175,401.740544276,76.308151129,0.498641139768
1998年,129.636414144,1.07254292696,939.662703765,19.4052023657,17.115469006,431.584583734,93.0725037945,4.36415754448,3.62420658086,27.2370211207,43.9061086128,18.6310934147,37.0244819576,412.497674999,78.831928402,0.535482130707
1999年,127.720547442,1.08881551166,989.275465282,19.9563355378,17.2366861307,457.399210527,99.1909701573,4.52609689998,3.05639181471,28.4988228326,49.7922002658,20.7637896283,38.0152226927,405.820704299,66.5274084304,0.539516338252
2000年,129.094084244,1.09625785553,1073.61926749,21.938074439,19.6962725073,472.816983396,101.770489726,5.2033627821,3.5,29.35,49.3024328295,23.4,37.57,366.1,60.4709201715,0.541184576821
