,地方财政一般公共服务支出,地方财政一般预算支出,地方财政交通运输支出,地方财政住房保障支出,地方财政公共安全支出,地方财政其他支出,地方财政农林水事务支出,地方财政医疗卫生支出,地方财政商业服务业等事务支出,地方财政国债还本付息支出,地方财政国土资源气象等事务支出,地方财政国防支出,地方财政地震灾后重建支出,地方财政城乡社区事务支出,地方财政外交支出,地方财政教育支出,地方财政文化体育与传媒支出,地方财政社会保障和就业支出,地方财政科学技术支出,地方财政粮油物资储备管理等事务,地方财政节能保护支出,地方财政资源勘探电力信息等事务支出,地方财政金融监管等事务支出
1978年,,589.97,,,,,,,,,,,,,,,,,,,,,
1979年,,626.71,,,,,,,,,,,,,,,,,,,,,
1980年,,562.02,,,,,,,,,,,,,,,,,,,,,
1981年,,512.76,,,,,,,,,,,,,,,,,,,,,
1982年,,578.17,,,,,,,,,,,,,,,,,,,,,
1983年,,649.92,,,,,,,,,,,,,,,,,,,,,
1984年,,807.69,,,,,,,,,,,,,,,,,,,,,
1985年,,1209.0,,,,,,,,,,,,,,,,,,,,,
1986年,,1368.55,,,,,,,,,,,,,,,,,,,,,
1987年,,1416.55,,,,,,,,,,,,,,,,,,,,,
1988年,,1646.17,,,,,,,,,,,,,,,,,,,,,
1989年,,1935.01,,,,,,,,,,,,,,,,,,,,,
1990年,,2079.12,,,,,,,,,,,,,,,,,,,,,
1991年,,2295.81,,,,,,,,,,,,,,,,,,,,,
1992年,,2571.76,,,,,,,,,,,,,,,,,,,,,
1993年,,3330.24,,,,,,,,,,,,,,,,,,,,,
1994年,,4038.19,,,,,,,,,,,,,,,,,,,,,
1995年,,4828.33,,,,,,,,,,,,,,,,,,,,,
1996年,,5786.28,,,,,,,,,,,,,,,,,,,,,
1997年,,6701.06,,,,,,,,,,,,,,,,,,,,,
1998年,,7672.58,,,,,,,,,,,,,,,,,,,,,
1999年,,9035.34,,,,,,,,,,,,,,,,,,,,,
2000年,,10366.65,,,,,,,,,,,,,,,,,,,,,
2001年,,13134.56,,,,,,,,,,,,,,,,,,,,,
2002年,,15281.45,,,,,,,,,,,,,,,,,,,,,
2003年,,17229.85,,,,,,,,,,,,,,,,,,,,,
2004年,,20592.81,,,,,,,,,,,,,,,,,,,,,
2005年,,25154.31,,,,,,,,,,,,,,,,,,,,,
2006年,,30431.33,,,,,,,,,,,,,,,,,,,,,
2007年,6354.073,38339.29,1133.127,,2878.3267,2376.7076,3091.0061,1955.7472,,,,72.5878,,3238.4917,1.4957,6727.0585,771.4251,5104.5296,858.4403,,961.2377,,
2008年,7451.3722,49248.49,1440.7954,,3411.1312,2527.0485,4235.6334,2710.258,,,,79.8074,735.8667,4191.8141,1.566,8518.5771,955.1314,6460.0065,1051.8648,,1385.1511,,
2009年,8079.9996,61044.14,3578.3743,,3898.2983,2602.6499,6401.7053,3930.692,,170.58,,126.0896,1043.8489,5103.7551,1.23,9869.9159,1238.3177,7851.854,1310.7007,1437.19,1896.1274,2370.89,133.15
2010年,8499.7437,73884.43,3998.89,1990.4,4642.5,2602.06,7741.69,4730.6242,1273.35,335.36,1153.99,157.02,1094.64,5977.29,1.17,11829.0644,1392.5728,8680.3227,1588.8842,676.84,2372.4968,2996.65,148.88
2011年,10084.77,92733.68,7166.69,3491.87,5267.26,2836.25,9520.99,6358.19,1394.79,564.12,1289.74,198.29,174.45,7608.93,2.75,15498.28,1704.64,10606.92,1885.88,729.49,2566.79,3547.26,235.34
2012年,11702.1433,107188.34,7332.5665,4068.7141,5928.1331,2444.0726,11471.3918,7170.8176,1351.7058,575.3291,1367.5919,210.5394,103.8125,9060.925,1.4395,20140.6386,2074.7892,11999.8456,2242.2012,731.0888,2899.8149,3934.5323,249.6938
2013年,12753.6717,119740.34,8625.8341,4075.8187,6489.7471,2933.09,12822.64,8203.2021,1336.5496,740.8012,1638.9112,233.2482,42.794,11146.5081,1.385,20895.1118,2339.9391,13849.7246,2715.3118,744.2799,3334.8908,4445.3828,212.9663
2014年,12217.0737,129215.4933,9669.2584,4638.3132,6879.4717,3124.54,13634.1615,10086.5577,1319.7759,983.1006,1722.5629,234.3953,,12942.3136,1.4547,21788.094,2468.4839,15268.9425,2877.7923,778.3857,3470.8994,4634.7307,258.7038
