,预算外资金收入,预算外资金收入中乡镇自筹、统筹资金,预算外资金收入中其他收入,预算外资金收入中国有企业和主管部门收入,预算外资金收入中地方财政收入,预算外资金收入中政府性基金收入,预算外资金收入中行政事业性收费
1978年,347.11,0.0,0.0,252.61,31.09,0.0,63.41
1979年,452.9,0.0,0.0,344.25,39.94,0.0,68.66
1980年,557.4,0.0,0.0,442.11,40.85,0.0,74.44
1981年,601.07,0.0,0.0,474.87,41.3,0.0,84.9
1982年,802.74,0.0,0.0,656.32,45.27,0.0,101.15
1983年,967.68,0.0,0.0,804.01,49.79,0.0,113.88
1984年,1188.48,0.0,0.0,990.73,55.23,0.0,142.52
1985年,1530.03,0.0,0.0,1252.73,44.08,0.0,233.22
1986年,1737.31,0.0,0.0,1399.89,43.2,0.0,294.22
1987年,2028.8,0.0,0.0,1625.78,44.61,0.0,358.41
1988年,2360.77,0.0,0.0,1872.89,48.94,0.0,438.94
1989年,2658.83,0.0,0.0,2103.81,54.36,0.0,500.66
1990年,2708.64,0.0,0.0,2071.1,60.59,0.0,576.95
1991年,3243.3,0.0,0.0,2477.53,60.59,0.0,697.0
1992年,3854.92,0.0,0.0,2878.59,68.77,0.0,885.45
1993年,1432.54,0.0,0.0,0.0,90.88,0.0,1317.83
1994年,1862.53,0.0,0.0,0.0,114.71,0.0,1722.5
1995年,2406.5,0.0,0.0,0.0,140.03,0.0,2234.85
1996年,3893.34,272.9,0.0,0.0,171.65,0.0,3395.75
1997年,2826.0,295.78,0.0,0.0,224.69,0.0,2414.32
1998年,3082.29,337.31,229.98,54.67,115.9,478.41,1981.92
1999年,3385.17,358.86,225.41,50.11,3154.72,396.51,2354.28
2000年,3826.43,403.34,325.81,59.22,3578.79,383.51,2654.54
2001年,4300.0,410.0,360.0,60.0,3953.0,380.0,3090.0
2002年,4479.0,272.0,521.0,72.0,4039.0,376.0,3238.0
2003年,4566.8,293.14,598.49,52.33,0.0,287.1,3335.74
2004年,4699.18,213.09,862.26,64.12,0.0,351.29,3208.42
2005年,5544.16,192.94,1086.24,47.6,0.0,359.29,3858.19
2006年,6407.88,221.29,1548.39,44.91,0.0,376.49,4216.8
2007年,6820.3205,180.2512,1918.8604,40.1558,0.0,0.0,4681.0531
2008年,6617.25,220.74,1513.6226,47.08,0.0,0.0,4835.8074
2009年,6414.65,220.56,1511.85,84.1,0.0,0.0,4598.14
2010年,5794.42,257.18,1787.28,58.14,0.0,0.0,3691.82
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
